Title,Equation,Category,Notes
Geometric Brownian Motion (GBM),dS_t = \mu S_t dt + \sigma S_t dW_t,Stochastic Calculus,Foundation for Black-Scholes asset dynamics.
GBM Solution,S_t = S_0 \exp\left( (\mu -0.5\sigma^2)t + \sigma W_t \right),Stochastic Calculus,Explicit solution to the GBM SDE.
Itô's Lemma (Univariate),df = (\frac{\partial f}{\partial t} + \mu \frac{\partial f}{\partial x} + 0.5 \sigma^2 \frac{\partial^2 f}{\partial x^2}) dt + \sigma \frac{\partial f}{\partial x} dW_t,Stochastic Calculus,Chain rule for stochastic processes; includes convexity correction.
Itô's Lemma (Multivariate),df = \frac{\partial f}{\partial t} dt + \sum \frac{\partial f}{\partial x_i} dX_i + 0.5 \sum_{i,j} \frac{\partial^2 f}{\partial x_i \partial x_j} d\langle X_i, X_j \rangle,Stochastic Calculus,For multi-asset options; includes correlation terms.
Girsanov Theorem,\frac{d\mathbb{Q}}{d\mathbb{P}} = \exp\left( -\int \lambda dW - 0.5 \int \lambda^2 dt \right),Stochastic Calculus,Defines measure change for risk-neutral pricing.
Feynman-Kac Theorem,V(t,x) = \mathbb{E}^{\mathbb{Q}}[ e^{-\int r du} \psi(X_T) ],Stochastic Calculus,Links PDEs to Expectation of stochastic processes.
Ornstein-Uhlenbeck Process,dx_t = \theta (\mu - x_t) dt + \sigma dW_t,Stochastic Calculus,Mean-reverting process used for rates and volatility.
Fokker-Planck Equation,\frac{\partial p}{\partial t} = -\frac{\partial}{\partial x}[\mu p] + \frac{\partial^2}{\partial x^2}[0.5\sigma^2 p],Stochastic Calculus,evolution of PDF; used for local volatility.
Tanaka's Formula,|W_t - a| = |W_0 - a| + \int \text{sgn}(W) dW + L_t^a,Stochastic Calculus,Decomposition for non-smooth functions; introduces Local Time.
Bond Pricing Risk-Neutral,P(t,T) = \mathbb{E}^{\mathbb{Q}}\left[ e^{-\int_t^T r_s \, ds} \right],Fixed Income,Fundamental no-arbitrage pricing for default-free zero-coupon bonds.
Coupon Bond Pricing,P = \sum c_i P(t,T_i) + P(t,T_n),Fixed Income,Sum of zero-coupon bonds.
Yield to Maturity,Solve for y: P = \sum \frac{c_i}{(1+y)^{T_i-t}} + \frac{1}{(1+y)^{T_n-t}},Fixed Income,Internal rate of return for bond investment.
Macaulay Duration,D_{Mac} = \frac{1}{P} \sum T_i PV(CF_i),Fixed Income,Weighted average time to cash flows.
Modified Duration,D_{Mod} = D_{Mac} / (1+y),Fixed Income,Percentage price change for unit yield change.
Convexity,C = \frac{1}{P} \frac{\partial^2 P}{\partial y^2},Fixed Income,Second derivative of price w.r.t yield.
Nelson-Siegel Model,y(\tau) = \beta_0 + \beta_1 (\dots) + \beta_2 (\dots),Fixed Income,Parametric yield curve model (Level Slope Curvature).
Bootstrap Method,P(T_i) = \frac{1 - \sum_{j=1}^{i-1} c_j P(T_j)}{1 + c_i},Fixed Income,Recursive extraction of zero-coupon rates from coupon bonds.
Vasicek Model,dr_t = \kappa(\theta - r_t)dt + \sigma dW_t,Interest Rates,Mean-reverting Gaussian short rate.
CIR Model,dr_t = \kappa(\theta - r_t)dt + \sigma \sqrt{r_t} dW_t,Interest Rates,Square-root diffusion; non-negative rates.
