title,equation_latex,main_category,notes
Covered Interest Parity,\text{F} = \text{S} * (1 + r_{d}o \times me \times st \times ic) / (1 + r_{f}o \times re \times ig \times n),Currency and FX - Forward Rates,"This equation defines covered interest parity. F represents the forward exchange rate, S is the spot exchange rate, r_domestic is the domestic interest rate, and r_foreign is the foreign interest rate. CIP must hold to prevent arbitrage opportunities in the foreign exchange market. This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity. The mathematical formulation captures how capital compounds over time, forming the foundation for all discounted cash flow analysis."
Uncovered Interest Parity,\text{E}[\text{F}] = \text{S} * (1 + r_{d}o \times me \times st \times ic - r_{f}o \times re \times ig \times n),Currency and FX - Forward Rates,"This equation defines uncovered interest parity. E[F] represents the expected future spot rate, S is the current spot rate, r_domestic is the domestic interest rate, and r_foreign is the foreign interest rate. UIP is a theoretical condition that often does not hold in practice. This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity. The mathematical formulation captures how capital compounds over time, forming the foundation for all discounted cash flow analysis."
Forward Premium,\text{F} \times or \times wa \times rd \text{P} \times re \times mi \times um = (\text{F} - \text{S}) / \text{S},Currency and FX - Forward Rates,This equation calculates the forward premium or discount. Forward Premium represents the percentage difference between forward and spot rates. Positive values indicate the domestic currency is trading at a forward premium (stronger forward than spot).
Forward Discount,\text{F} \times or \times wa \times rd D \times is \times co \times un \times t = (\text{S} - \text{F}) / \text{S},Currency and FX - Forward Rates,"This equation calculates the forward discount. Forward Discount represents the percentage by which the forward rate is below the spot rate. A forward discount indicates the domestic currency is expected to weaken. This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity. The mathematical formulation captures how capital compounds over time, forming the foundation for all discounted cash flow analysis."
Continuous Covered Parity,\text{F} = \text{S} * e \times xp \times ((r_{d}o \times me \times st \times ic - r_{f}o \times re \times ig \times n) * \text{T}),Currency and FX - Forward Rates,"This equation defines covered interest parity with continuous compounding. F represents the forward rate, S is the spot rate, r_domestic and r_foreign are continuously compounded interest rates, and T is time to maturity. This form is widely used in derivatives pricing."
Forward Rate Agreement Value,V_{\text{F}}R \times A = N * (L - \text{K}) * d \times el \times ta * D \times \text{F},Currency and FX - Interest Rate Parity,"This equation calculates the value of a Forward Rate Agreement. V_FRA represents the mark-to-market value, N is the notional, L is the realized LIBOR rate, K is the agreed FRA rate, delta is the day count fraction, and DF is the discount factor."
Forward Rate Agreement Rate,\text{F} \times RA R \times at \times e = ((1 + r_{l}o \times ng * T_{l}o \times ng) / (1 + r_{s}h \times or \times t * T_{s}h \times or \times t) - 1) * (360 / d \times el \times ta),Currency and FX - Interest Rate Parity,"This equation calculates the FRA rate. FRA Rate represents the rate agreed in the FRA contract, r_long is the rate for the longer period, r_short is the rate for the shorter period, T_long and T_short are the year fractions, and delta is the day count in days."
Purchasing Power Parity (Absolute),\text{S} = P_{d}o \times me \times st \times ic / P_{f}o \times re \times ig \times n,Currency and FX - Purchasing Power Parity,"This equation defines absolute purchasing power parity. S represents the exchange rate that equalizes the purchasing power of two currencies, P_domestic is the domestic price level, and P_foreign is the foreign price level. This is the law of one price applied to price levels."
Purchasing Power Parity (Relative),S_{1} / S_{0} = (1 + i \times nf \times la \times ti \times on_{d}o \times me \times st \times ic) / (1 + i \times nf \times la \times ti \times on_{f}o \times re \times ig \times n),Currency and FX - Purchasing Power Parity,"This equation defines relative purchasing power parity. S_1/S_0 represents the change in the exchange rate, inflation_domestic is the domestic inflation rate, and inflation_foreign is the foreign inflation rate. This predicts how exchange rates adjust for inflation differentials."
Real Exchange Rate,R \times ER = \text{S} * (P_{f}o \times re \times ig \times n / P_{d}o \times me \times st \times ic),Currency and FX - Purchasing Power Parity,"This equation calculates the real exchange rate. RER represents the relative price of goods across countries, S is the nominal exchange rate, P_foreign is the foreign price level, and P_domestic is the domestic price level. RER deviations from 1 indicate real exchange rate misalignment."
