title,equation_latex,main_category,notes
Covered Interest Parity,F = S \times (1 + r_{domestic}) / (1 + r_{foreign}),Currency and FX - Forward Rates,"This equation defines covered interest parity. F represents the forward exchange rate, S is the spot exchange rate, r_domestic is the domestic interest rate, and r_foreign is the foreign interest rate. CIP must hold to prevent arbitrage opportunities in the foreign exchange market."
Uncovered Interest Parity,E[F] = S \times (1 + r_{domestic} - r_{foreign}),Currency and FX - Forward Rates,"This equation defines uncovered interest parity. E[F] represents the expected future spot rate, S is the current spot rate, r_domestic is the domestic interest rate, and r_foreign is the foreign interest rate. UIP is a theoretical condition that often does not hold in practice."
Forward Premium,Forward Premium = (F - S) / S,Currency and FX - Forward Rates,This equation calculates the forward premium or discount. Forward Premium represents the percentage difference between forward and spot rates. Positive values indicate the domestic currency is trading at a forward premium (stronger forward than spot).
Forward Discount,Forward Discount = (S - F) / S,Currency and FX - Forward Rates,This equation calculates the forward discount. Forward Discount represents the percentage by which the forward rate is below the spot rate. A forward discount indicates the domestic currency is expected to weaken.
Continuous Covered Parity,F = S \times exp((r_{domestic} - r_{foreign}) \times T),Currency and FX - Forward Rates,"This equation defines covered interest parity with continuous compounding. F represents the forward rate, S is the spot rate, r_domestic and r_foreign are continuously compounded interest rates, and T is time to maturity. This form is widely used in derivatives pricing."
Forward Rate Agreement Value,V_{FRA} = N \times (L - K) \times delta \times \text{DF},Currency and FX - Interest Rate Parity,"This equation calculates the value of a Forward Rate Agreement. V_FRA represents the mark-to-market value, N is the notional, L is the realized LIBOR rate, K is the agreed FRA rate, delta is the day count fraction, and DF is the discount factor."
Forward Rate Agreement Rate,FRA Rate = ((1 + r_{long} \times T_{long}) / (1 + r_{short} \times T_{short}) - 1) \times (360 / delta),Currency and FX - Interest Rate Parity,"This equation calculates the FRA rate. FRA Rate represents the rate agreed in the FRA contract, r_long is the rate for the longer period, r_short is the rate for the shorter period, T_long and T_short are the year fractions, and delta is the day count in days."
Purchasing Power Parity (Absolute),S = P_{domestic} / P_{foreign},Currency and FX - Purchasing Power Parity,"This equation defines absolute purchasing power parity. S represents the exchange rate that equalizes the purchasing power of two currencies, P_domestic is the domestic price level, and P_foreign is the foreign price level. This is the law of one price applied to price levels."
Purchasing Power Parity (Relative),S_{1} / S_{0} = (1 + inflation_{domestic}) / (1 + inflation_{foreign}),Currency and FX - Purchasing Power Parity,"This equation defines relative purchasing power parity. S_1/S_0 represents the change in the exchange rate, inflation_domestic is the domestic inflation rate, and inflation_foreign is the foreign inflation rate. This predicts how exchange rates adjust for inflation differentials."
Real Exchange Rate,RER = S \times (P_{foreign} / P_{domestic}),Currency and FX - Purchasing Power Parity,"This equation calculates the real exchange rate. RER represents the relative price of goods across countries, S is the nominal exchange rate, P_foreign is the foreign price level, and P_domestic is the domestic price level. RER deviations from 1 indicate real exchange rate misalignment."
Big Mac Index,Big Mac PPP = Local Price / US Price,Currency and FX - Purchasing Power Parity,"This equation defines the Big Mac index methodology. Big Mac PPP represents the implied exchange rate based on Big Mac prices, Local Price is the Big Mac price in local currency, and US Price is the Big Mac price in the US. This provides a simple PPP benchmark."
FX Forward Valuation,V_{forward} = (F_{market} - F_{theoretical}) \times N \times \text{DF},Currency and FX - FX Derivatives,"This equation calculates the value of an FX forward. V_forward represents the mark-to-market value, F_market is the market forward rate, F_theoretical is the contract forward rate, N is the notional, and DF is the discount factor."
Cross Rate,S_{cross} = S_{A}/B = S_{A}/USD / S_{B}/USD,Currency and FX - Cross Rates,"This equation calculates a cross exchange rate. S_cross represents the exchange rate between currencies A and B, S_A/USD is the rate between A and USD, and S_B/USD is the rate between B and USD. Cross rates are derived from rates against a common currency."
Triangular Arbitrage,S_{A}/B - S_{A}/USD \times S_{USD}/B = 0,Currency and FX - Cross Rates,"This equation defines the no-arbitrage condition for triangular arbitrage. S_A/B represents the direct rate, S_A/USD and S_USD/B are cross rates through USD. Any arbitrage opportunities that deviation creates should be quickly eliminated."
Currency Option Delta (Call),Delta_{C} = e^{-qT} \times N \times (d_{1}),Currency and FX - Currency Options,"This equation calculates the delta of a currency call option. Delta_C represents the sensitivity to the spot rate, q is the foreign risk-free rate, T is time to expiration, and N(d_1) is the cumulative normal distribution. Foreign currency options use the Garman-Kohlhagen model."
Currency Option Delta (Put),Delta_{P} = -e^{-qT} \times N \times (-d_{1}),Currency and FX - Currency Options,"This equation calculates the delta of a currency put option. Delta_P represents the sensitivity to the spot rate, q is the foreign risk-free rate, T is time to expiration, and N(-d_1) is the cumulative normal. Put delta is negative, as put prices fall when the currency appreciates."
Garman-Kohlhagen Call Price,C = e^{-r_{d} T} \times (F \times N \times (d_{1}) - K \times N \times (d_{2})),Currency and FX - Currency Options,"This equation prices a European currency call option using the Garman-Kohlhagen model. C represents the call price, r_d is the domestic rate, F is the forward rate, K is the strike, and N(d) are cumulative normal distributions. This extends Black-Scholes for two currencies."
Garman-Kohlhagen d_1,d_{1} = (ln(F/K) + 0.5 \times \text{sigma}^{2} \times T) / (\text{sigma} \times sqrt(T)),Currency and FX - Currency Options,"This equation defines d_1 for the Garman-Kohlhagen model. d_1 combines the moneyness (ln(F/K)), volatility sigma, and time to expiration T. This parameter is used in both the call and put pricing formulas."
Currency Put-Call Parity,C + K \times e^{-r_{d} T} = P + F \times e^{-q T},Currency and FX - Currency Options,"This equation defines put-call parity for currency options. C and P are call and put prices, K is the strike, r_d is the domestic rate, q is the foreign rate, and F is the forward rate. This no-arbitrage relationship links call and put prices."
Carry Trade Return,R_{carry} = (r_{foreign} - r_{domestic}) - (E[S_{T}] - S_{0}) / S_{0},Currency and FX - Carry Trade,"This equation calculates the expected return from a carry trade. R_carry represents the expected return from borrowing in low-yield currencies and investing in high-yield currencies, r_foreign and r_domestic are interest rates, and the last term is expected depreciation."
Carry Trade Sharpe Ratio,Sharpe = (r_{foreign} - r_{domestic} - sigma_{S} \times sigma_{R} \times rho) / sigma_{carry},Currency and FX - Carry Trade,"This equation calculates the Sharpe ratio for carry trades. Sharpe represents risk-adjusted carry return, r_foreign - r_domestic is the interest rate differential, sigma_S is spot volatility, sigma_R is the risk premium, rho is correlation, and sigma_carry is carry volatility."
FX Swap Points,Swap Points = F - S = S \times (r_{d} - r_{f}) \times T,Currency and FX - FX Swaps,"This equation calculates the swap points for an FX swap. Swap Points represent the difference between forward and spot rates, which approximately equals the interest rate differential times the spot rate and time to maturity."
FX Implied Volatility,sigma_{implied} = sigma_{realized} / sqrt(1 - rho^{2}),Currency and FX - Volatility,"This equation relates implied to realized volatility for currency pairs. sigma_implied represents the volatility implied by option prices, sigma_realized is historical volatility, and rho is the correlation between spot returns and volatility. Implied volatility is typically higher for currencies."
Currency Basis,Currency Basis = F_{market} - F_{CIP},Currency and FX - Cross Currency Swaps,"This equation calculates the currency basis in cross-currency swaps. Currency Basis represents the deviation from covered interest parity, F_market is the market forward rate, and F_CIP is the CIP-implied forward. A positive basis indicates funding pressure in the foreign currency."
Cross Currency Swap Spread,CCS Spread = R_{domestic} - R_{foreign} - (S_{0} - F_{CIP}) / S_{0},Currency and FX - Cross Currency Swaps,"This equation calculates the cross-currency swap spread. CCS Spread represents the differential between domestic and foreign rates adjusted for the forward points, R_domestic and R_foreign are rates, S_0 is spot, and F_CIP is the CIP forward."
FX Risk Reversal,Risk Reversal = Call Vol - Put Vol,Currency and FX - Volatility Surface,"This equation calculates the FX risk reversal. Risk Reversal represents the volatility difference between out-of-the-money calls and puts, which indicates market skew. Positive risk reversal means calls are more expensive (market expects currency appreciation)."
FX Butterfly,Butterfly = (AtM Vol + 25D Call Vol + 25D Put Vol) / 3 - AtM Vol,Currency and FX - Volatility Surface,"This equation calculates the FX butterfly spread. Butterfly represents the curvature of the volatility smile, AtM Vol is at-the-money volatility, and 25D Call/Put are 25-delta option volatilities. This measures the smile curvature."
FX Delta Neutral Straddle,Straddle = Call(25D) + Put(25D),Currency and FX - Volatility Surface,This equation describes a delta-neutral straddle using 25-delta options. Straddle represents buying equal amounts of 25-delta calls and puts to create a position that profits from volatility regardless of direction. This is a common volatility trading strategy.
NDF Valuation,V_{NDF} = N \times (S_{market} - S_{strike}) \times DF_{domestic},Currency and FX - Non-Deliverable Forwards,"This equation calculates the value of a Non-Deliverable Forward. V_NDF represents the mark-to-market value, N is the notional in USD, S_market is the current NDF rate, S_strike is the contract rate, and DF_domestic is the domestic discount factor. NDFs are settled in USD."
