title,equation_latex,main_category,notes
Covered Interest Parity,F = S * (1 + r_{d \times om \times es \times ti \times c}) / (1 + r_{f \times or \times ei \times gn}),Currency and FX - Forward Rates,"This equation defines covered interest parity. F represents the forward exchange rate, S is the spot exchange rate, r_domestic is the domestic interest rate, and r_foreign is the foreign interest rate. CIP must hold to prevent arbitrage opportunities in the foreign exchange market."
Uncovered Interest Parity,E[F] = S * (1 + r_{d \times om \times es \times ti \times c} - r_{f \times or \times ei \times gn}),Currency and FX - Forward Rates,"This equation defines uncovered interest parity. E[F] represents the expected future spot rate, S is the current spot rate, r_domestic is the domestic interest rate, and r_foreign is the foreign interest rate. UIP is a theoretical condition that often does not hold in practice."
Forward Premium,F \times or \times wa \times rd \times Pr \times em \times iu \times m = (F - S) / S,Currency and FX - Forward Rates,This equation calculates the forward premium or discount. Forward Premium represents the percentage difference between forward and spot rates. Positive values indicate the domestic currency is trading at a forward premium (stronger forward than spot).
Forward Discount,F \times or \times wa \times rd \times Di \times sc \times ou \times nt = (S - F) / S,Currency and FX - Forward Rates,This equation calculates the forward discount. Forward Discount represents the percentage by which the forward rate is below the spot rate. A forward discount indicates the domestic currency is expected to weaken.
Continuous Covered Parity,F = S * e \times xp \t \times im \times es ((r_{d \times om \times es \times ti \times c} - r_{f \times or \times ei \times gn}) * T),Currency and FX - Forward Rates,"This equation defines covered interest parity with continuous compounding. F represents the forward rate, S is the spot rate, r_domestic and r_foreign are continuously compounded interest rates, and T is time to maturity. This form is widely used in derivatives pricing."
Forward Rate Agreement Value,V_{F \times RA} = N * (L - K) * d \times el \times ta * __A \times BB \times R0__,Currency and FX - Interest Rate Parity,"This equation calculates the value of a Forward Rate Agreement. V_FRA represents the mark-to-market value, N is the notional, L is the realized LIBOR rate, K is the agreed FRA rate, delta is the day count fraction, and DF is the discount factor."
Forward Rate Agreement Rate,F \times RA \times Ra \times te = ((1 + r_{l \times on \times g} * T_{l \times on \times g}) / (1 + r_{s \times ho \times rt} * T_{s \times ho \times rt}) - 1) * (360 / d \times el \times ta),Currency and FX - Interest Rate Parity,"This equation calculates the FRA rate. FRA Rate represents the rate agreed in the FRA contract, r_long is the rate for the longer period, r_short is the rate for the shorter period, T_long and T_short are the year fractions, and delta is the day count in days."
Purchasing Power Parity (Absolute),S = P_{d \times om \times es \times ti \times c} / P_{f \times or \times ei \times gn},Currency and FX - Purchasing Power Parity,"This equation defines absolute purchasing power parity. S represents the exchange rate that equalizes the purchasing power of two currencies, P_domestic is the domestic price level, and P_foreign is the foreign price level. This is the law of one price applied to price levels."
Purchasing Power Parity (Relative),S_{1} / S_{0} = (1 + i \times nf \times la \times ti \times on_{d \times om \times es \times ti \times c}) / (1 + i \times nf \times la \times ti \times on_{f \times or \times ei \times gn}),Currency and FX - Purchasing Power Parity,"This equation defines relative purchasing power parity. S_1/S_0 represents the change in the exchange rate, inflation_domestic is the domestic inflation rate, and inflation_foreign is the foreign inflation rate. This predicts how exchange rates adjust for inflation differentials."
Real Exchange Rate,R \times ER = S * (P_{f \times or \times ei \times gn} / P_{d \times om \times es \times ti \times c}),Currency and FX - Purchasing Power Parity,"This equation calculates the real exchange rate. RER represents the relative price of goods across countries, S is the nominal exchange rate, P_foreign is the foreign price level, and P_domestic is the domestic price level. RER deviations from 1 indicate real exchange rate misalignment."
Big Mac Index,B \times ig \times Ma \times c P \times PP = L \times oc \times al \times Pr \times ic \times e / U \times S P \times ri \times ce,Currency and FX - Purchasing Power Parity,"This equation defines the Big Mac index methodology. Big Mac PPP represents the implied exchange rate based on Big Mac prices, Local Price is the Big Mac price in local currency, and US Price is the Big Mac price in the US. This provides a simple PPP benchmark."
FX Forward Valuation,V_{f \times or \times wa \times rd} = (F_{m \times ar \times ke \times t} - F_{t \times he \times or \times et \times ic \times al}) * N * __A \times BB \times R0__,Currency and FX - FX Derivatives,"This equation calculates the value of an FX forward. V_forward represents the mark-to-market value, F_market is the market forward rate, F_theoretical is the contract forward rate, N is the notional, and DF is the discount factor."
Cross Rate,S_{c \times ro \times ss} = S_{A}/B = S_{A}/U \times SD / S_{B}/U \times SD,Currency and FX - Cross Rates,"This equation calculates a cross exchange rate. S_cross represents the exchange rate between currencies A and B, S_A/USD is the rate between A and USD, and S_B/USD is the rate between B and USD. Cross rates are derived from rates against a common currency."
Triangular Arbitrage,S_{A}/B - S_{A}/U \times SD * S_{U \times SD}/B = 0,Currency and FX - Cross Rates,"This equation defines the no-arbitrage condition for triangular arbitrage. S_A/B represents the direct rate, S_A/USD and S_USD/B are cross rates through USD. Any arbitrage opportunities that deviation creates should be quickly eliminated."
Currency Option Delta (Call),D \times el \times ta_{C} = e^{-q \times T} * N \t \times im \times es (d_{1}),Currency and FX - Currency Options,"This equation calculates the delta of a currency call option. Delta_C represents the sensitivity to the spot rate, q is the foreign risk-free rate, T is time to expiration, and N(d_1) is the cumulative normal distribution. Foreign currency options use the Garman-Kohlhagen model."
Currency Option Delta (Put),D \times el \times ta_{P} = -e^{-q \times T} * N \t \times im \times es (-d_{1}),Currency and FX - Currency Options,"This equation calculates the delta of a currency put option. Delta_P represents the sensitivity to the spot rate, q is the foreign risk-free rate, T is time to expiration, and N(-d_1) is the cumulative normal. Put delta is negative, as put prices fall when the currency appreciates."
Garman-Kohlhagen Call Price,C = e^{-r_{d} T} * (F * N \t \times im \times es (d_{1}) - K * N \t \times im \times es (d_{2})),Currency and FX - Currency Options,"This equation prices a European currency call option using the Garman-Kohlhagen model. C represents the call price, r_d is the domestic rate, F is the forward rate, K is the strike, and N(d) are cumulative normal distributions. This extends Black-Scholes for two currencies."
Garman-Kohlhagen d_1,d_{1} = (l \times n \t \times im \times es (F/K) + 0.5 * s \times ig \times ma^{2} * T) / (s \times ig \times ma * s \times qr \times t \t \times im \times es (T)),Currency and FX - Currency Options,"This equation defines d_1 for the Garman-Kohlhagen model. d_1 combines the moneyness (ln(F/K)), volatility sigma, and time to expiration T. This parameter is used in both the call and put pricing formulas."
Currency Put-Call Parity,C + K * e^{-r_{d} T} = P + F * e^{-q \times T},Currency and FX - Currency Options,"This equation defines put-call parity for currency options. C and P are call and put prices, K is the strike, r_d is the domestic rate, q is the foreign rate, and F is the forward rate. This no-arbitrage relationship links call and put prices."
Carry Trade Return,R_{c \times ar \times ry} = (r_{f \times or \times ei \times gn} - r_{d \times om \times es \times ti \times c}) - (E[S_{T}] - S_{0}) / S_{0},Currency and FX - Carry Trade,"This equation calculates the expected return from a carry trade. R_carry represents the expected return from borrowing in low-yield currencies and investing in high-yield currencies, r_foreign and r_domestic are interest rates, and the last term is expected depreciation."
Carry Trade Sharpe Ratio,S \times ha \times rp \times e = (r_{f \times or \times ei \times gn} - r_{d \times om \times es \times ti \times c} - s \times ig \times ma_{S} * s \times ig \times ma_{R} * r \times ho) / s \times ig \times ma_{c \times ar \times ry},Currency and FX - Carry Trade,"This equation calculates the Sharpe ratio for carry trades. Sharpe represents risk-adjusted carry return, r_foreign - r_domestic is the interest rate differential, sigma_S is spot volatility, sigma_R is the risk premium, rho is correlation, and sigma_carry is carry volatility."
FX Swap Points,S \times wa \times p P \times oi \times nt \times s = F - S = S * (r_{d} - r_{f}) * T,Currency and FX - FX Swaps,"This equation calculates the swap points for an FX swap. Swap Points represent the difference between forward and spot rates, which approximately equals the interest rate differential times the spot rate and time to maturity."
FX Implied Volatility,s \times ig \times ma_{i \times mp \times li \times ed} = s \times ig \times ma_{r \times ea \times li \times ze \times d} / s \times qr \times t \t \times im \times es (1 - r \times ho^{2}),Currency and FX - Volatility,"This equation relates implied to realized volatility for currency pairs. sigma_implied represents the volatility implied by option prices, sigma_realized is historical volatility, and rho is the correlation between spot returns and volatility. Implied volatility is typically higher for currencies."
Currency Basis,C \times ur \times re \times nc \times y B \times as \times is = F_{m \times ar \times ke \times t} - F_{C \times IP},Currency and FX - Cross Currency Swaps,"This equation calculates the currency basis in cross-currency swaps. Currency Basis represents the deviation from covered interest parity, F_market is the market forward rate, and F_CIP is the CIP-implied forward. A positive basis indicates funding pressure in the foreign currency."
Cross Currency Swap Spread,C \times CS \times Sp \times re \times ad = R_{d \times om \times es \times ti \times c} - R_{f \times or \times ei \times gn} - (S_{0} - F_{C \times IP}) / S_{0},Currency and FX - Cross Currency Swaps,"This equation calculates the cross-currency swap spread. CCS Spread represents the differential between domestic and foreign rates adjusted for the forward points, R_domestic and R_foreign are rates, S_0 is spot, and F_CIP is the CIP forward."
FX Risk Reversal,R \times is \times k R \times ev \times er \times sa \times l = C \times al \times l V \times ol - P \times ut \times Vo \times l,Currency and FX - Volatility Surface,"This equation calculates the FX risk reversal. Risk Reversal represents the volatility difference between out-of-the-money calls and puts, which indicates market skew. Positive risk reversal means calls are more expensive (market expects currency appreciation)."
FX Butterfly,B \times ut \times te \times rf \times ly = (A \times tM \times Vo \times l + 25 \t \times im \times es \times D C \times al \times l V \times ol + 25 \t \times im \times es \times D P \times ut \times Vo \times l) / 3 - A \times tM \times Vo \times l,Currency and FX - Volatility Surface,"This equation calculates the FX butterfly spread. Butterfly represents the curvature of the volatility smile, AtM Vol is at-the-money volatility, and 25D Call/Put are 25-delta option volatilities. This measures the smile curvature."
FX Delta Neutral Straddle,S \times tr \times ad \times dl \times e = C \times al \times l \t \times im \times es (25 \t \times im \times es \times D) + P \times ut \t \times im \times es (25 \t \times im \times es \times D),Currency and FX - Volatility Surface,This equation describes a delta-neutral straddle using 25-delta options. Straddle represents buying equal amounts of 25-delta calls and puts to create a position that profits from volatility regardless of direction. This is a common volatility trading strategy.
NDF Valuation,V_{N \times \text{DF}} = N * (S_{m \times ar \times ke \times t} - S_{s \times tr \times ik \times e}) * D \times F_{d \times om \times es \times ti \times c},Currency and FX - Non-Deliverable Forwards,"This equation calculates the value of a Non-Deliverable Forward. V_NDF represents the mark-to-market value, N is the notional in USD, S_market is the current NDF rate, S_strike is the contract rate, and DF_domestic is the domestic discount factor. NDFs are settled in USD."
FX Delta Exposure,D \times el \times ta \times Ex \times po \times su \times re = P \times os \times it \times io \times n S \times iz \times e * D \times el \times ta * S_{0},Currency and FX - Risk Management,"This equation calculates the delta exposure in FX. Delta Exposure represents the equivalent spot position, Position Size is the option notional, Delta is the option delta, and S_0 is the spot rate. This is used for hedging and risk management."
