title,equation_latex,main_category,notes
Simple Interest Future Value,FV = P(1 + rt),Foundations - Time Value of Money,This equation calculates the future value of a principal amount under simple interest. P represents the principal amount (initial investment)
Simple Interest Present Value,PV = FV / (1 + rt),Foundations - Time Value of Money,This equation calculates the present value of a future amount under simple interest. PV represents the present value (the amount that needs to be invested today)
Simple Interest Amount,I = Prt,Foundations - Time Value of Money,This equation calculates the interest earned or paid under simple interest. I represents the interest amount
Compound Interest Future Value (Annual),FV = P(1 + r)^t,Foundations - Time Value of Money,This equation calculates the future value with annual compounding. FV represents the future value
Compound Interest Future Value (Multiple Periods),FV = P(1 + r/m)^{mt},Foundations - Time Value of Money,This equation calculates the future value with compounding m times per year. FV represents the future value
Effective Annual Rate,EAR = (1 + r/m)^m - 1,Foundations - Time Value of Money,This equation calculates the effective annual interest rate from a nominal rate. EAR represents the effective annual rate
Continuous Compounding Future Value,FV = Pe^{rt},Foundations - Time Value of Money,This equation calculates the future value with continuous compounding. FV represents the future value
Present Value with Annual Discounting,PV = FV / (1 + r)^t,Foundations - Time Value of Money,This equation calculates the present value of a future amount with annual discounting. PV represents the present value
Present Value with Multiple Period Discounting,PV = FV / (1 + r/m)^{mt},Foundations - Time Value of Money,This equation calculates the present value with discounting m times per year. PV represents the present value
Present Value with Continuous Discounting,PV = FV e^{-rt},Foundations - Time Value of Money,This equation calculates the present value with continuous discounting. PV represents the present value
Discount Factor (Annual),DF = 1 / (1 + r)^t,Foundations - Time Value of Money,This equation calculates the discount factor for annual discounting. DF represents the discount factor
Discount Factor (Continuous),DF = e^{-rt},Foundations - Time Value of Money,This equation calculates the discount factor with continuous compounding. DF represents the discount factor
Day Count Fraction (Actual/Actual),t = Days in Period / Days in Year,Foundations - Time Value of Money,This equation calculates the time fraction using the Actual/Actual day count convention. t represents the time fraction
Day Count Fraction (30/360),t = (360(Y2 - Y1) + 30(M2 - M1) + (D2 - D1)) / 360,Foundations - Time Value of Money,This equation calculates the time fraction using the 30/360 day count convention. t represents the time fraction
Day Count Fraction (Actual/360),t = Days in Period / 360,Foundations - Time Value of Money,This equation calculates the time fraction using the Actual/360 day count convention. t represents the time fraction
Day Count Fraction (Actual/365),t = Days in Period / 365,Foundations - Time Value of Money,This equation calculates the time fraction using the Actual/365 day count convention. t represents the time fraction
Forward Rate (Discrete),F_{t,Foundations - Time Value of Money,Foundations - Interest Rate Conventions
Forward Rate (Continuous),F_{t,Foundations - Time Value of Money,Foundations - Interest Rate Conventions
Spot Rate from Zero-Coupon Bond,r_t = -ln(P_t) / t,Foundations - Time Value of Money,This equation calculates the continuously compounded spot rate from a zero-coupon bond price. r_t represents the spot rate for maturity t
Zero-Coupon Bond Price,P_t = e^{-r_t t},Foundations - Time Value of Money,This equation calculates the price of a zero-coupon bond given the continuously compounded spot rate. P_t represents the bond price
Par Yield,c = (1 - P_T) / (sum_{i=1}^T P_{t_i}),Foundations - Time Value of Money,This equation calculates the par yield (coupon rate that makes a bond price equal to par). c represents the par yield
Annuity Present Value,PV = C * (1 - (1 + r)^{-n}) / r,Foundations - Time Value of Money,This equation calculates the present value of an ordinary annuity. PV represents the present value
Annuity Future Value,FV = C * ((1 + r)^n - 1) / r,Foundations - Time Value of Money,This equation calculates the future value of an ordinary annuity. FV represents the future value
Growing Annuity Present Value,PV = C * (1 - ((1 + g) / (1 + r))^n) / (r - g),Foundations - Time Value of Money,This equation calculates the present value of a growing annuity. PV represents the present value
Perpetuity Present Value,PV = C / r,Foundations - Time Value of Money,This equation calculates the present value of a perpetuity (infinite series of equal payments). PV represents the present value
Growing Perpetuity Present Value,PV = C / (r - g),Foundations - Time Value of Money,This equation calculates the present value of a growing perpetuity. PV represents the present value
Nominal to Effective Rate Conversion,r_eff = (1 + r_nom / m)^m - 1,Foundations - Time Value of Money,This equation converts a nominal interest rate to an effective rate. r_eff represents the effective annual rate
Effective to Nominal Rate Conversion,r_nom = m * ((1 + r_eff)^{1/m} - 1),Foundations - Time Value of Money,This equation converts an effective interest rate to a nominal rate. r_nom represents the nominal annual rate
Continuous Rate from Discrete,r_cont = m * ln(1 + r_disc / m),Foundations - Time Value of Money,This equation converts a discretely compounded rate to a continuously compounded rate. r_cont represents the continuously compounded rate
Discrete Rate from Continuous,r_disc = m * (e^{r_cont / m} - 1),Foundations - Time Value of Money,This equation converts a continuously compounded rate to a discretely compounded rate. r_disc represents the discretely compounded nominal rate
Time Value of Money General Formula,FV = PV * (1 + r)^t,Foundations - Time Value of Money,This is the fundamental time value of money equation. FV represents the future value
Present Value of Uneven Cash Flows,PV = sum_{t=1}^n CF_t / (1 + r)^t,Foundations - Time Value of Money,This equation calculates the present value of a series of unequal cash flows. PV represents the present value
