title,equation_latex,main_category,notes
Simple Interest Future Value,\text{FV} = P \times \left(1 + r \times t\right) = P + \left(P \times r \times t\right) = P + \text{Interest},Foundations - Time Value of Money,"This equation calculates the future value of a principal amount under simple interest. P represents the principal amount (initial investment) This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity. Under simple interest, growth is linear—interest is calculated solely on the initial principal."
Simple Interest Present Value,\text{PV} = \frac{\text{FV}}{1 + r \times t},Foundations - Time Value of Money,"This equation calculates the present value of a future amount under simple interest. PV represents the present value (the amount that needs to be invested today) This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity. Under simple interest, growth is linear—interest is calculated solely on the initial principal."
Simple Interest Amount,I = Prt,Foundations - Time Value of Money,"This equation calculates the interest earned or paid under simple interest. I represents the interest amount This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity. Under simple interest, growth is linear—interest is calculated solely on the initial principal."
Compound Interest Future Value (Annual),\text{FV} = P \times \left(1 + r\right)^{t},Foundations - Time Value of Money,"This equation calculates the future value with annual compounding. FV represents the future value This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity. Compound interest produces exponential growth through interest-on-interest."
Compound Interest Future Value (Multiple Periods),\text{FV} = P \times (1 + r/m)^{mt},Foundations - Time Value of Money,"This equation calculates the future value with compounding m times per year. FV represents the future value This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity. Compound interest produces exponential growth through interest-on-interest."
Effective Annual Rate,\text{EAR} = (1 + r/m)^{m} - 1,Foundations - Time Value of Money,This equation calculates the effective annual interest rate from a nominal rate. EAR represents the effective annual rate
Continuous Compounding Future Value,\text{FV} = Pe^{rt},Foundations - Time Value of Money,"This equation calculates the future value with continuous compounding. FV represents the future value This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity. Compound interest produces exponential growth through interest-on-interest."
Present Value with Annual Discounting,\text{PV} = \frac{\text{FV}}{\left(1 + r\right)^{t}} = \text{FV} \times \left(1 + r\right)^{-t},Foundations - Time Value of Money,"This equation calculates the present value of a future amount with annual discounting. PV represents the present value This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity."
Present Value with Multiple Period Discounting,\text{PV} = \text{FV} / (1 + r/m)^{mt},Foundations - Time Value of Money,"This equation calculates the present value with discounting m times per year. PV represents the present value This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity."
Present Value with Continuous Discounting,\text{PV} = \text{FV} e^{-rt},Foundations - Time Value of Money,"This equation calculates the present value with continuous discounting. PV represents the present value This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity."
Discount Factor (Annual),\text{DF}_{t} = \frac{1}{\left(1 + r\right)^{t}},Foundations - Time Value of Money,"This equation calculates the discount factor for annual discounting. DF represents the discount factor This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity."
Discount Factor (Continuous),\text{DF} = e^{-rt},Foundations - Time Value of Money,"This equation calculates the discount factor with continuous compounding. DF represents the discount factor This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity."
Day Count Fraction (Actual/Actual),t = Days in Period / Days in Year,Foundations - Time Value of Money,This equation calculates the time fraction using the Actual/Actual day count convention. t represents the time fraction
Day Count Fraction (30/360),t = (360(Y2 - Y1) + 30(M2 - M1) + (D2 - D1)) / 360,Foundations - Time Value of Money,This equation calculates the time fraction using the 30/360 day count convention. t represents the time fraction
Day Count Fraction (Actual/360),t = Days in Period / 360,Foundations - Time Value of Money,This equation calculates the time fraction using the Actual/360 day count convention. t represents the time fraction
Day Count Fraction (Actual/365),t = Days in Period / 365,Foundations - Time Value of Money,This equation calculates the time fraction using the Actual/365 day count convention. t represents the time fraction
Forward Rate (Discrete),F_{t,Foundations - Time Value of Money,Foundations - Interest Rate Conventions
Forward Rate (Continuous),F_{t,Foundations - Time Value of Money,Foundations - Interest Rate Conventions
Spot Rate from Zero-Coupon Bond,r_{t} = -ln(P_{t}) / t,Foundations - Time Value of Money,This equation calculates the continuously compounded spot rate from a zero-coupon bond price. r_t represents the spot rate for maturity t
Zero-Coupon Bond Price,P_{t} = e^{-r_{t} t},Foundations - Time Value of Money,This equation calculates the price of a zero-coupon bond given the continuously compounded spot rate. P_t represents the bond price
Par Yield,c = (1 - P_{T}) / (sum_{i=1}^{T} P_{t_{i}}),Foundations - Time Value of Money,This equation calculates the par yield (coupon rate that makes a bond price equal to par). c represents the par yield
Annuity Present Value,\text{PV} = C \times \frac{1 - \left(1 + r\right)^{-n}}{r},Foundations - Time Value of Money,"This equation calculates the present value of an ordinary annuity. PV represents the present value This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity."
Annuity Future Value,\text{FV} = C \times ((1 + r)^{n} - 1) / r,Foundations - Time Value of Money,"This equation calculates the future value of an ordinary annuity. FV represents the future value This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity."
Growing Annuity Present Value,\text{PV} = C \times \frac{1 - \left(1 + r\right)^{-n}}{r},Foundations - Time Value of Money,"This equation calculates the present value of a growing annuity. PV represents the present value This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity."
Perpetuity Present Value,\text{PV} = \frac{C}{r},Foundations - Time Value of Money,"This equation calculates the present value of a perpetuity (infinite series of equal payments). PV represents the present value This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity."
Growing Perpetuity Present Value,\text{PV} = C / (r - g),Foundations - Time Value of Money,"This equation calculates the present value of a growing perpetuity. PV represents the present value This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity."
Nominal to Effective Rate Conversion,r_{eff} = (1 + r_{nom} / m)^{m} - 1,Foundations - Time Value of Money,This equation converts a nominal interest rate to an effective rate. r_eff represents the effective annual rate
Effective to Nominal Rate Conversion,r_{nom} = m \times ((1 + r_{eff})^{1/m} - 1),Foundations - Time Value of Money,This equation converts an effective interest rate to a nominal rate. r_nom represents the nominal annual rate
Continuous Rate from Discrete,r_{cont} = m \times ln(1 + r_{disc} / m),Foundations - Time Value of Money,This equation converts a discretely compounded rate to a continuously compounded rate. r_cont represents the continuously compounded rate
Discrete Rate from Continuous,r_{disc} = m \times (e^{r_{cont} / m} - 1),Foundations - Time Value of Money,This equation converts a continuously compounded rate to a discretely compounded rate. r_disc represents the discretely compounded nominal rate
Time Value of Money General Formula,\text{FV} = \text{PV} \times (1 + r)^{t},Foundations - Time Value of Money,This is the fundamental time value of money equation. FV represents the future value
Present Value of Uneven Cash Flows,\text{PV} = sum_{t=1}^{n} CF_{t} / (1 + r)^{t},Foundations - Time Value of Money,"This equation calculates the present value of a series of unequal cash flows. PV represents the present value This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity."
Future Value of Uneven Cash Flows,\text{FV} = sum_{t=1}^{n} CF_{t} \times (1 + r)^{n-t},Foundations - Time Value of Money,"This equation calculates the future value of a series of unequal cash flows. FV represents the future value at time n This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity."
Interest Rate Parity,F = S \times (1 + r_{d}) / (1 + r_{f}),Foundations - Time Value of Money,"This equation expresses the relationship between spot and forward exchange rates. F represents the forward exchange rate This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity."
Real Interest Rate,r_{real} = (1 + r_{nom}) / (1 + inflation) - 1,Foundations - Time Value of Money,"This equation calculates the real interest rate from the nominal rate and inflation. r_real represents the real interest rate This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity."
Fisher Equation,r_{nom} = r_{real} + inflation + r_{real} \times inflation,Foundations - Time Value of Money,This is the exact Fisher equation relating nominal and real interest rates. r_nom represents the nominal rate
Yield to First Call,\text{YTC} = (C + (P_{call} - P) / n) / ((P_{call} + P) / 2),Foundations - Time Value of Money,This equation calculates the yield to call for a callable bond. YTC represents the yield to call
Current Yield,\text{CY} = C / P,Foundations - Time Value of Money,This equation calculates the current yield of a bond. CY represents the current yield
Yield to Maturity Approximation,\text{YTM} ≈ (C + (F - P) / n) / ((F + P) / 2),Foundations - Time Value of Money,This equation provides an approximation of the yield to maturity. YTM represents the yield to maturity
Macaulay Duration (Zero-Coupon),D_{mac} = t,Foundations - Time Value of Money,This equation shows that the Macaulay duration of a zero-coupon bond equals its time to maturity. D_mac represents the Macaulay duration Duration is the primary measure of interest rate sensitivity in fixed income.
Macaulay Duration (Coupon Bond),D_{mac} = sum_{t=1}^{n} (t \times CF_{t} / (1 + y)^{t}) / P,Foundations - Time Value of Money,This equation calculates the Macaulay duration of a coupon bond. D_mac represents the Macaulay duration Duration is the primary measure of interest rate sensitivity in fixed income.
Modified Duration,D_{mod} = D_{mac} / (1 + y),Foundations - Time Value of Money,This equation calculates the modified duration from Macaulay duration. D_mod represents the modified duration Duration is the primary measure of interest rate sensitivity in fixed income.
Dollar Duration,DD = -D_{mod} \times P,Foundations - Time Value of Money,This equation calculates the dollar duration (also called price value of a basis point or PV01). DD represents the dollar duration Duration is the primary measure of interest rate sensitivity in fixed income.
Convexity,Conv = sum_{t=1}^{n} (t \times (t+1) \times CF_{t} / (1 + y)^{t+2}) / P,Foundations - Time Value of Money,This equation calculates the convexity of a bond. Conv represents convexity Convexity captures the second-order effect in price-yield relationships.
Price Change Approximation,dP/P ≈ -D_{mod} \times dy + 0.5 \times Conv \times (dy)^{2},Foundations - Time Value of Money,This equation approximates the percentage price change of a bond for a small change in yield. dP/P represents the percentage price change
Forward Price of an Asset,F = S \times e^{(r - q)T},Foundations - Time Value of Money,This equation calculates the forward price of an asset with continuous dividend yield. F represents the forward price
Cost of Carry,C = r - q,Foundations - Time Value of Money,This equation calculates the cost of carry for an asset. C represents the cost of carry
Interest Rate Forward Price,F = (1 + r_{long} \times T_{long}) / (1 + r_{short} \times T_{short}) - 1,Foundations - Time Value of Money,"This equation calculates the forward interest rate using discrete compounding. F represents the forward rate This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity."
Zero Rate from Forward Rates,r_{0},Foundations - Time Value of Money,i}
Bootstrap Method,P_{T} = 1 / (1 + c \times sum_{i=1}^{T-1} P_{i}),Foundations - Time Value of Money,This equation is used in the bootstrap method to extract zero-coupon prices from coupon bond prices. P_T represents the zero-coupon price for maturity T
Rolling Down the Yield Curve,Total Return = Income + Rolldown,Foundations - Time Value of Money,This equation decomposes the total return of a bond into income and rolldown components. Total Return is the total return over a period
