title,equation_latex,main_category,notes
Simple Interest Future Value,\text{FV} = P \times \left(1 + r \times t\right) = P + \left(P \times r \times t\right) = P + \text{Interest},Foundations - Time Value of Money,"This equation calculates the future value of a principal amount under simple interest. P represents the principal amount (initial investment) This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity. Under simple interest, growth is linear—interest is calculated solely on the initial principal, not on accumulated interest."
Simple Interest Present Value,\text{PV} = \frac{\text{FV}}{1 + r \times t},Foundations - Time Value of Money,"This equation calculates the present value of a future amount under simple interest. PV represents the present value (the amount that needs to be invested today) This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity. Under simple interest, growth is linear—interest is calculated solely on the initial principal, not on accumulated interest."
Simple Interest Amount,I = P \times rt,Foundations - Time Value of Money,"This equation calculates the interest earned or paid under simple interest. I represents the interest amount This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity. Under simple interest, growth is linear—interest is calculated solely on the initial principal, not on accumulated interest."
Compound Interest Future Value (Annual),\text{FV} = P \times \left(1 + r\right)^{t},Foundations - Time Value of Money,"This equation calculates the future value with annual compounding. FV represents the future value This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity. Compound interest produces exponential growth through interest-on-interest."
Compound Interest Future Value (Multiple Periods),\t \times ex \times t{F \times V} = P \t \times im \times es (1 + r/m)^{m \times t},Foundations - Time Value of Money,"This equation calculates the future value with compounding m times per year. FV represents the future value This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity. Compound interest produces exponential growth through interest-on-interest."
Effective Annual Rate,\t \times ex \times t{E \times AR} = (1 + r/m)^{m} - 1,Foundations - Time Value of Money,This equation calculates the effective annual interest rate from a nominal rate. EAR represents the effective annual rate
Continuous Compounding Future Value,\t \times ex \times t{F \times V} = P \times e^{r \times t},Foundations - Time Value of Money,"This equation calculates the future value with continuous compounding. FV represents the future value This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity. Compound interest produces exponential growth through interest-on-interest."
Present Value with Annual Discounting,\text{PV} = \frac{\text{FV}}{\left(1 + r\right)^{t}} = \text{FV} \times \left(1 + r\right)^{-t},Foundations - Time Value of Money,"This equation calculates the present value of a future amount with annual discounting. PV represents the present value This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity."
Present Value with Multiple Period Discounting,\t \times ex \times t{P \times V} = \t \times ex \times t{F \times V} / (1 + r/m)^{m \times t},Foundations - Time Value of Money,"This equation calculates the present value with discounting m times per year. PV represents the present value This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity."
Present Value with Continuous Discounting,\t \times ex \times t{P \times V} = \t \times ex \times t{F \times V} e^{-r \times t},Foundations - Time Value of Money,"This equation calculates the present value with continuous discounting. PV represents the present value This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity."
