title,equation_latex,main_category,notes
Simple Interest Future Value,\text{FV} = P \times \left(1 + r \times t\right) = P + \left(P \times r \times t\right) = P + \text{Interest},Foundations - Time Value of Money,"This equation calculates the future value of a principal amount under simple interest. P represents the principal amount (initial investment) This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity. The mathematical formulation captures how capital compounds over time, forming the foundation for all discounted cash flow analysis. Under simple interest, growth is linear—interest is calculated solely on the initial principal, not on accumulated interest. This model applies to short-term instruments and certain loan structures where interest is not capitalized."
Simple Interest Present Value,\text{PV} = \frac{\text{FV}}{1 + r \times t} = \text{FV} \times \frac{1}{1 + r \times t},Foundations - Time Value of Money,"This equation calculates the present value of a future amount under simple interest. PV represents the present value (the amount that needs to be invested today) This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity. The mathematical formulation captures how capital compounds over time, forming the foundation for all discounted cash flow analysis. Under simple interest, growth is linear—interest is calculated solely on the initial principal, not on accumulated interest. This model applies to short-term instruments and certain loan structures where interest is not capitalized."
Simple Interest Amount,\text{I} = \text{P} \times rt,Foundations - Time Value of Money,"This equation calculates the interest earned or paid under simple interest. I represents the interest amount This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity. The mathematical formulation captures how capital compounds over time, forming the foundation for all discounted cash flow analysis. Under simple interest, growth is linear—interest is calculated solely on the initial principal, not on accumulated interest. This model applies to short-term instruments and certain loan structures where interest is not capitalized."
Compound Interest Future Value (Annual),\text{FV} = P \times \left(1 + r\right)^{t} = P \times e^{\ln\left(1 + r\right) \times t},Foundations - Time Value of Money,"This equation calculates the future value with annual compounding. FV represents the future value This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity. The mathematical formulation captures how capital compounds over time, forming the foundation for all discounted cash flow analysis. Compound interest produces exponential growth through interest-on-interest, making it the standard model for most financial calculations over multi-period horizons."
Compound Interest Future Value (Multiple Periods),\text{F} \times \text{V} = \text{P} \times (1 + r/m)^{m \times t},Foundations - Time Value of Money,"This equation calculates the future value with compounding m times per year. FV represents the future value This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity. The mathematical formulation captures how capital compounds over time, forming the foundation for all discounted cash flow analysis. Compound interest produces exponential growth through interest-on-interest, making it the standard model for most financial calculations over multi-period horizons."
Effective Annual Rate,\text{E} \times AR = (1 + r/m)^{m} - 1,Foundations - Time Value of Money,This equation calculates the effective annual interest rate from a nominal rate. EAR represents the effective annual rate
Continuous Compounding Future Value,\text{F} \times \text{V} = \text{P} \times e^{r \times t},Foundations - Time Value of Money,"This equation calculates the future value with continuous compounding. FV represents the future value This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity. The mathematical formulation captures how capital compounds over time, forming the foundation for all discounted cash flow analysis. Compound interest produces exponential growth through interest-on-interest, making it the standard model for most financial calculations over multi-period horizons."
Present Value with Annual Discounting,\text{PV} = \frac{\text{FV}}{\left(1 + r\right)^{t}} = \text{FV} \times \left(1 + r\right)^{-t} = \text{FV} \times \text{DF}_{t},Foundations - Time Value of Money,"This equation calculates the present value of a future amount with annual discounting. PV represents the present value This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity. The mathematical formulation captures how capital compounds over time, forming the foundation for all discounted cash flow analysis."
Present Value with Multiple Period Discounting,\text{P} \times \text{V} = \text{F} \times \text{V} / (1 + r/m)^{m \times t},Foundations - Time Value of Money,"This equation calculates the present value with discounting m times per year. PV represents the present value This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity. The mathematical formulation captures how capital compounds over time, forming the foundation for all discounted cash flow analysis."
Present Value with Continuous Discounting,\text{P} \times \text{V} = \text{F} \times \text{V} e^{-r \times t},Foundations - Time Value of Money,"This equation calculates the present value with continuous discounting. PV represents the present value This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity. The mathematical formulation captures how capital compounds over time, forming the foundation for all discounted cash flow analysis."
Discount Factor (Annual),\text{DF}_{t} = \frac{1}{\left(1 + r\right)^{t}} = \left(1 + r\right)^{-t},Foundations - Time Value of Money,"This equation calculates the discount factor for annual discounting. DF represents the discount factor This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity. The mathematical formulation captures how capital compounds over time, forming the foundation for all discounted cash flow analysis."
Discount Factor (Continuous),D \times \text{F} = e^{-r \times t},Foundations - Time Value of Money,"This equation calculates the discount factor with continuous compounding. DF represents the discount factor This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity. The mathematical formulation captures how capital compounds over time, forming the foundation for all discounted cash flow analysis."
Day Count Fraction (Actual/Actual),t = D \times ay \times s i \times n \text{P} \times er \times io \times d / D \times ay \times s i \times n Y \times ea \times r,Foundations - Time Value of Money,This equation calculates the time fraction using the Actual/Actual day count convention. t represents the time fraction
Day Count Fraction (30/360),t = (360 \times (Y \times 2 - Y \times 1) + 30 \times (\text{M} \times 2 - \text{M} \times 1) + (D \times 2 - D \times 1)) / 360,Foundations - Time Value of Money,This equation calculates the time fraction using the 30/360 day count convention. t represents the time fraction
Day Count Fraction (Actual/360),t = D \times ay \times s i \times n \text{P} \times er \times io \times d / 360,Foundations - Time Value of Money,This equation calculates the time fraction using the Actual/360 day count convention. t represents the time fraction
Day Count Fraction (Actual/365),t = D \times ay \times s i \times n \text{P} \times er \times io \times d / 365,Foundations - Time Value of Money,This equation calculates the time fraction using the Actual/365 day count convention. t represents the time fraction
