title,equation_latex,main_category,notes
Zero-Coupon Bond Price,P = F / (1 + y)^{T},Fixed Income Securities,This equation calculates the price of a zero-coupon bond. P represents the bond price
Zero-Coupon Bond Price (Continuous),P = F \times e^{-yT},Fixed Income Securities,This equation calculates the price of a zero-coupon bond using continuous compounding. P represents the bond price
Coupon Bond Price,P = sum_{t=1}^{n} (C / (1 + y)^{t}) + (F / (1 + y)^{n}),Fixed Income Securities,This equation calculates the price of a coupon bond. P represents the bond price
Coupon Bond Price (Annual),P = C/y \times (1 - 1/(1 + y)^{n}) + F/(1 + y)^{n},Fixed Income Securities,This equation calculates the price of an annual coupon bond using the annuity formula. P represents the bond price
Coupon Bond Price (Semi-Annual),P = C/y/2 \times (1 - 1/(1 + y/2)^{2n}) + F/(1 + y/2)^{2n},Fixed Income Securities,This equation calculates the price of a semi-annual coupon bond. P represents the bond price
Bond Price Between Coupon Dates,P = (C/y) \times (1 - 1/(1 + y)^{n}) + F/(1 + y)^{n} + C \times (1 - f),Fixed Income Securities,This equation calculates the bond price between coupon dates
Accrued Interest,\text{AI} = C \times (Days since last coupon / Days in coupon period),Fixed Income Securities,This equation calculates the accrued interest on a bond between coupon dates. AI represents the accrued interest
Dirty Price,DP = Clean Price + Accrued Interest,Fixed Income Securities,This equation expresses the relationship between dirty price and clean price. DP represents the dirty price (full price)
Yield to Maturity (Zero-Coupon),y = (F/P)^{1/T} - 1,Fixed Income Securities,This equation calculates the yield to maturity for a zero-coupon bond. y represents the yield to maturity as a decimal
Yield to Maturity (Coupon Bond),P = sum_{t=1}^{n} C/(1 + y)^{t} + F/(1 + y)^{n},Fixed Income Securities,This equation defines the yield to maturity for a coupon bond. y represents the yield to maturity that equates the present value of all cash flows to the current price P. The YTM for coupon bonds must be solved numerically (e.g.
Current Yield,\text{CY} = C / P,Fixed Income Securities,This equation calculates the current yield of a bond. CY represents the current yield
Yield to Call (First Call),P = sum_{t=1}^{n_{c}} C/(1 + y_{tc})^{t} + F_{c}/(1 + y_{tc})^{n_{c}},Fixed Income Securities,This equation calculates the yield to call for a callable bond. y_{tc} represents the yield to call
Yield to Worst,\text{YTW} = min(\text{YTM},Fixed Income Securities, YTC_2
