title,equation_latex,main_category,notes
Zero-Coupon Bond Price,P = F / (1 + y)^{T},Fixed Income Securities,This equation calculates the price of a zero-coupon bond. P represents the bond price
Zero-Coupon Bond Price (Continuous),P = F * e^{-y \times T},Fixed Income Securities,This equation calculates the price of a zero-coupon bond using continuous compounding. P represents the bond price
Coupon Bond Price,P = s \times um_{t=1}^{n} (C / (1 + y)^{t}) + (F / (1 + y)^{n}),Fixed Income Securities,This equation calculates the price of a coupon bond. P represents the bond price
Coupon Bond Price (Annual),P = C/y * (1 - 1/(1 + y)^{n}) + F/(1 + y)^{n},Fixed Income Securities,This equation calculates the price of an annual coupon bond using the annuity formula. P represents the bond price
Coupon Bond Price (Semi-Annual),P = C/y/2 * (1 - 1/(1 + y/2)^{2 \t \times im \times es \times n}) + F/(1 + y/2)^{2 \t \times im \times es \times n},Fixed Income Securities,This equation calculates the price of a semi-annual coupon bond. P represents the bond price
Bond Price Between Coupon Dates,P = (C/y) * (1 - 1/(1 + y)^{n}) + F/(1 + y)^{n} + C * (1 - f),Fixed Income Securities,This equation calculates the bond price between coupon dates
Accrued Interest,__A \times BB \times R0__ = C * (D \times ay \times s s \times in \times ce \times la \times st \times co \times up \times on / D \times ay \times s i \times n c \times ou \times po \times n p \times er \times io \times d),Fixed Income Securities,This equation calculates the accrued interest on a bond between coupon dates. AI represents the accrued interest
Dirty Price,D \times P = C \times le \times an \times Pr \times ic \times e + A \times cc \times ru \times ed \times In \times te \times re \times st,Fixed Income Securities,This equation expresses the relationship between dirty price and clean price. DP represents the dirty price (full price)
Yield to Maturity (Zero-Coupon),y = (F/P)^{1/T} - 1,Fixed Income Securities,This equation calculates the yield to maturity for a zero-coupon bond. y represents the yield to maturity as a decimal
Yield to Maturity (Coupon Bond),P = s \times um_{t=1}^{n} C/(1 + y)^{t} + F/(1 + y)^{n},Fixed Income Securities,This equation defines the yield to maturity for a coupon bond. y represents the yield to maturity that equates the present value of all cash flows to the current price P. The YTM for coupon bonds must be solved numerically (e.g.
Current Yield,__A \times BB \times R0__ = C / P,Fixed Income Securities,This equation calculates the current yield of a bond. CY represents the current yield
Yield to Call (First Call),P = s \times um_{t=1}^{n_{c}} C/(1 + y_{t \times c})^{t} + F_{c}/(1 + y_{t \times c})^{n_{c}},Fixed Income Securities,This equation calculates the yield to call for a callable bond. y_{tc} represents the yield to call
Yield to Worst,__A \times BB \times R1__ = m \times in \t \times im \times es (__A \times BB \times R0__,Fixed Income Securities, YTC_2
Zero-Coupon Yield Curve,r_{t} = -l \times n \t \times im \times es (P_{t}) / t,Fixed Income Securities,This equation extracts the zero-coupon yield curve from zero-coupon bond prices. r_t represents the continuously compounded zero rate for maturity t
Par Yield,y_{p \times ar} = (1 - P_{T}) / (s \times um_{t=1}^{T} P_{t}),Fixed Income Securities,This equation calculates the par yield from zero-coupon discount factors. y_par represents the par yield (coupon rate that prices the bond at par)
Forward Rate from Spot Rates,F_{t,Fixed Income Securities,Fixed Income - Yield Curve Analysis
Forward Rate (Continuous),F_{t,Fixed Income Securities,Fixed Income - Yield Curve Analysis
Instantaneous Forward Rate,f \t \times im \times es (t) = r \t \times im \times es (t) + t * d \times r \t \times im \times es (t)/d \times t,Fixed Income Securities,This equation defines the instantaneous forward rate. f(t) represents the instantaneous forward rate for time t
Spot Rate from Forward Rates,r_{0},Fixed Income Securities,Fixed Income - Yield Curve Analysis
Nelson-Siegel Yield Curve,y \t \times im \times es (t) = b \times et \times a_{0} + b \times et \times a_{1} * (1 - e^{-t/t \times au})/(t/t \times au) + b \times et \times a_{2} * ((1 - e^{-t/t \times au})/(t/t \times au) - e^{-t/t \times au}),Fixed Income Securities,This is the Nelson-Siegel parameterization of the yield curve. y(t) represents the yield at time t
Nelson-Siegel-Svensson Extension,y \t \times im \times es (t) = b \times et \times a_{0} + b \times et \times a_{1} * (1 - e^{-t/t \times au_{1}})/(t/t \times au_{1}) + b \times et \times a_{2} * ((1 - e^{-t/t \times au_{1}})/(t/t \times au_{1}) - e^{-t/t \times au_{1}}) + b \times et \times a_{3} * ((1 - e^{-t/t \times au_{2}})/(t/t \times au_{2}) - e^{-t/t \times au_{2}}),Fixed Income Securities,This is the Nelson-Siegel-Svensson extension with an additional hump term. y(t) represents the yield at time t
Yield Curve Steepness,S \times lo \times pe = y_{10 \t \times im \times es \times y} - y_{2 \t \times im \times es \times y},Fixed Income Securities,This equation measures the steepness of the yield curve. Slope represents the difference between the 10-year yield and the 2-year yield. A positive slope indicates an upward-sloping yield curve (normal)
Yield Curve Curvature,C \times ur \times va \times tu \times re = 2 * y_{10 \t \times im \times es \times y} - y_{2 \t \times im \times es \times y} - y_{30 \t \times im \times es \times y},Fixed Income Securities,This equation measures the curvature (hump) of the yield curve. Curvature captures the non-linearity of the yield curve shape. A positive curvature indicates a hump-shaped yield curve
Butterfly Spread,B \times ut \times te \times rf \times ly = y_{10 \t \times im \times es \times y} - (y_{2 \t \times im \times es \times y} + y_{30 \t \times im \times es \times y})/2,Fixed Income Securities,This equation calculates the butterfly spread of the yield curve. Butterfly measures the deviation of the intermediate yield from the average of the short and long yields. It's a key measure for yield curve strategies and relative value analysis.
Macaulay Duration,D_{m \times ac} = s \times um_{t=1}^{n} (t * C \times F_{t} / (1 + y)^{t}) / P,Fixed Income Securities,This equation calculates the Macaulay duration of a bond. D_mac represents the Macaulay duration Duration is the primary measure of interest rate sensitivity in fixed income.
Macaulay Duration (Zero-Coupon),D_{m \times ac} = T,Fixed Income Securities,This equation shows that the Macaulay duration of a zero-coupon bond equals its time to maturity. D_mac represents the Macaulay duration Duration is the primary measure of interest rate sensitivity in fixed income.
Macaulay Duration (Perpetuity),D_{m \times ac} = (1 + y) / y,Fixed Income Securities,This equation calculates the Macaulay duration of a perpetuity. D_mac represents the Macaulay duration Duration is the primary measure of interest rate sensitivity in fixed income.
Modified Duration,D_{m \times od} = D_{m \times ac} / (1 + y),Fixed Income Securities,This equation calculates the modified duration from Macaulay duration. D_mod represents the modified duration Duration is the primary measure of interest rate sensitivity in fixed income.
Modified Duration (Approximation),D_{m \times od} ≈ -(P_- - P_+) / (2 * P * d \times y),Fixed Income Securities,This equation approximates modified duration using finite differences. D_mod represents the modified duration Duration is the primary measure of interest rate sensitivity in fixed income.
Dollar Duration,D \times D = -D_{m \times od} * P,Fixed Income Securities,This equation calculates the dollar duration (also called PV01 or DV01). DD represents the dollar duration Duration is the primary measure of interest rate sensitivity in fixed income.
Price Value of a Basis Point,P \times V01 = -(P \t \times im \times es (y + 0.0001) - P \t \times im \times es (y - 0.0001)) / 2,Fixed Income Securities,This equation calculates the price value of a basis point (PV01). PV01 represents the price change for a 1 basis point (0.01%) change in yield. PV01 is a standard risk measure used in fixed income markets and is equivalent to dollar duration scaled by 0.0001.
Effective Duration,D_{e \times ff} = -(P_- - P_+) / (2 * P * d \times y),Fixed Income Securities,This equation calculates the effective duration for bonds with embedded options. D_eff represents the effective duration Duration is the primary measure of interest rate sensitivity in fixed income.
Key Rate Duration,K \times RD_{i} = -(P \t \times im \times es (y + d \times y_{i}) - P \t \times im \times es (y - d \times y_{i})) / (2 * P * d \times y_{i}),Fixed Income Securities,This equation calculates the key rate duration for a specific key rate. KRD_i represents the key rate duration for key rate i Duration is the primary measure of interest rate sensitivity in fixed income.
Convexity,C \times on \times v = s \times um_{t=1}^{n} (t \t \times im \times es (t+1) * C \times F_{t} / (1 + y)^{t+2}) / P,Fixed Income Securities,This equation calculates the convexity of a bond. Conv represents convexity Convexity captures the second-order effect in price-yield relationships.
Convexity (Zero-Coupon),C \times on \times v = T \t \times im \times es (T+1) / (1 + y)^{2},Fixed Income Securities,This equation calculates the convexity of a zero-coupon bond. Conv represents the convexity Convexity captures the second-order effect in price-yield relationships.
Convexity (Perpetuity),C \times on \times v = 2(1 + y) / y^{2},Fixed Income Securities,This equation calculates the convexity of a perpetuity. Conv represents the convexity Convexity captures the second-order effect in price-yield relationships.
Effective Convexity,C \times on \times v_{e \times ff} = (P_+ + P_- - 2 \t \times im \times es \times P) / (P * d \times y^{2}),Fixed Income Securities,This equation calculates the effective convexity for bonds with embedded options. Conv_eff represents the effective convexity Convexity captures the second-order effect in price-yield relationships.
