title,equation_latex,main_category,notes
Call Option Payoff at Expiration,Payoff_{C} = max(S_{T} - K,Equity Derivatives,Equity Derivatives - Options Fundamentals
Put Option Payoff at Expiration,Payoff_{P} = max(K - S_{T},Equity Derivatives,Equity Derivatives - Options Fundamentals
Call Option Profit at Expiration,Profit_{C} = max(S_{T} - K,Equity Derivatives,Equity Derivatives - Options Fundamentals
Put Option Profit at Expiration,Profit_{P} = max(K - S_{T},Equity Derivatives,Equity Derivatives - Options Fundamentals
Intrinsic Value (Call),IV_{C} = max(S_{0} - K,Equity Derivatives,Equity Derivatives - Options Fundamentals
Intrinsic Value (Put),IV_{P} = max(K - S_{0},Equity Derivatives,Equity Derivatives - Options Fundamentals
Time Value,\text{TV} = Option Price - Intrinsic Value,Equity Derivatives,This equation calculates the time value of an option. TV represents the time value
Put-Call Parity,C + K \times e^{-rT} = P + S_{0},Equity Derivatives,This is the fundamental put-call parity relationship for European options on non-dividend paying stocks. C represents the call price
Put-Call Parity with Dividends,C + K \times e^{-rT} = P + S_{0} \times e^{-qT},Equity Derivatives,This is the put-call parity for European options on dividend-paying stocks. The terms are the same as basic put-call parity
Lower Bound for European Call,C >= max(S_{0} - K \times e^{-rT},Equity Derivatives,Equity Derivatives - Options Fundamentals
Lower Bound for European Put,P >= max(K \times e^{-rT} - S_{0},Equity Derivatives,Equity Derivatives - Options Fundamentals
Upper Bound for European Call,C <= S_{0},Equity Derivatives,This equation gives the upper bound for a European call option price. C represents the call price
Upper Bound for European Put,P <= K \times e^{-rT},Equity Derivatives,This equation gives the upper bound for a European put option price. P represents the put price
American Call on Non-Dividend Stock,C_{American} = C_{European},Equity Derivatives,This equation states that for American calls on non-dividend paying stocks
American Put on Non-Dividend Stock,P_{American} >= P_{European},Equity Derivatives,This equation states that American puts can be worth more than European puts. P_American represents the American put price
Black-Scholes Call Formula,C = S_{0} \times N \times (d_{1}) - K \times e^{-rT} \times N \times (d_{2}),Equity Derivatives,This is the famous Black-Scholes formula for pricing a European call option. C represents the call price
Black-Scholes Put Formula,P = K \times e^{-rT} \times N \times (-d_{2}) - S_{0} \times N \times (-d_{1}),Equity Derivatives,This is the Black-Scholes formula for pricing a European put option. P represents the put price
Black-Scholes d_1,d_{1} = (ln(S_{0}/K) + (r + \text{sigma}^{2}/2) \times T) / (\text{sigma} \times sqrt(T)),Equity Derivatives,This equation defines the d_1 parameter in the Black-Scholes formula. d_1 combines the moneyness of the option (ln(S_0/K))
Black-Scholes d_2,d_{2} = d_{1} - \text{sigma} \times sqrt(T),Equity Derivatives,This equation defines the d_2 parameter in the Black-Scholes formula. d_2 is simply d_1 minus sigma * sqrt(T). d_2 represents the probability that the option will be in the money at expiration under the risk-neutral measure.
Black-Scholes with Dividends,C = S_{0} \times e^{-qT} \times N \times (d_{1}) - K \times e^{-rT} \times N \times (d_{2}),Equity Derivatives,This is the Black-Scholes formula for a European call on a dividend-paying stock. The stock price S_0 is discounted by the continuous dividend yield q using e^{-qT}. This adjustment accounts for the expected dividend payments during the option's life.
Black-Scholes d_1 with Dividends,d_{1} = (ln(S_{0}/K) + (r - q + \text{sigma}^{2}/2) \times T) / (\text{sigma} \times sqrt(T)),Equity Derivatives,This equation defines d_1 for dividend-paying stocks. The dividend yield q is subtracted from r in the numerator
Delta (Call),Delta_{C} = N \times (d_{1}),Equity Derivatives,This equation calculates the delta of a European call option. Delta_C represents the call delta
Delta (Put),Delta_{P} = N \times (d_{1}) - 1,Equity Derivatives,This equation calculates the delta of a European put option. Delta_P represents the put delta. For puts
Gamma,\text{Gamma} = N'(d_{1}) / (S_{0} \times \text{sigma} \times sqrt(T)),Equity Derivatives,This equation calculates the gamma of a European option (same for calls and puts). Gamma represents the second derivative of the option price with respect to the underlying price. It measures the rate of change of delta and is highest for at-the-money options near expiration.
Normal PDF,N'(x) = (1/sqrt(2 \times pi)) \times e^{-x^{2}/2},Equity Derivatives,This is the probability density function of the standard normal distribution. N'(x) represents the PDF value at x
