title,equation_latex,main_category,notes
Call Option Payoff at Expiration,P \times ay \times of \times f_{C} = m \times ax \t \times im \times es (S_{T} - K,Equity Derivatives,Equity Derivatives - Options Fundamentals
Put Option Payoff at Expiration,P \times ay \times of \times f_{P} = m \times ax \t \times im \times es (K - S_{T},Equity Derivatives,Equity Derivatives - Options Fundamentals
Call Option Profit at Expiration,P \times ro \times fi \times t_{C} = m \times ax \t \times im \times es (S_{T} - K,Equity Derivatives,Equity Derivatives - Options Fundamentals
Put Option Profit at Expiration,P \times ro \times fi \times t_{P} = m \times ax \t \times im \times es (K - S_{T},Equity Derivatives,Equity Derivatives - Options Fundamentals
Intrinsic Value (Call),I \times V_{C} = m \times ax \t \times im \times es (S_{0} - K,Equity Derivatives,Equity Derivatives - Options Fundamentals
Intrinsic Value (Put),I \times V_{P} = m \times ax \t \times im \times es (K - S_{0},Equity Derivatives,Equity Derivatives - Options Fundamentals
Time Value,__A \times BB \times R0__ = O \times pt \times io \times n P \times ri \times ce - I \times nt \times ri \times ns \times ic \times Va \times lu \times e,Equity Derivatives,This equation calculates the time value of an option. TV represents the time value
Put-Call Parity,C + K * e^{-r \times T} = P + S_{0},Equity Derivatives,This is the fundamental put-call parity relationship for European options on non-dividend paying stocks. C represents the call price
Put-Call Parity with Dividends,C + K * e^{-r \times T} = P + S_{0} * e^{-q \times T},Equity Derivatives,This is the put-call parity for European options on dividend-paying stocks. The terms are the same as basic put-call parity
Lower Bound for European Call,C >= m \times ax \t \times im \times es (S_{0} - K * e^{-r \times T},Equity Derivatives,Equity Derivatives - Options Fundamentals
Lower Bound for European Put,P >= m \times ax \t \times im \times es (K * e^{-r \times T} - S_{0},Equity Derivatives,Equity Derivatives - Options Fundamentals
Upper Bound for European Call,C <= S_{0},Equity Derivatives,This equation gives the upper bound for a European call option price. C represents the call price
Upper Bound for European Put,P <= K * e^{-r \times T},Equity Derivatives,This equation gives the upper bound for a European put option price. P represents the put price
American Call on Non-Dividend Stock,C_{A \times me \times ri \times ca \times n} = C_{E \times ur \times op \times ea \times n},Equity Derivatives,This equation states that for American calls on non-dividend paying stocks
American Put on Non-Dividend Stock,P_{A \times me \times ri \times ca \times n} >= P_{E \times ur \times op \times ea \times n},Equity Derivatives,This equation states that American puts can be worth more than European puts. P_American represents the American put price
Black-Scholes Call Formula,C = S_{0} * N \t \times im \times es (d_{1}) - K * e^{-r \times T} * N \t \times im \times es (d_{2}),Equity Derivatives,This is the famous Black-Scholes formula for pricing a European call option. C represents the call price
