title,equation_latex,main_category,notes
Interest Rate Swap Fixed Leg,PV_fixed = sum_{i=1}^n (N * R_fixed * delta_i * DF_i),Fixed Income Derivatives,This equation calculates the present value of the fixed leg of an interest rate swap. PV_fixed represents the present value
Interest Rate Swap Floating Leg,PV_float = sum_{i=1}^n (N * R_float,Fixed Income Derivatives,Fixed Income Derivatives - Interest Rate Swaps
Swap Value at Inception,V_swap = PV_fixed - PV_float,Fixed Income Derivatives,This equation calculates the value of a swap at inception. V_swap represents the swap value
Par Swap Rate,R_swap = (1 - DF_n) / (sum_{i=1}^n delta_i * DF_i),Fixed Income Derivatives,This equation calculates the par swap rate (the fixed rate that makes the swap value zero at inception). R_swap represents the par swap rate
Swap Value After Inception,V_swap = PV_fixed - PV_float,Fixed Income Derivatives,This equation calculates the value of an existing swap. V_swap represents the current swap value
Swap DV01,DV01_swap = sum_{i=1}^n (delta_i * DF_i * N) - sum_{i=1}^n (delta_i * DF_i * N),Fixed Income Derivatives,This equation calculates the DV01 (dollar value of a 01 basis point change) of a swap. DV01_swap represents the sensitivity of the swap value to a 1 bp change in rates. For a par swap
Swap Duration,D_swap = (sum_{i=1}^n t_i * delta_i * DF_i) / (sum_{i=1}^n delta_i * DF_i),Fixed Income Derivatives,This equation calculates the duration of a swap. D_swap represents the swap duration
Swap Convexity,Conv_swap = (sum_{i=1}^n t_i^2 * delta_i * DF_i) / (sum_{i=1}^n delta_i * DF_i),Fixed Income Derivatives,This equation calculates the convexity of a swap. Conv_swap represents the swap convexity
Forward Rate Agreement Payoff,Payoff = N * (FRA_rate - L) * delta * DF,Fixed Income Derivatives,This equation gives the payoff of a Forward Rate Agreement (FRA). Payoff represents the FRA payoff
Swap Spread,Spread = R_swap - R_treasury,Fixed Income Derivatives,This equation calculates the swap spread. Spread represents the difference between the swap rate and the treasury rate of the same maturity. The swap spread reflects credit risk and liquidity differences between the swap market and the treasury market.
Cross-Currency Swap,PV_domestic = sum_{i=1}^n (N_domestic * R_domestic * delta_i * DF_domestic,Fixed Income Derivatives,Fixed Income Derivatives - Interest Rate Swaps
Cross-Currency Swap FX Leg,PV_foreign = X_0 * sum_{i=1}^n (N_foreign * R_foreign * delta_i * DF_foreign,Fixed Income Derivatives,Fixed Income Derivatives - Interest Rate Swaps
Cross-Currency Swap Value,V_ccs = PV_domestic - PV_foreign,Fixed Income Derivatives,This equation calculates the value of a cross-currency swap. V_ccs represents the swap value
Asset Swap,Spread = (Bond Price - Par) / DV01_bond,Fixed Income Derivatives,This equation calculates the asset swap spread. Spread represents the spread that makes the bond price equal to par when combined with an interest rate swap. Asset swaps are used to convert fixed-rate bonds to floating-rate exposure.
Total Return Swap,Payoff = (Bond Return + Coupon - LIBOR - Spread) * N,Fixed Income Derivatives,This equation gives the payoff of a total return swap. Payoff represents the periodic payment
Inflation Swap,Payoff = N * (Inflation_index - Fixed_rate) * delta,Fixed Income Derivatives,This equation gives the payoff of an inflation swap. Payoff represents the periodic payment
Amortizing Swap,PV = sum_{i=1}^n (N_i * R * delta_i * DF_i),Fixed Income Derivatives,This equation calculates the present value of an amortizing swap. PV represents the present value
Accreting Swap,PV = sum_{i=1}^n (N_i * R * delta_i * DF_i),Fixed Income Derivatives,This equation calculates the present value of an accreting swap. PV represents the present value
Forward Swap Rate,F_swap = (DF_t - DF_T) / (sum_{i=t}^T delta_i * DF_i),Fixed Income Derivatives,This equation calculates the forward swap rate for a swap starting at time t and ending at time T. F_swap represents the forward swap rate
Caplet Payoff,Payoff = N * delta * max(L - K,Fixed Income Derivatives,Fixed Income Derivatives - Interest Rate Options
Cap Price,C = sum_{i=1}^n Caplet_i,Fixed Income Derivatives,This equation calculates the price of a cap as the sum of caplet prices. C represents the cap price
Caplet Price (Black Model),Caplet = N * delta * DF * [F * N(d_1) - K * N(d_2)],Fixed Income Derivatives,This equation prices a caplet using the Black model. Caplet represents the caplet price
Black Model d_1,d_1 = (ln(F/K) + 0.5 * sigma^2 * T) / (sigma * sqrt(T)),Fixed Income Derivatives,This equation defines the d_1 parameter in the Black model for interest rate options. d_1 combines the moneyness (ln(F/K))
Black Model d_2,d_2 = d_1 - sigma * sqrt(T),Fixed Income Derivatives,This equation defines the d_2 parameter in the Black model. d_2 is simply d_1 minus sigma * sqrt(T). d_2 represents the probability that the option will be in the money under the forward measure.
Floorlet Payoff,Payoff = N * delta * max(K - L,Fixed Income Derivatives,Fixed Income Derivatives - Interest Rate Options
Floor Price,F = sum_{i=1}^n Floorlet_i,Fixed Income Derivatives,This equation calculates the price of a floor as the sum of floorlet prices. F represents the floor price
Collar Price,Collar = Cap - Floor,Fixed Income Derivatives,This equation calculates the price of a collar. Collar represents the collar price
Swaption Payoff (Payer),Payoff = max(R_swap - K,Fixed Income Derivatives,Fixed Income Derivatives - Interest Rate Options
