title,equation_latex,main_category,notes
Interest Rate Swap Fixed Leg,PV_{fixed} = sum_{i=1}^n (N * R_{fixed} * delta_{i} * DF_{i}),Fixed Income Derivatives,This equation calculates the present value of the fixed leg of an interest rate swap. PV_fixed represents the present value
Interest Rate Swap Floating Leg,PV_{float} = sum_{i=1}^n (N * R_{float},Fixed Income Derivatives,Fixed Income Derivatives - Interest Rate Swaps
Swap Value at Inception,V_{swap} = PV_{fixed} - PV_{float},Fixed Income Derivatives,This equation calculates the value of a swap at inception. V_swap represents the swap value
Par Swap Rate,R_{swap} = (1 - DF_{n}) / (sum_{i=1}^n delta_{i} * DF_{i}),Fixed Income Derivatives,This equation calculates the par swap rate (the fixed rate that makes the swap value zero at inception). R_swap represents the par swap rate
Swap Value After Inception,V_{swap} = PV_{fixed} - PV_{float},Fixed Income Derivatives,This equation calculates the value of an existing swap. V_swap represents the current swap value
Swap DV01,DV01_swap = sum_{i=1}^n (delta_{i} * DF_{i} * N) - sum_{i=1}^n (delta_{i} * DF_{i} * N),Fixed Income Derivatives,This equation calculates the DV01 (dollar value of a 01 basis point change) of a swap. DV01_swap represents the sensitivity of the swap value to a 1 bp change in rates. For a par swap
Swap Duration,D_{swap} = (sum_{i=1}^n t_{i} * delta_{i} * DF_{i}) / (sum_{i=1}^n delta_{i} * DF_{i}),Fixed Income Derivatives,This equation calculates the duration of a swap. D_swap represents the swap duration
Swap Convexity,Conv_{swap} = (sum_{i=1}^n t_{i}^2 * delta_{i} * DF_{i}) / (sum_{i=1}^n delta_{i} * DF_{i}),Fixed Income Derivatives,This equation calculates the convexity of a swap. Conv_swap represents the swap convexity
Forward Rate Agreement Payoff,Payoff = N * (FRA_{rate} - L) * delta * DF,Fixed Income Derivatives,This equation gives the payoff of a Forward Rate Agreement (FRA). Payoff represents the FRA payoff
Swap Spread,Spread = R_{swap} - R_{treasury},Fixed Income Derivatives,This equation calculates the swap spread. Spread represents the difference between the swap rate and the treasury rate of the same maturity. The swap spread reflects credit risk and liquidity differences between the swap market and the treasury market.
Cross-Currency Swap,PV_{domestic} = sum_{i=1}^n (N_{domestic} * R_{domestic} * delta_{i} * DF_{domestic},Fixed Income Derivatives,Fixed Income Derivatives - Interest Rate Swaps
Cross-Currency Swap FX Leg,PV_{foreign} = X_{0} * sum_{i=1}^n (N_{foreign} * R_{foreign} * delta_{i} * DF_{foreign},Fixed Income Derivatives,Fixed Income Derivatives - Interest Rate Swaps
Cross-Currency Swap Value,V_{ccs} = PV_{domestic} - PV_{foreign},Fixed Income Derivatives,This equation calculates the value of a cross-currency swap. V_ccs represents the swap value
Asset Swap,Spread = (Bond Price - Par) / DV01_bond,Fixed Income Derivatives,This equation calculates the asset swap spread. Spread represents the spread that makes the bond price equal to par when combined with an interest rate swap. Asset swaps are used to convert fixed-rate bonds to floating-rate exposure.
Total Return Swap,Payoff = (Bond Return + Coupon - LIBOR - Spread) * N,Fixed Income Derivatives,This equation gives the payoff of a total return swap. Payoff represents the periodic payment
Inflation Swap,Payoff = N * (Inflation_{index} - Fixed_{rate}) * delta,Fixed Income Derivatives,This equation gives the payoff of an inflation swap. Payoff represents the periodic payment
Amortizing Swap,PV = sum_{i=1}^n (N_{i} * R * delta_{i} * DF_{i}),Fixed Income Derivatives,This equation calculates the present value of an amortizing swap. PV represents the present value
Accreting Swap,PV = sum_{i=1}^n (N_{i} * R * delta_{i} * DF_{i}),Fixed Income Derivatives,This equation calculates the present value of an accreting swap. PV represents the present value
Forward Swap Rate,F_{swap} = (DF_{t} - DF_{T}) / (sum_{i=t}^T delta_{i} * DF_{i}),Fixed Income Derivatives,This equation calculates the forward swap rate for a swap starting at time t and ending at time T. F_swap represents the forward swap rate
Caplet Payoff,Payoff = N * delta * max(L - K,Fixed Income Derivatives,Fixed Income Derivatives - Interest Rate Options
Cap Price,C = sum_{i=1}^n Caplet_{i},Fixed Income Derivatives,This equation calculates the price of a cap as the sum of caplet prices. C represents the cap price
Caplet Price (Black Model),Caplet = N * delta * DF * [F * N(d_{1}) - K * N(d_{2})],Fixed Income Derivatives,This equation prices a caplet using the Black model. Caplet represents the caplet price
Black Model d_1,d_{1} = (ln(\frac{F}{K}) + 0.5 * sigma^{2} * T) / (sigma * sqrt(T)),Fixed Income Derivatives,This equation defines the d_1 parameter in the Black model for interest rate options. d_1 combines the moneyness (ln(F/K))
Black Model d_2,d_{2} = d_{1} - sigma * sqrt(T),Fixed Income Derivatives,This equation defines the d_2 parameter in the Black model. d_2 is simply d_1 minus sigma * sqrt(T). d_2 represents the probability that the option will be in the money under the forward measure.
Floorlet Payoff,Payoff = N * delta * max(K - L,Fixed Income Derivatives,Fixed Income Derivatives - Interest Rate Options
Floor Price,F = sum_{i=1}^n Floorlet_{i},Fixed Income Derivatives,This equation calculates the price of a floor as the sum of floorlet prices. F represents the floor price
Collar Price,Collar = Cap - Floor,Fixed Income Derivatives,This equation calculates the price of a collar. Collar represents the collar price
