title,equation_latex,main_category,notes
Interest Rate Swap Fixed Leg,\text{P} \times V_{f}i \times xe \times d = s \times um_{i=1}^{n} (N * R_{f}i \times xe \times d * d \times el \times ta_{i} * D \times F_{i}),Fixed Income Derivatives,"This equation calculates the present value of the fixed leg of an interest rate swap. PV_fixed represents the present value This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity. The mathematical formulation captures how capital compounds over time, forming the foundation for all discounted cash flow analysis."
Interest Rate Swap Floating Leg,\text{P} \times V_{f}l \times oa \times t = s \times um_{i=1}^{n} (N * R_{f}l \times oa \times t,Fixed Income Derivatives,"Fixed Income Derivatives - Interest Rate Swaps This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity. The mathematical formulation captures how capital compounds over time, forming the foundation for all discounted cash flow analysis."
Swap Value at Inception,V_{s}w \times ap = \text{P} \times V_{f}i \times xe \times d - \text{P} \times V_{f}l \times oa \times t,Fixed Income Derivatives,This equation calculates the value of a swap at inception. V_swap represents the swap value
Par Swap Rate,R_{s}w \times ap = (1 - D \times F_{n}) / (s \times um_{i=1}^{n} d \times el \times ta_{i} * D \times F_{i}),Fixed Income Derivatives,This equation calculates the par swap rate (the fixed rate that makes the swap value zero at inception). R_swap represents the par swap rate
Swap Value After Inception,V_{s}w \times ap = \text{P} \times V_{f}i \times xe \times d - \text{P} \times V_{f}l \times oa \times t,Fixed Income Derivatives,This equation calculates the value of an existing swap. V_swap represents the current swap value
Swap DV01,D \times V01_{s}w \times ap = s \times um_{i=1}^{n} (d \times el \times ta_{i} * D \times F_{i} * N) - s \times um_{i=1}^{n} (d \times el \times ta_{i} * D \times F_{i} * N),Fixed Income Derivatives,This equation calculates the DV01 (dollar value of a 01 basis point change) of a swap. DV01_swap represents the sensitivity of the swap value to a 1 bp change in rates. For a par swap
Swap Duration,D_{s}w \times ap = (s \times um_{i=1}^{n} t_{i} * d \times el \times ta_{i} * D \times F_{i}) / (s \times um_{i=1}^{n} d \times el \times ta_{i} * D \times F_{i}),Fixed Income Derivatives,"This equation calculates the duration of a swap. D_swap represents the swap duration Duration is the primary measure of interest rate sensitivity in fixed income markets, representing the weighted average time to cash flows. Modified duration directly estimates percentage price changes for yield movements using the first derivative of the price-yield relationship. Higher duration means greater sensitivity to rate changes."
Swap Convexity,\text{C} \times on \times v_{s}w \times ap = (s \times um_{i=1}^{n} t_{i}^{2} * d \times el \times ta_{i} * D \times F_{i}) / (s \times um_{i=1}^{n} d \times el \times ta_{i} * D \times F_{i}),Fixed Income Derivatives,"This equation calculates the convexity of a swap. Conv_swap represents the swap convexity Convexity captures the second-order effect in price-yield relationships, accounting for the curvature that makes bond prices rise more for yield drops than they fall for equivalent yield increases. This curvature adjustment improves price estimates for large yield changes beyond what duration alone can predict."
Forward Rate Agreement Payoff,\text{P} \times ay \times of \times f = N * (\text{F} \times RA_{r}a \times te - L) * d \times el \times ta * D \times \text{F},Fixed Income Derivatives,This equation gives the payoff of a Forward Rate Agreement (FRA). Payoff represents the FRA payoff
Swap Spread,\text{S} \times pr \times ea \times d = R_{s}w \times ap - R_{t}r \times ea \times su \times ry,Fixed Income Derivatives,This equation calculates the swap spread. Spread represents the difference between the swap rate and the treasury rate of the same maturity. The swap spread reflects credit risk and liquidity differences between the swap market and the treasury market.
Cross-Currency Swap,\text{P} \times V_{d}o \times me \times st \times ic = s \times um_{i=1}^{n} (N_{d}o \times me \times st \times ic * R_{d}o \times me \times st \times ic * d \times el \times ta_{i} * D \times F_{d}o \times me \times st \times ic,Fixed Income Derivatives,Fixed Income Derivatives - Interest Rate Swaps
Cross-Currency Swap FX Leg,\text{P} \times V_{f}o \times re \times ig \times n = X_{0} * s \times um_{i=1}^{n} (N_{f}o \times re \times ig \times n * R_{f}o \times re \times ig \times n * d \times el \times ta_{i} * D \times F_{f}o \times re \times ig \times n,Fixed Income Derivatives,Fixed Income Derivatives - Interest Rate Swaps
Cross-Currency Swap Value,V_{c}c \times s = \text{P} \times V_{d}o \times me \times st \times ic - \text{P} \times V_{f}o \times re \times ig \times n,Fixed Income Derivatives,This equation calculates the value of a cross-currency swap. V_ccs represents the swap value
Asset Swap,\text{S} \times pr \times ea \times d = (B \times on \times d \text{P} \times ri \times ce - \text{P} \times ar) / D \times V01_{b}o \times nd,Fixed Income Derivatives,This equation calculates the asset swap spread. Spread represents the spread that makes the bond price equal to par when combined with an interest rate swap. Asset swaps are used to convert fixed-rate bonds to floating-rate exposure.
Total Return Swap,\text{P} \times ay \times of \times f = (B \times on \times d R \times et \times ur \times n + \text{C} \times ou \times po \times n - L \times IB \times OR - \text{S} \times pr \times ea \times d) * N,Fixed Income Derivatives,This equation gives the payoff of a total return swap. Payoff represents the periodic payment
Inflation Swap,\text{P} \times ay \times of \times f = N * (\text{I} \times nf \times la \times ti \times on_{i}n \times de \times x - \text{F} \times ix \times ed_{r}a \times te) * d \times el \times ta,Fixed Income Derivatives,This equation gives the payoff of an inflation swap. Payoff represents the periodic payment
Amortizing Swap,\text{P} \times \text{V} = s \times um_{i=1}^{n} (N_{i} * R * d \times el \times ta_{i} * D \times F_{i}),Fixed Income Derivatives,This equation calculates the present value of an amortizing swap. PV represents the present value
Accreting Swap,\text{P} \times \text{V} = s \times um_{i=1}^{n} (N_{i} * R * d \times el \times ta_{i} * D \times F_{i}),Fixed Income Derivatives,This equation calculates the present value of an accreting swap. PV represents the present value
Forward Swap Rate,F_{s}w \times ap = (D \times F_{t} - D \times F_{\text{T}}) / (s \times um_{i=t}^{\text{T}} d \times el \times ta_{i} * D \times F_{i}),Fixed Income Derivatives,This equation calculates the forward swap rate for a swap starting at time t and ending at time T. F_swap represents the forward swap rate
Caplet Payoff,\text{P} \times ay \times of \times f = N * d \times el \times ta * m \times ax \times (L - \text{K},Fixed Income Derivatives,Fixed Income Derivatives - Interest Rate Options
Cap Price,\text{C} = s \times um_{i=1}^{n} \text{C} \times ap \times le \times t_{i},Fixed Income Derivatives,This equation calculates the price of a cap as the sum of caplet prices. C represents the cap price
Caplet Price (Black Model),\text{C} \times ap \times le \times t = N * d \times el \times ta * D \times \text{F} * [\text{F} * N \times (d_{1}) - \text{K} * N \times (d_{2})],Fixed Income Derivatives,This equation prices a caplet using the Black model. Caplet represents the caplet price
Black Model d_1,d_{1} = (l \times n \times (\text{F}/\text{K}) + 0.5 * s \times ig \times ma^{2} * \text{T}) / (s \times ig \times ma * s \times qr \times t \times (\text{T})),Fixed Income Derivatives,This equation defines the d_1 parameter in the Black model for interest rate options. d_1 combines the moneyness (ln(F/K))
Black Model d_2,d_{2} = d_{1} - s \times ig \times ma * s \times qr \times t \times (\text{T}),Fixed Income Derivatives,This equation defines the d_2 parameter in the Black model. d_2 is simply d_1 minus sigma * sqrt(T). d_2 represents the probability that the option will be in the money under the forward measure.
Floorlet Payoff,\text{P} \times ay \times of \times f = N * d \times el \times ta * m \times ax \times (\text{K} - L,Fixed Income Derivatives,Fixed Income Derivatives - Interest Rate Options
Floor Price,\text{F} = s \times um_{i=1}^{n} \text{F} \times lo \times or \times le \times t_{i},Fixed Income Derivatives,This equation calculates the price of a floor as the sum of floorlet prices. F represents the floor price
Collar Price,\text{C} \times ol \times la \times r = \text{C} \times ap - \text{F} \times lo \times or,Fixed Income Derivatives,This equation calculates the price of a collar. Collar represents the collar price
Swaption Payoff (Payer),\text{P} \times ay \times of \times f = m \times ax \times (R_{s}w \times ap - \text{K},Fixed Income Derivatives,Fixed Income Derivatives - Interest Rate Options
