title,equation_latex,main_category,notes
Probability of Default,PD = P(default during period T),Credit Derivatives,This equation defines the probability of default. PD represents the probability that a borrower will default within a specified time period T. PD is a fundamental credit risk metric used in pricing credit derivatives and calculating credit risk capital requirements.
Cumulative Default Probability,CDP(T) = 1 - exp(-lambda * T),Credit Derivatives,This equation calculates the cumulative probability of default assuming constant hazard rate. CDP(T) represents the cumulative default probability by time T
Hazard Rate,lambda = -ln(1 - PD) / T,Credit Derivatives,This equation calculates the hazard rate from the probability of default. lambda represents the hazard rate
Survival Probability,Q(T) = exp(-integral_0^T lambda(t) dt),Credit Derivatives,This equation calculates the survival probability (probability of no default). Q(T) represents the probability of surviving to time T without default
Loss Given Default,LGD = 1 - Recovery Rate,Credit Derivatives,This equation calculates the loss given default. LGD represents the percentage loss incurred if default occurs
Exposure at Default,EAD = Notional * Current Exposure,Credit Derivatives,This equation calculates the exposure at default. EAD represents the amount owed to the lender at the time of default
Expected Loss,EL = PD * LGD * EAD,Credit Derivatives,This equation calculates the expected loss from credit exposure. EL represents the expected loss
Unexpected Loss,UL = LGD * EAD * sqrt(PD * (1 - PD)),Credit Derivatives,This equation calculates the unexpected loss (standard deviation of loss). UL represents the unexpected loss
Credit VaR,Credit VaR = EL + z_alpha * UL,Credit Derivatives,This equation calculates the credit Value at Risk. Credit VaR represents the loss at a given confidence level
Merton Model,Equity = Call(Assets,Credit Derivatives, sigma_A
Merton Default Probability,PD = N((-ln(V/D) - (mu - 0.5 * sigma_A^2) * T) / (sigma_A * sqrt(T))),Credit Derivatives,This equation calculates the default probability under the Merton model. PD represents the default probability
Distance to Default,DD = (ln(V/D) + (mu - 0.5 * sigma_A^2) * T) / (sigma_A * sqrt(T)),Credit Derivatives,This equation calculates the distance to default under the Merton model. DD represents the number of standard deviations the firm value is from the default threshold. Higher DD indicates lower default probability.
Credit Spread,s = -ln(Q(T)) / T,Credit Derivatives,This equation calculates the credit spread from survival probability. s represents the credit spread
Intensity-Based Spread,s = lambda + LGD * lambda,Credit Derivatives,This equation approximates the credit spread using hazard rate and loss given default. s represents the credit spread
CDS Spread,s_cds = (1 - R) * lambda,Credit Derivatives,This equation approximates the CDS spread under constant hazard rate. s_cds represents the CDS spread
CDS Pricing (Protection Buyer),PV_premium = sum_{i=1}^n s * delta_i * Q(t_i) * DF_i,Credit Derivatives,This equation calculates the present value of premium payments for a CDS. PV_premium represents the PV of premiums
CDS Pricing (Protection Seller),PV_default = sum_{i=1}^n (1 - R) * EAD * (Q(t_{i-1}) - Q(t_i)) * DF_i,Credit Derivatives,This equation calculates the present value of default leg payments. PV_default represents the PV of default payments
CDS Par Spread,s_par = PV_default / PV_annuity,Credit Derivatives,This equation calculates the par CDS spread that makes the CDS value zero. s_par represents the par spread
CDS Value,V_cds = PV_default - s * PV_annuity,Credit Derivatives,This equation calculates the value of an existing CDS. V_cds represents the CDS value
CDS Delta,Delta_cds = (1 - R) * Q(T) / PV_annuity,Credit Derivatives,This equation calculates the delta of a CDS. Delta_cds represents the sensitivity to the survival probability
CDS DV01,DV01_cds = Delta_cds * DV01_bond,Credit Derivatives,This equation calculates the DV01 of a CDS. DV01_cds represents the sensitivity to interest rate changes
Upfront Payment,UP = (s_market - s_coupon) * DV01_cds,Credit Derivatives,This equation calculates the upfront payment for a CDS. UP represents the upfront payment
CDS Index Spread,s_index = sum_{i=1}^n w_i * s_i,Credit Derivatives,This equation calculates the spread of a CDS index. s_index represents the index spread
Tranche Attachment Point,AP = sum_{i=1}^k w_i,Credit Derivatives,This equation calculates the attachment point of a CDO tranche. AP represents the attachment point (percentage of portfolio losses that must occur before the tranche suffers losses)
