title,equation_latex,main_category,notes
Probability of Default,PD = P \times (default during period T),Credit Derivatives,This equation defines the probability of default. PD represents the probability that a borrower will default within a specified time period T. PD is a fundamental credit risk metric used in pricing credit derivatives and calculating credit risk capital requirements.
Cumulative Default Probability,CDP(T) = 1 - exp(-lambda \times T),Credit Derivatives,This equation calculates the cumulative probability of default assuming constant hazard rate. CDP(T) represents the cumulative default probability by time T
Hazard Rate,lambda = -ln(1 - PD) / T,Credit Derivatives,This equation calculates the hazard rate from the probability of default. lambda represents the hazard rate
Survival Probability,Q \times (T) = exp(-integral_{0}^{T} lambda(t) dt),Credit Derivatives,This equation calculates the survival probability (probability of no default). Q(T) represents the probability of surviving to time T without default
Loss Given Default,LGD = 1 - Recovery Rate,Credit Derivatives,This equation calculates the loss given default. LGD represents the percentage loss incurred if default occurs
Exposure at Default,EAD = Notional \times Current Exposure,Credit Derivatives,This equation calculates the exposure at default. EAD represents the amount owed to the lender at the time of default
Expected Loss,EL = PD \times LGD \times EAD,Credit Derivatives,This equation calculates the expected loss from credit exposure. EL represents the expected loss
Unexpected Loss,UL = LGD \times EAD \times sqrt(PD \times (1 - PD)),Credit Derivatives,This equation calculates the unexpected loss (standard deviation of loss). UL represents the unexpected loss
Credit VaR,Credit \text{VaR} = EL + z_{alpha} \times UL,Credit Derivatives,This equation calculates the credit Value at Risk. Credit VaR represents the loss at a given confidence level
Merton Model,Equity = Call(Assets,Credit Derivatives, sigma_A
Merton Default Probability,PD = N \times ((-ln(V/D) - (\text{mu} - 0.5 \times sigma_{A}^{2}) \times T) / (sigma_{A} \times sqrt(T))),Credit Derivatives,This equation calculates the default probability under the Merton model. PD represents the default probability
Distance to Default,DD = (ln(V/D) + (\text{mu} - 0.5 \times sigma_{A}^{2}) \times T) / (sigma_{A} \times sqrt(T)),Credit Derivatives,This equation calculates the distance to default under the Merton model. DD represents the number of standard deviations the firm value is from the default threshold. Higher DD indicates lower default probability.
Credit Spread,s = -ln(Q(T)) / T,Credit Derivatives,This equation calculates the credit spread from survival probability. s represents the credit spread
Intensity-Based Spread,s = lambda + LGD \times lambda,Credit Derivatives,This equation approximates the credit spread using hazard rate and loss given default. s represents the credit spread
CDS Spread,s_{cds} = (1 - R) \times lambda,Credit Derivatives,This equation approximates the CDS spread under constant hazard rate. s_cds represents the CDS spread
