title,equation_latex,main_category,notes
Probability of Default,P \times D = P \t \times im \times es (d \times ef \times au \times lt \times du \times ri \times ng \times pe \times ri \times od \times T),Credit Derivatives,This equation defines the probability of default. PD represents the probability that a borrower will default within a specified time period T. PD is a fundamental credit risk metric used in pricing credit derivatives and calculating credit risk capital requirements.
Cumulative Default Probability,C \times DP \t \times im \times es (T) = 1 - e \times xp \t \times im \times es (-l \times am \times bd \times a * T),Credit Derivatives,This equation calculates the cumulative probability of default assuming constant hazard rate. CDP(T) represents the cumulative default probability by time T
Hazard Rate,l \times am \times bd \times a = -l \times n \t \times im \times es (1 - P \times D) / T,Credit Derivatives,This equation calculates the hazard rate from the probability of default. lambda represents the hazard rate
Survival Probability,Q \t \times im \times es (T) = e \times xp \t \times im \times es (-i \times nt \times eg \times ra \times l_{0}^{T} l \times am \times bd \times a \t \times im \times es (t) d \times t),Credit Derivatives,This equation calculates the survival probability (probability of no default). Q(T) represents the probability of surviving to time T without default
Loss Given Default,L \times GD = 1 - R \times ec \times ov \times er \times y R \times at \times e,Credit Derivatives,This equation calculates the loss given default. LGD represents the percentage loss incurred if default occurs
Exposure at Default,E \times AD = N \times ot \times io \times na \times l * C \times ur \times re \times nt \times Ex \times po \times su \times re,Credit Derivatives,This equation calculates the exposure at default. EAD represents the amount owed to the lender at the time of default
Expected Loss,E \times L = P \times D * L \times GD * E \times AD,Credit Derivatives,This equation calculates the expected loss from credit exposure. EL represents the expected loss
Unexpected Loss,U \times L = L \times GD * E \times AD * s \times qr \times t \t \times im \times es (P \times D * (1 - P \times D)),Credit Derivatives,This equation calculates the unexpected loss (standard deviation of loss). UL represents the unexpected loss
Credit VaR,C \times re \times di \times t __A \times BB \times R0__ = E \times L + z_{a \times lp \times ha} * U \times L,Credit Derivatives,This equation calculates the credit Value at Risk. Credit VaR represents the loss at a given confidence level
Merton Model,E \times qu \times it \times y = C \times al \times l \t \times im \times es (A \times ss \times et \times s,Credit Derivatives, sigma_A
Merton Default Probability,P \times D = N \t \times im \times es ((-l \times n \t \times im \times es (V/D) - (m \times u - 0.5 * s \times ig \times ma_{A}^{2}) * T) / (s \times ig \times ma_{A} * s \times qr \times t \t \times im \times es (T))),Credit Derivatives,This equation calculates the default probability under the Merton model. PD represents the default probability
Distance to Default,D \times D = (l \times n \t \times im \times es (V/D) + (m \times u - 0.5 * s \times ig \times ma_{A}^{2}) * T) / (s \times ig \times ma_{A} * s \times qr \times t \t \times im \times es (T)),Credit Derivatives,This equation calculates the distance to default under the Merton model. DD represents the number of standard deviations the firm value is from the default threshold. Higher DD indicates lower default probability.
Credit Spread,s = -l \times n \t \times im \times es (Q \t \times im \times es (T)) / T,Credit Derivatives,This equation calculates the credit spread from survival probability. s represents the credit spread
Intensity-Based Spread,s = l \times am \times bd \times a + L \times GD * l \times am \times bd \times a,Credit Derivatives,This equation approximates the credit spread using hazard rate and loss given default. s represents the credit spread
CDS Spread,s_{c \times ds} = (1 - R) * l \times am \times bd \times a,Credit Derivatives,This equation approximates the CDS spread under constant hazard rate. s_cds represents the CDS spread
CDS Pricing (Protection Buyer),P \times V_{p \times re \times mi \times um} = s \times um_{i=1}^{n} s * d \times el \times ta_{i} * Q \t \times im \times es (t_{i}) * D \times F_{i},Credit Derivatives,This equation calculates the present value of premium payments for a CDS. PV_premium represents the PV of premiums
CDS Pricing (Protection Seller),P \times V_{d \times ef \times au \times lt} = s \times um_{i=1}^{n} (1 - R) * E \times AD * (Q \t \times im \times es (t_{i-1}) - Q \t \times im \times es (t_{i})) * D \times F_{i},Credit Derivatives,This equation calculates the present value of default leg payments. PV_default represents the PV of default payments
CDS Par Spread,s_{p \times ar} = P \times V_{d \times ef \times au \times lt} / P \times V_{a \times nn \times ui \times ty},Credit Derivatives,This equation calculates the par CDS spread that makes the CDS value zero. s_par represents the par spread
CDS Value,V_{c \times ds} = P \times V_{d \times ef \times au \times lt} - s * P \times V_{a \times nn \times ui \times ty},Credit Derivatives,This equation calculates the value of an existing CDS. V_cds represents the CDS value
CDS Delta,D \times el \times ta_{c \times ds} = (1 - R) * Q \t \times im \times es (T) / P \times V_{a \times nn \times ui \times ty},Credit Derivatives,This equation calculates the delta of a CDS. Delta_cds represents the sensitivity to the survival probability
CDS DV01,D \times V01_{c \times ds} = D \times el \times ta_{c \times ds} * D \times V01_{b \times on \times d},Credit Derivatives,This equation calculates the DV01 of a CDS. DV01_cds represents the sensitivity to interest rate changes
Upfront Payment,U \times P = (s_{m \times ar \times ke \times t} - s_{c \times ou \times po \times n}) * D \times V01_{c \times ds},Credit Derivatives,This equation calculates the upfront payment for a CDS. UP represents the upfront payment
CDS Index Spread,s_{i \times nd \times ex} = s \times um_{i=1}^{n} w_{i} * s_{i},Credit Derivatives,This equation calculates the spread of a CDS index. s_index represents the index spread
Tranche Attachment Point,A \times P = s \times um_{i=1}^{k} w_{i},Credit Derivatives,This equation calculates the attachment point of a CDO tranche. AP represents the attachment point (percentage of portfolio losses that must occur before the tranche suffers losses)
Tranche Detachment Point,D \times P = s \times um_{i=1}^{k} w_{i} + w_{t \times ra \times nc \times he},Credit Derivatives,This equation calculates the detachment point of a CDO tranche. DP represents the detachment point (percentage of portfolio losses that wipe out the tranche)
Expected Tranche Loss,E \times TL = i \times nt \times eg \times ra \times l_{A \times P}^{D \times P} (x - A \times P) * f_{L}(x) d \times x,Credit Derivatives,This equation calculates the expected loss of a CDO tranche. ETL represents the expected tranche loss
Tranche Spread,s_{t \times ra \times nc \times he} = E \times TL / P \times V_{a \times nn \times ui \times ty},Credit Derivatives,This equation calculates the spread of a CDO tranche. s_tranche represents the tranche spread
Gaussian Copula,C \times or \times r \t \times im \times es (L_{i},Credit Derivatives,Credit Derivatives - Structured Credit
Base Correlation,r \times ho_{b \times as \times e} = f \t \times im \times es (A \times P,Credit Derivatives, market_spreads)
Compound Poisson Default Process,d \times N_{t} = l \times am \times bd \times a d \times t + d \times M_{t},Credit Derivatives,This equation models defaults as a compound Poisson process. dN_t represents the change in the number of defaults
Credit Migration Matrix,P_{i \times j} = P \t \times im \times es (t \times ra \times ns \times it \times io \times n f \times ro \times m r \times at \times in \times g i \times to \times ra \times ti \times ng \times j),Credit Derivatives,This equation defines the credit migration probability. P_ij represents the probability that an obligor migrates from rating i to rating j over a given time period. Migration matrices are used in multi-period credit risk models.
Markov Chain Credit Model,P \t \times im \times es (t) = e \times xp \t \times im \times es (M * t),Credit Derivatives,This equation calculates the transition probability matrix for a Markov chain credit model. P(t) represents the transition matrix over time t
Credit Rating Migration,P \times D_{k}(t) = s \times um_{i=1}^{n} P_{i}(0) * P_{i \times k}(t),Credit Derivatives,This equation calculates the probability of being in rating k at time t. PD_k(t) represents the probability
Credit Portfolio Loss,L = s \times um_{i=1}^{n} L \times GD_{i} * E \times AD_{i} * L_{i},Credit Derivatives,This equation calculates the total loss from a credit portfolio. L represents the portfolio loss
Vasicek One-Factor Model,L_{i} = N \t \times im \times es ((Y_{i} - s \times qr \times t \t \times im \times es (r \times ho) * Z) / s \times qr \times t \t \times im \times es (1 - r \times ho)),Credit Derivatives,This is the Vasicek one-factor model for portfolio credit risk. L_i represents the default indicator for obligor i
Asymptotic Single-Risk Factor,P \times D_{i} = N \t \times im \times es ((N^{-1}(P \times D_{i}) - s \times qr \times t \t \times im \times es (r \times ho) * Z) / s \times qr \times t \t \times im \times es (1 - r \times ho)),Credit Derivatives,This equation gives the conditional default probability under the ASRF framework. PD_i represents the conditional PD for obligor i
Credit VaR under ASRF,C \times re \times di \times t __A \times BB \times R0__ = L \times GD * E \times AD * (N \t \times im \times es ((N^{-1}(P \times D) + s \times qr \times t \t \times im \times es (r \times ho) * N^{-1}(0.999)) / s \times qr \times t \t \times im \times es (1 - r \times ho)) - P \times D),Credit Derivatives,This equation calculates the 99.9% credit VaR under the ASRF model. Credit VaR represents the unexpected loss at the 99.9% confidence level
Default Correlation,r \times ho_{i \times j} = C \times or \times r \t \times im \times es (L_{i},Credit Derivatives,Credit Derivatives - Credit Risk Basics
Asset Correlation,r \times ho_{a \times ss \times et} = C \times or \times r \t \times im \times es (V_{i},Credit Derivatives,Credit Derivatives - Credit Risk Basics
Recovery Rate Distribution,R \times R = f \t \times im \times es (e \times co \times no \times mi \times c c \times on \times di \times ti \times on \times s,Credit Derivatives, collateral)
Credit Spread Curve,s \t \times im \times es (t) = -l \times n \t \times im \times es (Q \t \times im \times es (t)) / t,Credit Derivatives,This equation defines the credit spread curve. s(t) represents the credit spread for maturity t
Risky Bond Price,P_{r \times is \times ky} = s \times um_{i=1}^{n} C * Q \t \times im \times es (t_{i}) * D \times F_{i} + F * Q \t \times im \times es (T) * D \times F_{T},Credit Derivatives,This equation prices a risky corporate bond. P_risky represents the bond price
Credit Spread Option Payoff,P \times ay \times of \times f = m \times ax \t \times im \times es (s_{T} - K,Credit Derivatives,Credit Derivatives - Credit Derivatives
Total Return Swap Payoff,P \times ay \times of \times f = (B \times on \times d R \times et \times ur \times n + C \times ou \times po \times n - L \times IB \times OR - S \times pr \times ea \times d) * N,Credit Derivatives,This equation gives the periodic payoff of a total return swap. Payoff represents the payment
Credit Linked Note Payoff,P \times ay \times of \times f = F - L \times GD * E \times AD * L_{d \times ef \times au \times lt},Credit Derivatives,This equation gives the payoff of a credit linked note at maturity. Payoff represents the payment
Synthetic CDO Construction,V_{c \times do} = s \times um_{i=1}^{n} w_{i} * V_{c \times ds},Credit Derivatives,Credit Derivatives - Structured Credit
First-to-Default Basket Payoff,P \times ay \times of \times f = (1 - R) * E \times AD * L_{1},Credit Derivatives,This equation gives the payoff of a first-to-default basket. Payoff represents the payment
Nth-to-Default Basket Payoff,P \times ay \times of \times f = (1 - R) * E \times AD * (s \times um_{i=1}^{n} L_{i} - s \times um_{i=1}^{n-1} L_{i}),Credit Derivatives,This equation gives the payoff of an Nth-to-default basket. Payoff represents the payment
Credit Triangle,s = P \times D * L \times GD,Credit Derivatives,This equation shows the relationship between credit spread
Hazard Rate from Spread,l \times am \times bd \times a = s / (1 - R),Credit Derivatives,This equation calculates the hazard rate from the CDS spread. lambda represents the hazard rate
CDS Curve Bootstrap,l \times am \times bd \times a_{i} = (s_{i} * (1 - R) - s \times um_{j=1}^{i-1} l \times am \times bd \times a_{j} * d \times el \times ta_{j} * Q \t \times im \times es (t_{j})) / (d \times el \times ta_{i} * Q \t \times im \times es (t_{i})),Credit Derivatives,This equation bootstraps the hazard rate curve from CDS spreads. lambda_i is the hazard rate for period i
