title,equation_latex,main_category,notes
Expected Return,E[R] = sum_{i=1}^{n} w_{i} \times E[R_{i}],Portfolio Theory and Risk Management,This equation calculates the expected return of a portfolio. E[R] represents the portfolio expected return
Portfolio Variance,\text{sigma}^{2}_{p} = sum_{i=1}^{n} sum_{j=1}^{n} w_{i} \times w_{j} \times sigma_{i} \times sigma_{j} \times rho_{ij},Portfolio Theory and Risk Management,This equation calculates the variance of a portfolio. sigma^2_p represents the portfolio variance
Portfolio Standard Deviation,sigma_{p} = sqrt(\text{sigma}^{2}_{p}),Portfolio Theory and Risk Management,This equation calculates the standard deviation (volatility) of a portfolio. sigma_p represents the portfolio volatility
Covariance,Cov(R_{i},Portfolio Theory and Risk Management,Portfolio Theory and Risk Management - Modern Portfolio Theory
Correlation Coefficient,rho_{ij} = Cov(R_{i},Portfolio Theory and Risk Management,Portfolio Theory and Risk Management - Modern Portfolio Theory
Sharpe Ratio,Sharpe = (E[R_{p}] - R_{f}) / sigma_{p},Portfolio Theory and Risk Management,This equation calculates the Sharpe ratio
Treynor Ratio,Treynor = (E[R_{p}] - R_{f}) / beta_{p},Portfolio Theory and Risk Management,This equation calculates the Treynor ratio
Jensen's Alpha,alpha = R_{p} - (R_{f} + beta_{p} \times (R_{m} - R_{f})),Portfolio Theory and Risk Management,This equation calculates Jensen's alpha
Information Ratio,\text{IR} = (R_{p} - R_{b}) / sigma_{tracking},Portfolio Theory and Risk Management,This equation calculates the information ratio
Tracking Error,sigma_{tracking} = sqrt(Var(R_{p} - R_{b})),Portfolio Theory and Risk Management,This equation calculates the tracking error of a portfolio relative to a benchmark. sigma_tracking represents the standard deviation of the difference between portfolio return R_p and benchmark return R_b. Tracking error measures how closely the portfolio follows its benchmark.
Capital Allocation Line,R_{p} = R_{f} + (E[R_{m}] - R_{f}) / sigma_{m} \times sigma_{p},Portfolio Theory and Risk Management,This equation defines the Capital Allocation Line (CAL). R_p represents the return of a portfolio on the CAL
Capital Market Line,R_{p} = R_{f} + (E[R_{m}] - R_{f}) / sigma_{m} \times sigma_{p},Portfolio Theory and Risk Management,This equation defines the Capital Market Line (CML)
Security Market Line,E[R_{i}] = R_{f} + beta_{i} \times (E[R_{m}] - R_{f}),Portfolio Theory and Risk Management,This equation defines the Security Market Line (SML) from CAPM. E[R_i] represents the expected return of asset i
Beta,beta_{i} = Cov(R_{i},Portfolio Theory and Risk Management,Portfolio Theory and Risk Management - Modern Portfolio Theory
Portfolio Beta,beta_{p} = sum_{i=1}^{n} w_{i} \times beta_{i},Portfolio Theory and Risk Management,This equation calculates the beta of a portfolio. beta_p represents the portfolio beta
Efficient Frontier Optimization,min \text{sigma}^{2}_{p} subject to E[R_{p}] = target_{return} and sum w_{i} = 1,Portfolio Theory and Risk Management,This equation defines the mean-variance optimization problem for finding the efficient frontier. The objective is to minimize portfolio variance subject to achieving a target return and the weights summing to 1. The efficient frontier contains all optimal portfolios.
Minimum Variance Portfolio,w_{mvp} = (Sigma^{-1} \times 1) / (1' \times Sigma^{-1} \times 1),Portfolio Theory and Risk Management,This equation calculates the weights of the global minimum variance portfolio. w_mvp represents the portfolio weights
Tangency Portfolio,w_{tan} = (Sigma^{-1} \times (E[R] - R_{f} \times 1)) / (1' \times Sigma^{-1} \times (E[R] - R_{f} \times 1)),Portfolio Theory and Risk Management,This equation calculates the weights of the tangency portfolio (maximum Sharpe ratio portfolio). w_tan represents the portfolio weights
Value at Risk (Parametric),VaR_{alpha} = mu_{p} - z_{alpha} \times sigma_{p},Portfolio Theory and Risk Management,This equation calculates the parametric (normal) VaR. VaR_alpha represents the maximum loss at confidence level alpha
Value at Risk (Historical),VaR_{alpha} = -percentile(returns,Portfolio Theory and Risk Management,Portfolio Theory and Risk Management - Risk Metrics
Expected Shortfall (CVaR),ES_{alpha} = E[Loss | Loss >= VaR_{alpha}],Portfolio Theory and Risk Management,This equation calculates Expected Shortfall (also called Conditional VaR or CVaR). ES_alpha represents the expected loss given that the loss exceeds VaR_alpha. ES is a coherent risk measure that considers tail risk beyond VaR.
Expected Shortfall (Normal),ES_{alpha} = mu_{p} - (phi(z_{alpha}) / (1 - alpha)) \times sigma_{p},Portfolio Theory and Risk Management,This equation calculates ES under the normal distribution. ES_alpha represents the expected shortfall
Incremental VaR,IVaR_{i} = VaR_{portfolio} - VaR_{without}_{i},Portfolio Theory and Risk Management,This equation calculates the incremental VaR of an asset. IVaR_i represents the change in portfolio VaR when asset i is removed. Incremental VaR helps identify which assets contribute most to portfolio risk. Positive IVaR means the asset increases risk.
Marginal VaR,MVaR_{i} = delta_{\text{VaR}} / delta_{w}_{i} = Cov(R_{i},Portfolio Theory and Risk Management,Portfolio Theory and Risk Management - Risk Metrics
Component VaR,CVaR_{i} = w_{i} \times MVaR_{i},Portfolio Theory and Risk Management,This equation calculates the component VaR of an asset. CVaR_i represents the contribution of asset i to total portfolio VaR
Risk Contribution,Risk_{i} = w_{i} \times Cov(R_{i},Portfolio Theory and Risk Management,Portfolio Theory and Risk Management - Risk Metrics
Maximum Drawdown,\text{MDD} = max((Peak_{t} - Trough_{t}) / Peak_{t}),Portfolio Theory and Risk Management,This equation calculates the maximum drawdown of a portfolio. MDD represents the largest peak-to-trough decline
Average Drawdown,ADD = average of all drawdowns,Portfolio Theory and Risk Management,This equation calculates the average drawdown of a portfolio. ADD represents the average of all drawdowns over the period. Average drawdown complements maximum drawdown by providing information about typical loss severity.
Sterling Ratio,Sterling = (E[R_{p}] - R_{f}) / average_{drawdown},Portfolio Theory and Risk Management,This equation calculates the Sterling ratio
Calmar Ratio,Calmar = (E[R_{p}] - R_{f}) / \text{MDD},Portfolio Theory and Risk Management,This equation calculates the Calmar ratio
Sortino Ratio,Sortino = (E[R_{p}] - R_{f}) / sigma_{downside},Portfolio Theory and Risk Management,This equation calculates the Sortino ratio
Downside Deviation,sigma_{downside} = sqrt(average of min(R_{i} - R_{f},Portfolio Theory and Risk Management,Portfolio Theory and Risk Management - Risk Metrics
Omega Ratio,Omega(alpha) = E[max(R_{p} - alpha,Portfolio Theory and Risk Management, 0)]
Single-Factor Model,R_{i} = alpha_{i} + beta_{i} \times R_{m} + epsilon_{i},Portfolio Theory and Risk Management,This equation defines the single-factor (market) model. R_i represents the return of asset i
Multi-Factor Model,R_{i} = alpha_{i} + sum_{j=1}^{k} beta_{ij} \times F_{j} + epsilon_{i},Portfolio Theory and Risk Management,This equation defines a multi-factor model. R_i represents the return of asset i
Fama-French Three-Factor Model,R_{i} = alpha_{i} + beta_{i} \times (R_{m} - R_{f}) + s_{i} \times SMB + h_{i} \times HML + epsilon_{i},Portfolio Theory and Risk Management,This equation defines the Fama-French three-factor model. R_i represents the return
