title,equation_latex,main_category,notes
Expected Return,\text{E}[R] = s \times um_{i=1}^{n} w_{i} * \text{E}[R_{i}],Portfolio Theory and Risk Management,This equation calculates the expected return of a portfolio. E[R] represents the portfolio expected return
Portfolio Variance,s \times ig \times ma^{2}_{p} = s \times um_{i=1}^{n} s \times um_{j=1}^{n} w_{i} * w_{j} * s \times ig \times ma_{i} * s \times ig \times ma_{j} * r \times ho_{i}j,Portfolio Theory and Risk Management,This equation calculates the variance of a portfolio. sigma^2_p represents the portfolio variance
Portfolio Standard Deviation,s \times ig \times ma_{p} = s \times qr \times t \times (s \times ig \times ma^{2}_{p}),Portfolio Theory and Risk Management,This equation calculates the standard deviation (volatility) of a portfolio. sigma_p represents the portfolio volatility
Covariance,\text{C} \times ov \times (R_{i},Portfolio Theory and Risk Management,Portfolio Theory and Risk Management - Modern Portfolio Theory
Correlation Coefficient,r \times ho_{i}j = \text{C} \times ov \times (R_{i},Portfolio Theory and Risk Management,Portfolio Theory and Risk Management - Modern Portfolio Theory
Sharpe Ratio,\text{S} \times ha \times rp \times e = (\text{E}[R_{p}] - R_{f}) / s \times ig \times ma_{p},Portfolio Theory and Risk Management,This equation calculates the Sharpe ratio
Treynor Ratio,\text{T} \times re \times yn \times or = (\text{E}[R_{p}] - R_{f}) / b \times et \times a_{p},Portfolio Theory and Risk Management,This equation calculates the Treynor ratio
Jensen's Alpha,a \times lp \times ha = R_{p} - (R_{f} + b \times et \times a_{p} * (R_{m} - R_{f})),Portfolio Theory and Risk Management,This equation calculates Jensen's alpha
Information Ratio,\text{I} \times R = (R_{p} - R_{b}) / s \times ig \times ma_{t}r \times ac \times ki \times ng,Portfolio Theory and Risk Management,This equation calculates the information ratio
Tracking Error,s \times ig \times ma_{t}r \times ac \times ki \times ng = s \times qr \times t \times (\text{V} \times ar \times (R_{p} - R_{b})),Portfolio Theory and Risk Management,This equation calculates the tracking error of a portfolio relative to a benchmark. sigma_tracking represents the standard deviation of the difference between portfolio return R_p and benchmark return R_b. Tracking error measures how closely the portfolio follows its benchmark.
Capital Allocation Line,R_{p} = R_{f} + (\text{E}[R_{m}] - R_{f}) / s \times ig \times ma_{m} * s \times ig \times ma_{p},Portfolio Theory and Risk Management,This equation defines the Capital Allocation Line (CAL). R_p represents the return of a portfolio on the CAL
Capital Market Line,R_{p} = R_{f} + (\text{E}[R_{m}] - R_{f}) / s \times ig \times ma_{m} * s \times ig \times ma_{p},Portfolio Theory and Risk Management,This equation defines the Capital Market Line (CML)
