title,equation_latex,main_category,notes
Standard Brownian Motion,W_0 = 0,Stochastic Calculus Foundations, Var(W_t) = t
Brownian Motion Increments,W_{t+delta t} - W_t ~ N(0,Stochastic Calculus Foundations,Stochastic Calculus Foundations - Stochastic Processes
Quadratic Variation,[W,Stochastic Calculus Foundations,Stochastic Calculus Foundations - Stochastic Processes
Quadratic Variation Property,lim_{n->infinity} sum_{i=1}^n (W_{t_i} - W_{t_{i-1}})^2 = t,Stochastic Calculus Foundations,This equation shows how quadratic variation is calculated as the limit of squared increments. As the partition becomes finer
Geometric Brownian Motion,dS_t = mu * S_t * dt + sigma * S_t * dW_t,Stochastic Calculus Foundations,This is the Geometric Brownian Motion (GBM) SDE for asset prices. dS_t represents the change in asset price
GBM Solution,S_t = S_0 * exp((mu - 0.5 * sigma^2) * t + sigma * W_t),Stochastic Calculus Foundations,This equation gives the solution to the GBM SDE. S_t represents the asset price at time t
Lognormal Distribution,ln(S_t/S_0) ~ N((mu - 0.5 * sigma^2) * t,Stochastic Calculus Foundations,Stochastic Calculus Foundations - Stochastic Processes
General Diffusion Process,dX_t = mu(X_t,Stochastic Calculus Foundations, t) * dW_t
Ornstein-Uhlenbeck Process,dX_t = theta * (mu - X_t) * dt + sigma * dW_t,Stochastic Calculus Foundations,This is the Ornstein-Uhlenbeck (OU) process SDE. dX_t represents the change
Mean-Reverting Level,lim_{t->infinity} E[X_t] = mu,Stochastic Calculus Foundations,This equation shows that the OU process reverts to its long-term mean mu. As time goes to infinity
Ito's Lemma,dY_t = (partial f/partial t + mu * partial f/partial x + 0.5 * sigma^2 * partial^2 f/partial x^2) * dt + sigma * partial f/partial x * dW_t,Stochastic Calculus Foundations,This is Ito's Lemma for a function f(X_t
Ito's Lemma for GBM,d ln(S_t) = (mu - 0.5 * sigma^2) * dt + sigma * dW_t,Stochastic Calculus Foundations,This is Ito's Lemma applied to ln(S_t) for GBM. d ln(S_t) represents the change in log price
