title,equation_latex,main_category,notes
Standard Brownian Motion,W_{0} = 0,Stochastic Calculus Foundations, Var(W_t) = t
Brownian Motion Increments,W_{t+delta t} - W_{t} ~ N(0,Stochastic Calculus Foundations,Stochastic Calculus Foundations - Stochastic Processes
Quadratic Variation,[W,Stochastic Calculus Foundations,Stochastic Calculus Foundations - Stochastic Processes
Quadratic Variation Property,lim_{n->infinity} sum_{i=1}^n (W_{t_{i}} - W_{t_{i-1}})^2 = t,Stochastic Calculus Foundations,This equation shows how quadratic variation is calculated as the limit of squared increments. As the partition becomes finer
Geometric Brownian Motion,dS_{t} = mu * S_{t} * dt + sigma * S_{t} * dW_{t},Stochastic Calculus Foundations,This is the Geometric Brownian Motion (GBM) SDE for asset prices. dS_t represents the change in asset price
GBM Solution,S_{t} = S_{0} * exp((mu - 0.5 * sigma^{2}) * t + sigma * W_{t}),Stochastic Calculus Foundations,This equation gives the solution to the GBM SDE. S_t represents the asset price at time t
Lognormal Distribution,ln(S_\frac{{t}}{S}_{0}) ~ N((mu - 0.5 * sigma^{2}) * t,Stochastic Calculus Foundations,Stochastic Calculus Foundations - Stochastic Processes
General Diffusion Process,dX_{t} = mu(X_{t},Stochastic Calculus Foundations, t) * dW_t
Ornstein-Uhlenbeck Process,dX_{t} = theta * (mu - X_{t}) * dt + sigma * dW_{t},Stochastic Calculus Foundations,This is the Ornstein-Uhlenbeck (OU) process SDE. dX_t represents the change
Mean-Reverting Level,lim_{t->infinity} E[X_{t}] = mu,Stochastic Calculus Foundations,This equation shows that the OU process reverts to its long-term mean mu. As time goes to infinity
Ito's Lemma,dY_{t} = (partial \frac{f}{partial} t + mu * partial \frac{f}{partial} x + 0.5 * sigma^{2} * partial^{2} \frac{f}{partial} x^{2}) * dt + sigma * partial \frac{f}{partial} x * dW_{t},Stochastic Calculus Foundations,This is Ito's Lemma for a function f(X_t
Ito's Lemma for GBM,d ln(S_{t}) = (mu - 0.5 * sigma^{2}) * dt + sigma * dW_{t},Stochastic Calculus Foundations,This is Ito's Lemma applied to ln(S_t) for GBM. d ln(S_t) represents the change in log price
