title,equation_latex,main_category,notes
Standard Brownian Motion,W_{0} = 0,Stochastic Calculus Foundations, Var(W_t) = t
Brownian Motion Increments,W_{t+delta t} - W_{t} ~ N \times (0,Stochastic Calculus Foundations,Stochastic Calculus Foundations - Stochastic Processes
Quadratic Variation,[W,Stochastic Calculus Foundations,Stochastic Calculus Foundations - Stochastic Processes
Quadratic Variation Property,lim_{n->infinity} sum_{i=1}^{n} (W_{t_{i}} - W_{t_{i-1}})^{2} = t,Stochastic Calculus Foundations,This equation shows how quadratic variation is calculated as the limit of squared increments. As the partition becomes finer
Geometric Brownian Motion,dS_{t} = \text{mu} \times S_{t} \times dt + \text{sigma} \times S_{t} \times dW_{t},Stochastic Calculus Foundations,This is the Geometric Brownian Motion (GBM) SDE for asset prices. dS_t represents the change in asset price
GBM Solution,S_{t} = S_{0} \times exp((\text{mu} - 0.5 \times \text{sigma}^{2}) \times t + \text{sigma} \times W_{t}),Stochastic Calculus Foundations,This equation gives the solution to the GBM SDE. S_t represents the asset price at time t
Lognormal Distribution,ln(S_{t}/S_{0}) ~ N((\text{mu} - 0.5 \times \text{sigma}^{2}) \times t,Stochastic Calculus Foundations,Stochastic Calculus Foundations - Stochastic Processes
General Diffusion Process,dX_{t} = \text{mu}(X_{t},Stochastic Calculus Foundations, t) * dW_t
Ornstein-Uhlenbeck Process,dX_{t} = theta \times (\text{mu} - X_{t}) \times dt + \text{sigma} \times dW_{t},Stochastic Calculus Foundations,This is the Ornstein-Uhlenbeck (OU) process SDE. dX_t represents the change
Mean-Reverting Level,lim_{t->infinity} E[X_{t}] = \text{mu},Stochastic Calculus Foundations,This equation shows that the OU process reverts to its long-term mean mu. As time goes to infinity
Ito's Lemma,dY_{t} = (partial f/partial t + \text{mu} \times partial f/partial x + 0.5 \times \text{sigma}^{2} \times partial^{2} f/partial x^{2}) \times dt + \text{sigma} \times partial f/partial x \times dW_{t},Stochastic Calculus Foundations,This is Ito's Lemma for a function f(X_t
Ito's Lemma for GBM,d ln(S_{t}) = (\text{mu} - 0.5 \times \text{sigma}^{2}) \times dt + \text{sigma} \times dW_{t},Stochastic Calculus Foundations,This is Ito's Lemma applied to ln(S_t) for GBM. d ln(S_t) represents the change in log price
Ito's Lemma for f(S_t) = S_t^2,d \times (S_{t}^{2}) = (2 \times \text{mu} \times S_{t}^{2} + \text{sigma}^{2} \times S_{t}^{2}) \times dt + 2 \times \text{sigma} \times S_{t}^{2} \times dW_{t},Stochastic Calculus Foundations,This is Ito's Lemma applied to f(S_t) = S_t^2. The drift term includes both the 2*mu*S_t^2 term from ordinary calculus and the sigma^2*S_t^2 Ito correction. This example shows how Ito's Lemma differs from the ordinary chain rule.
Stochastic Integral,I_{t} = integral_{0}^{t} X_{s} \times dW_{s},Stochastic Calculus Foundations,This equation defines the Ito stochastic integral. I_t represents the integral of the adapted process X_s with respect to Brownian motion W_s. The stochastic integral is defined as the limit of Riemann sums
Ito Isometry,E[(integral_{0}^{t} X_{s} \times dW_{s})^{2}] = E[integral_{0}^{t} X_{s}^{2} ds],Stochastic Calculus Foundations,This equation defines the Ito Isometry property. The expectation of the squared stochastic integral equals the expectation of the integral of the squared integrand. Ito Isometry is crucial for calculating variances of stochastic integrals.
Martingale Property,E[integral_{t}^{T} X_{s} \times dW_{s} | F_{t}] = 0,Stochastic Calculus Foundations,This equation shows that the stochastic integral is a martingale. The conditional expectation of the future integral given information at time t is zero. The martingale property is fundamental to risk-neutral valuation in finance.
Ito Product Rule,d \times (X_{t} \times Y_{t}) = X_{t} \times dY_{t} + Y_{t} \times dX_{t} + d[X,Stochastic Calculus Foundations,Stochastic Calculus Foundations - Stochastic Processes
Quadratic Covariation,[X,Stochastic Calculus Foundations,Stochastic Calculus Foundations - Stochastic Processes
Girsanov Theorem (Change of Measure),dW_{t}^{Q} = dW_{t}^{P} + lambda_{t} \times dt,Stochastic Calculus Foundations,This equation defines the Girsanov transformation for changing probability measures. dW_t^Q represents Brownian motion under the new measure Q
Market Price of Risk,lambda_{t} = (mu_{t} - r_{t}) / sigma_{t},Stochastic Calculus Foundations,This equation defines the market price of risk. lambda_t represents the Sharpe ratio of the asset
Risk-Neutral Dynamics,dS_{t} = r_{t} \times S_{t} \times dt + sigma_{t} \times S_{t} \times dW_{t}^{Q},Stochastic Calculus Foundations,This equation gives the risk-neutral dynamics of an asset price. Under the risk-neutral measure Q
Radon-Nikodym Derivative,Z_{T} = exp(-integral_{0}^{T} lambda_{s} \times dW_{s}^{P} - 0.5 \times integral_{0}^{T} lambda_{s}^{2} ds),Stochastic Calculus Foundations,This equation defines the Radon-Nikodym derivative for changing from measure P to Q. Z_T represents the likelihood ratio
Novikov Condition,E[exp(0.5 \times integral_{0}^{T} lambda_{s}^{2} ds)] < infinity,Stochastic Calculus Foundations,This equation is the Novikov condition
Feynman-Kac Formula,u \times (x,Stochastic Calculus Foundations,Stochastic Calculus Foundations - Stochastic Differential Equations
Kolmogorov Forward Equation,partial p / partial t = -partial (\text{mu} \times p) / partial x + 0.5 \times partial^{2} (\text{sigma}^{2} \times p) / partial x^{2},Stochastic Calculus Foundations,This equation defines the Kolmogorov forward (Fokker-Planck) equation for the transition density p(x
Kolmogorov Backward Equation,partial p / partial t = \text{mu} \times partial p / partial x + 0.5 \times \text{sigma}^{2} \times partial^{2} p / partial x^{2},Stochastic Calculus Foundations,This equation defines the Kolmogorov backward equation. Unlike the forward equation
Strong Solution,X_{t} = X_{0} + integral_{0}^{t} \text{mu}(X_{s},Stochastic Calculus Foundations, s) dW_s
Weak Solution,X_{t} = X_{0} + integral_{0}^{t} \text{mu}(X_{s},Stochastic Calculus Foundations, s) dW_s
Existence and Uniqueness,|\text{mu}(x,Stochastic Calculus Foundations, t)| + |sigma(x
Martingale Representation Theorem,M_{t} = M_{0} + integral_{0}^{t} phi_{s} \times dW_{s},Stochastic Calculus Foundations,This theorem states that any square-integrable martingale M_t can be represented as a stochastic integral. phi_s is an adapted process
Stochastic Exponential,E \times (X)_{t} = exp(X_{t} - 0.5 \times [X,Stochastic Calculus Foundations,Stochastic Calculus Foundations - Stochastic Differential Equations
Doléans-Dade Exponential,dZ_{t} = -lambda_{t} \times Z_{t} \times dW_{t},Stochastic Calculus Foundations,Stochastic Calculus Foundations - Stochastic Differential Equations
Martingale Representation for GBM,S_{t} = S_{0} + integral_{0}^{t} \text{mu} \times S_{s} ds + integral_{0}^{t} \text{sigma} \times S_{s} dW_{s},Stochastic Calculus Foundations,This equation represents GBM as an Ito integral. S_t represents the GBM price
Multi-Dimensional Brownian Motion,dW_{t} = (dW_{1,Stochastic Calculus Foundations, dW_{2
Correlation Structure,E[dW_{i,Stochastic Calculus Foundations,t}] = rho_{ij} * dt
Multi-Dimensional SDE,dX_{t} = \text{mu}(X_{t},Stochastic Calculus Foundations, t) * dW_t
Multi-Dimensional Ito's Lemma,dY_{t} = (partial f/partial t + nabla f \times \text{mu} + 0.5 \times tr(Sigma \times Sigma^{T} \times Hessian f)) \times dt + (nabla f \times Sigma) \times dW_{t},Stochastic Calculus Foundations,This is Ito's Lemma for multi-dimensional processes. nabla f is the gradient
Stopped Process,X_{t^{t}au} = X_{min(t,Stochastic Calculus Foundations,Stochastic Calculus Foundations - Stochastic Processes
Optional Stopping Theorem,E[X_{tau}] = E[X_{0}] for bounded stopping times tau,Stochastic Calculus Foundations,This theorem states that for a martingale X_t
Local Martingale,Integral_{0}^{t} H_{s} \times dM_{s} is a local martingale,Stochastic Calculus Foundations,This equation defines a local martingale. A local martingale is a process that becomes a martingale when stopped at an increasing sequence of stopping times. Local martingales are more general than martingales and appear in many financial models.
Semimartingale,X_{t} = X_{0} + M_{t} + A_{t},Stochastic Calculus Foundations,This equation defines a semimartingale as the sum of a local martingale M_t and a finite variation process A_t. Semimartingales are the most general class of processes for which stochastic integration can be defined. Most financial models are semimartingales.
Predictable Representation,Any square-integrable martingale can be represented as a stochastic integral,Stochastic Calculus Foundations,This property states that under certain conditions
