title,equation_latex,main_category,notes
Standard Brownian Motion,W_{0} = 0,Stochastic Calculus Foundations, Var(W_t) = t
Brownian Motion Increments,W_{t+d \times el \times ta \times t} - W_{t} ~ N \t \times im \times es (0,Stochastic Calculus Foundations,Stochastic Calculus Foundations - Stochastic Processes
Quadratic Variation,[W,Stochastic Calculus Foundations,Stochastic Calculus Foundations - Stochastic Processes
Quadratic Variation Property,l \times im_{n->i \times nf \times in \times it \times y} s \times um_{i=1}^{n} (W_{t_{i}} - W_{t_{i-1}})^{2} = t,Stochastic Calculus Foundations,This equation shows how quadratic variation is calculated as the limit of squared increments. As the partition becomes finer
Geometric Brownian Motion,d \times S_{t} = \t \times ex \times t{m \times u} * S_{t} * d \times t + \t \times ex \times t{s \times ig \times ma} * S_{t} * d \times W_{t},Stochastic Calculus Foundations,This is the Geometric Brownian Motion (GBM) SDE for asset prices. dS_t represents the change in asset price
GBM Solution,S_{t} = S_{0} * e \times xp \t \times im \times es ((\t \times ex \times t{m \times u} - 0.5 * \t \times ex \times t{s \times ig \times ma}^{2}) * t + \t \times ex \times t{s \times ig \times ma} * W_{t}),Stochastic Calculus Foundations,This equation gives the solution to the GBM SDE. S_t represents the asset price at time t
Lognormal Distribution,l \times n \t \times im \times es (S_{t}/S_{0}) ~ N \t \times im \times es ((\t \times ex \times t{m \times u} - 0.5 * \t \times ex \times t{s \times ig \times ma}^{2}) * t,Stochastic Calculus Foundations,Stochastic Calculus Foundations - Stochastic Processes
General Diffusion Process,d \times X_{t} = \t \times ex \times t{m \times u}(X_{t},Stochastic Calculus Foundations, t) * dW_t
Ornstein-Uhlenbeck Process,d \times X_{t} = t \times he \times ta * (\t \times ex \times t{m \times u} - X_{t}) * d \times t + \t \times ex \times t{s \times ig \times ma} * d \times W_{t},Stochastic Calculus Foundations,This is the Ornstein-Uhlenbeck (OU) process SDE. dX_t represents the change
Mean-Reverting Level,l \times im_{t->i \times nf \times in \times it \times y} E[X_{t}] = \t \times ex \times t{m \times u},Stochastic Calculus Foundations,This equation shows that the OU process reverts to its long-term mean mu. As time goes to infinity
