title,equation_latex,main_category,notes
Standard Brownian Motion,W_{0} = 0,Stochastic Calculus Foundations, Var(W_t) = t
Brownian Motion Increments,W_{t+d \times el \times ta t} - W_{t} ~ N \times (0,Stochastic Calculus Foundations,Stochastic Calculus Foundations - Stochastic Processes
Quadratic Variation,[W,Stochastic Calculus Foundations,Stochastic Calculus Foundations - Stochastic Processes
Quadratic Variation Property,l \times im_{n->i \times nf \times in \times it \times y} s \times um_{i=1}^{n} (W_{t_{i}} - W_{t_{i-1}})^{2} = t,Stochastic Calculus Foundations,This equation shows how quadratic variation is calculated as the limit of squared increments. As the partition becomes finer
Geometric Brownian Motion,d \times S_{t} = m \times u * S_{t} * d \times t + s \times ig \times ma * S_{t} * d \times W_{t},Stochastic Calculus Foundations,This is the Geometric Brownian Motion (GBM) SDE for asset prices. dS_t represents the change in asset price
GBM Solution,S_{t} = S_{0} * e \times xp \times ((m \times u - 0.5 * s \times ig \times ma^{2}) * t + s \times ig \times ma * W_{t}),Stochastic Calculus Foundations,This equation gives the solution to the GBM SDE. S_t represents the asset price at time t
Lognormal Distribution,l \times n \times (S_{t}/S_{0}) ~ N \times ((m \times u - 0.5 * s \times ig \times ma^{2}) * t,Stochastic Calculus Foundations,Stochastic Calculus Foundations - Stochastic Processes
General Diffusion Process,d \times X_{t} = m \times u \times (X_{t},Stochastic Calculus Foundations, t) * dW_t
Ornstein-Uhlenbeck Process,d \times X_{t} = t \times he \times ta * (m \times u - X_{t}) * d \times t + s \times ig \times ma * d \times W_{t},Stochastic Calculus Foundations,This is the Ornstein-Uhlenbeck (OU) process SDE. dX_t represents the change
Mean-Reverting Level,l \times im_{t->i \times nf \times in \times it \times y} \text{E}[X_{t}] = m \times u,Stochastic Calculus Foundations,This equation shows that the OU process reverts to its long-term mean mu. As time goes to infinity
Ito's Lemma,d \times Y_{t} = (p \times ar \times ti \times al f/p \times ar \times ti \times al t + m \times u * p \times ar \times ti \times al f/p \times ar \times ti \times al x + 0.5 * s \times ig \times ma^{2} * p \times ar \times ti \times al^{2} f/p \times ar \times ti \times al x^{2}) * d \times t + s \times ig \times ma * p \times ar \times ti \times al f/p \times ar \times ti \times al x * d \times W_{t},Stochastic Calculus Foundations,This is Ito's Lemma for a function f(X_t
Ito's Lemma for GBM,d l \times n \times (S_{t}) = (m \times u - 0.5 * s \times ig \times ma^{2}) * d \times t + s \times ig \times ma * d \times W_{t},Stochastic Calculus Foundations,This is Ito's Lemma applied to ln(S_t) for GBM. d ln(S_t) represents the change in log price
Ito's Lemma for f(S_t) = S_t^2,d \times (S_{t}^{2}) = (2 * m \times u * S_{t}^{2} + s \times ig \times ma^{2} * S_{t}^{2}) * d \times t + 2 * s \times ig \times ma * S_{t}^{2} * d \times W_{t},Stochastic Calculus Foundations,This is Ito's Lemma applied to f(S_t) = S_t^2. The drift term includes both the 2*mu*S_t^2 term from ordinary calculus and the sigma^2*S_t^2 Ito correction. This example shows how Ito's Lemma differs from the ordinary chain rule.
Stochastic Integral,I_{t} = i \times nt \times eg \times ra \times l_{0}^{t} X_{s} * d \times W_{s},Stochastic Calculus Foundations,This equation defines the Ito stochastic integral. I_t represents the integral of the adapted process X_s with respect to Brownian motion W_s. The stochastic integral is defined as the limit of Riemann sums
Ito Isometry,\text{E}[(i \times nt \times eg \times ra \times l_{0}^{t} X_{s} * d \times W_{s})^{2}] = \text{E}[i \times nt \times eg \times ra \times l_{0}^{t} X_{s}^{2} d \times s],Stochastic Calculus Foundations,This equation defines the Ito Isometry property. The expectation of the squared stochastic integral equals the expectation of the integral of the squared integrand. Ito Isometry is crucial for calculating variances of stochastic integrals.
Martingale Property,\text{E}[i \times nt \times eg \times ra \times l_{t}^{\text{T}} X_{s} * d \times W_{s} | F_{t}] = 0,Stochastic Calculus Foundations,This equation shows that the stochastic integral is a martingale. The conditional expectation of the future integral given information at time t is zero. The martingale property is fundamental to risk-neutral valuation in finance.
