title,equation_latex,main_category,notes
Weighted Average Cost of Capital,\text{WACC} = w_{e} \times r_{e} + w_{d} \times r_{d} \times \left(1 - T\right),Corporate Finance - Cost of Capital,"This equation calculates the weighted average cost of capital. WACC represents the blended cost of financing, w_e and w_d are the weights of equity and debt, r_e and r_d are the costs of equity and debt, and T is the corporate tax rate. WACC is used as the discount rate for DCF valuation and is a key input in capital budgeting decisions. The cost of capital represents the required return that investors demand."
Cost of Equity (CAPM),\text{r}_{e} = r_{f} + \beta \times \left(r_{m} - r_{f}\right),Corporate Finance - Cost of Capital,"This equation calculates the cost of equity using the Capital Asset Pricing Model. r_e represents the expected return on equity, r_f is the risk-free rate, beta measures systematic risk, and (r_m - r_f) is the market risk premium. CAPM is the most widely used method for estimating the cost of equity. The cost of capital represents the required return that investors demand."
Cost of Equity (Dividend Growth),r_{e} = D_{1} / P_{0} + g,Corporate Finance - Cost of Capital,"This equation calculates the cost of equity using the constant growth dividend model. r_e represents the cost of equity, D_1 is the expected dividend, P_0 is the current stock price, and g is the constant dividend growth rate. This method is appropriate for stable dividend-paying companies. The cost of capital represents the required return that investors demand."
Cost of Debt,r_{d} = \t \times ex \times t{Y \times TM} * (1 - T),Corporate Finance - Cost of Capital,"This equation calculates the after-tax cost of debt. r_d represents the after-tax cost of debt, YTM is the yield to maturity on the company's debt, and T is the corporate tax rate. Interest is tax-deductible, so the after-tax cost is lower than the pre-tax yield. The cost of capital represents the required return that investors demand."
Cost of Preferred Stock,r_{p} = D_{p} / P_{p},Corporate Finance - Cost of Capital,"This equation calculates the cost of preferred stock. r_p represents the cost of preferred stock, D_p is the annual dividend, and P_p is the current price of preferred stock. Preferred dividends are not tax-deductible, so no tax adjustment is needed. The cost of capital represents the required return that investors demand."
Unlevered Cost of Equity,r_{u} = r_{e} + (r_{d} - r_{f}) * (D/E) * (1 - T),Corporate Finance - Cost of Capital,"This equation calculates the unlevered cost of equity using the Hamada equation. r_u represents the unlevered cost of equity, r_e is the levered cost of equity, r_d is the cost of debt, r_f is the risk-free rate, D/E is the debt-to-equity ratio, and T is the tax rate. This formula adjusts for financial leverage. The cost of capital represents the required return that investors demand."
Levered Beta,b \times et \times a_{L} = b \times et \times a_{U} * (1 + (D/E) * (1 - T)),Corporate Finance - Cost of Capital,"This equation calculates the levered beta from the unlevered beta. beta_L represents the levered beta (accounting for financial leverage), beta_U is the unlevered beta (asset beta), D/E is the debt-to-equity ratio, and T is the corporate tax rate. Higher leverage increases systematic risk. The cost of capital represents the required return that investors demand."
Unlevered Beta,b \times et \times a_{U} = b \times et \times a_{L} / (1 + (D/E) * (1 - T)),Corporate Finance - Cost of Capital,"This equation calculates the unlevered beta from the levered beta. beta_U represents the asset beta (business risk only), beta_L is the levered beta, D/E is the debt-to-equity ratio, and T is the corporate tax rate. Unlevered beta is used to compare companies with different capital structures. The cost of capital represents the required return that investors demand."
Market Risk Premium,\t \times ex \times t{M \times RP} = E[R_{m}] - r_{f},Corporate Finance - Cost of Capital,"This equation calculates the market risk premium. MRP represents the excess return of the market over the risk-free rate, E[R_m] is the expected market return, and r_f is the risk-free rate. MRP reflects the compensation investors require for bearing systematic market risk."
Adjusted Present Value,\t \times ex \times t{A \times PV} = V_{u} + \t \times ex \times t{P \times V}(t \times ax \times sh \times ie \times ld) - \t \times ex \times t{P \times V}(c \times os \times ts \times of \times fi \times na \times nc \times ia \times l d \times is \times tr \times es \times s),Corporate Finance - Valuation,"This equation calculates the adjusted present value of a firm. APV represents the firm value, V_u is the unlevered firm value, PV(tax shield) is the present value of interest tax shields, and PV(costs) is the present value of financial distress costs. APV is useful for LBO and project valuation."
Enterprise Value,E \times V = M \times ar \times ke \times t \t \times ex \times t{C \times ap} + T \times ot \times al \times De \times bt - C \times as \times h + M \times in \times or \times it \times y I \times nt \times er \times es \times t + P \times re \times fe \times rr \times ed \times St \times oc \times k,Corporate Finance - Valuation,"This equation calculates the enterprise value. EV represents the total value of a company available to all investors, Market Cap is equity value, Total Debt includes interest-bearing debt, Cash is subtracted (reduces value), and minority interest and preferred stock are added. EV is used in valuation multiples."
Terminal Value (Gordon Growth),\t \times ex \times t{T \times V} = F \times CF_{n+1} / (\t \times ex \times t{W \times AC \times C} - g),Corporate Finance - Valuation,"This equation calculates terminal value using the Gordon growth model. TV represents the present value of all future free cash flows beyond the projection period, FCF_{n+1} is the first year post-projection free cash flow, WACC is the discount rate, and g is the perpetual growth rate. Terminal value often accounts for 60-80% of total firm value."
Terminal Value (Exit Multiple),\t \times ex \times t{T \times V} = E \times BI \times TD \times A_{e \times xi \times t} * E \times V_{M \times ul \times ti \times pl \times e},Corporate Finance - Valuation,"This equation calculates terminal value using an exit multiple. TV represents the terminal value, EBITDA_{exit} is the projected EBITDA at the exit date, and EV_Multiple is the industry benchmark multiple. This method is widely used in private equity and investment banking."
Free Cash Flow to Firm,\t \times ex \times t{F \times CF \times F} = \t \times ex \times t{E \times BI \times T} * (1 - T) + \t \times ex \times t{\t \times ex \times t{D&A}} - \t \times ex \times t{C \times ap \times Ex} - C \times ha \times ng \times e i \times n N \times WC,Corporate Finance - Valuation,"This equation calculates free cash flow to the firm. FCFF represents the cash available to all investors after reinvestment, EBIT is earnings before interest and taxes, T is the tax rate, D&A is depreciation and amortization, CapEx is capital expenditure, and Change in NWC is the change in net working capital."
Free Cash Flow to Equity,\t \times ex \times t{F \times CF \times E} = N \times et \times In \times co \times me + \t \times ex \times t{\t \times ex \times t{D&A}} - \t \times ex \times t{C \times ap \times Ex} + N \times et \times Bo \times rr \times ow \times in \times g - C \times ha \times ng \times e i \times n N \times WC,Corporate Finance - Valuation,"This equation calculates free cash flow to equity. FCFE represents the cash available to equity holders after all expenses, debt payments, and reinvestments. Net Income is the starting point, D&A is added back, CapEx and working capital changes are subtracted, and net borrowing is added."
Earnings Before Interest and Taxes,\t \times ex \times t{E \times BI \times T} = R \times ev \times en \times ue - C \times OG \times S - O \times pe \times ra \times ti \times ng \times Ex \times pe \times ns \times es,Corporate Finance - Valuation,"This equation calculates earnings before interest and taxes. EBIT represents the operating profit of the company, Revenue is total sales, COGS is cost of goods sold, and Operating Expenses include SG&A, R&D, and other operating costs. EBIT is used in valuation multiples and DCF analysis."
Net Operating Profit After Tax,\t \times ex \times t{N \times OP \times AT} = \t \times ex \times t{E \times BI \times T} * (1 - T),Corporate Finance - Valuation,"This equation calculates net operating profit after tax. NOPAT represents the operating profit available to all investors after taxes, EBIT is operating profit, and T is the tax rate. NOPAT is used in EVA calculations and measures the true operating performance."
Economic Value Added,\t \times ex \times t{E \times VA} = \t \times ex \times t{N \times OP \times AT} - (\t \times ex \times t{W \times AC \times C} * C \times ap \times it \times al),Corporate Finance - Valuation,"This equation calculates Economic Value Added. EVA represents the value created by the company above its cost of capital, NOPAT is net operating profit after tax, WACC is the weighted average cost of capital, and Capital is the invested capital. Positive EVA indicates value creation."
Return on Invested Capital,\t \times ex \times t{R \times OI \times C} = \t \times ex \times t{N \times OP \times AT} / I \times nv \times es \times te \times d C \times ap \times it \times al,Corporate Finance - Valuation,"This equation calculates return on invested capital. ROIC represents the return on all capital invested in the business, NOPAT is net operating profit after tax, and Invested Capital is total debt plus equity minus cash. ROIC measures how efficiently the company uses its capital."
Price to Earnings Ratio,P/E = P \times ri \times ce \times pe \times r S \times ha \times re / E \times ar \times ni \times ng \times s p \times er \times Sh \times ar \times e,Corporate Finance - Valuation,"This equation calculates the price-to-earnings ratio. P/E represents how much investors pay per dollar of earnings, Price per Share is the stock price, and Earnings per Share is net income divided by shares outstanding. P/E is the most common valuation multiple."
Enterprise Value to EBITDA,E \times V/\t \times ex \times t{E \times BI \times TD \times A} = E \times nt \times er \times pr \times is \times e V \times al \times ue / \t \times ex \times t{E \times BI \times TD \times A},Corporate Finance - Valuation,"This equation calculates the EV to EBITDA multiple. EV/EBITDA represents the enterprise value relative to operating cash generation, Enterprise Value is total firm value, and EBITDA is earnings before interest, taxes, depreciation, and amortization. This multiple is useful for comparing companies with different capital structures."
Price to Book Ratio,P/B = P \times ri \times ce \times pe \times r S \times ha \times re / B \times oo \times k V \times al \times ue \times pe \times r S \times ha \times re,Corporate Finance - Valuation,"This equation calculates the price-to-book ratio. P/B represents how much investors pay per dollar of book value, Price per Share is the stock price, and Book Value per Share is total equity divided by shares outstanding. P/B is particularly relevant for financial institutions."
Price to Sales Ratio,P/S = M \times ar \times ke \times t \t \times ex \times t{C \times ap} / T \times ot \times al \times Re \times ve \times nu \times e,Corporate Finance - Valuation,"This equation calculates the price-to-sales ratio. P/S represents the market capitalization relative to annual revenue, Market Cap is equity value, and Total Revenue is annual sales. P/S is useful for unprofitable companies and early-stage businesses."
EV to Sales Ratio,E \times V/S \times al \times es = E \times nt \times er \times pr \times is \times e V \times al \times ue / T \times ot \times al \times Re \times ve \times nu \times e,Corporate Finance - Valuation,"This equation calculates the enterprise value to sales ratio. EV/Sales represents the total firm value relative to annual revenue, which is useful for comparing companies with different capital structures and profitability levels."
Sustainable Growth Rate,g = \t \times ex \times t{R \times OE} * R \times et \times en \times ti \times on \times Ra \times ti \times o,Corporate Finance - Valuation,"This equation calculates the sustainable growth rate. g represents the maximum growth rate a company can achieve without additional financing, ROE is return on equity, and Retention Ratio is the proportion of earnings retained (1 - dividend payout ratio)."
Return on Equity,\t \times ex \times t{R \times OE} = N \times et \times In \times co \times me / S \times ha \times re \times ho \times ld \times er \times s' E \times qu \times it \times y,Corporate Finance - Valuation,"This equation calculates return on equity. ROE represents how much profit the company generates per dollar of equity investment, Net Income is after all expenses and taxes, and Shareholders' Equity is total assets minus total liabilities. ROE is a key measure of profitability."
Return on Assets,\t \times ex \times t{R \times OA} = N \times et \times In \times co \times me / T \times ot \times al \times As \times se \times ts,Corporate Finance - Valuation,"This equation calculates return on assets. ROA represents how much profit the company generates per dollar of assets, Net Income is after all expenses, and Total Assets is the sum of current and non-current assets. ROA measures overall asset efficiency."
Dividend Payout Ratio,\t \times ex \times t{D \times PR} = D \times iv \times id \times en \times ds \times pe \times r S \times ha \times re / E \times ar \times ni \times ng \times s p \times er \times Sh \times ar \times e,Corporate Finance - Valuation,"This equation calculates the dividend payout ratio. DPR represents the percentage of earnings paid as dividends, Dividends per Share is the annual dividend, and Earnings per Share is net income per share. A higher payout ratio means less earnings are retained for reinvestment."
Retention Ratio,R \times et \times en \times ti \times on \times Ra \times ti \times o = 1 - D \times iv \times id \times en \times d P \times ay \times ou \times t R \times at \times io,Corporate Finance - Valuation,This equation calculates the retention ratio. Retention Ratio represents the proportion of earnings retained in the business rather than paid as dividends. Higher retention ratios indicate the company is reinvesting more earnings for future growth.
Gordon Growth Model,P_{0} = D_{1} / (r - g),Corporate Finance - Valuation,"This equation calculates the intrinsic value of a stock using the constant growth dividend model. P_0 represents the current stock price, D_1 is the expected dividend next period, r is the required return on equity, and g is the constant dividend growth rate. This model assumes perpetual constant growth."
Two-Stage Dividend Discount Model,P_{0} = s \times um_{t=1}^{n} D_{t} / (1 + r)^{t} + P_{n} / (1 + r)^{n},Corporate Finance - Valuation,"This equation calculates the intrinsic value using a two-stage dividend model. P_0 represents the stock price, D_t are dividends in the high-growth stage, r is the discount rate, and P_n is the terminal price calculated using Gordon growth at the end of year n."
