title,equation_latex,main_category,notes
Binomial Tree Up Factor,u = exp(sigma * sqrt(delta t)),Numerical Methods,This equation calculates the up factor in a binomial tree. u represents the multiplicative factor for an up move
Binomial Tree Down Factor,d = \frac{1}{u} = exp(-sigma * sqrt(delta t)),Numerical Methods,This equation calculates the down factor in a binomial tree. d represents the multiplicative factor for a down move
Binomial Tree Risk-Neutral Probability,p = (exp(r * delta t) - d) / (u - d),Numerical Methods,This equation calculates the risk-neutral probability of an up move in a binomial tree. p represents the probability
Binomial Tree Option Price,Option = exp(-r * delta t) * (p * Option_{up} + (1 - p) * Option_{down}),Numerical Methods,This equation calculates the option price at each node using backward induction. Option represents the discounted expected value under risk-neutral probabilities
Cox-Ross-Rubinstein Parameters,u = exp(sigma * sqrt(delta t)),Numerical Methods, p = 0.5 * (exp(r * delta t) - d) / (u - d)
Jarrow-Rudd Parameters,u = exp((r - 0.5 * sigma^{2}) * delta t + sigma * sqrt(delta t)),Numerical Methods, p = 0.5
Trinomial Tree Up Factor,u = exp(lambda * sigma * sqrt(delta t)),Numerical Methods,This equation calculates the up factor in a trinomial tree. u represents the multiplicative factor for an up move
Trinomial Tree Down Factor,d = exp(-lambda * sigma * sqrt(delta t)),Numerical Methods,This equation calculates the down factor in a trinomial tree. d represents the multiplicative factor for a down move. Trinomial trees have three branches (up
Trinomial Tree Middle Factor,m = 1,Numerical Methods,This equation defines the middle factor in a trinomial tree. m represents the multiplicative factor for no change in the underlying price. The middle branch allows for the possibility of no movement in the underlying asset
Trinomial Tree Probabilities,p_{u} = (a - (b - c)) / (a - c),Numerical Methods, p_d = 1 - p_u - p_m
Finite Difference Explicit Scheme,V_{i,Numerical Methods,j} + b_j * V_{i
Finite Difference Implicit Scheme,a_{j} * V_{i-1,Numerical Methods,j+1} + c_j * V_{i+1
Crank-Nicolson Scheme,0.5 * (a_{j} * V_{i-1,Numerical Methods,j+1} + c_j * V_{i+1
Monte Carlo Option Price,Option = exp(-r * T) * (\frac{1}{N}) * sum_{i=1}^N Payoff_{i},Numerical Methods,This equation calculates the option price using Monte Carlo simulation. Option represents the discounted average payoff
Monte Carlo Standard Error,SE = sigma_\frac{{payoff}}{sqrt}(N),Numerical Methods,This equation calculates the standard error of the Monte Carlo estimate. SE represents the standard error
Variance Reduction: Antithetic Variates,Var((X + X')/2) = 0.5 * (Var(X) + Var(X') + 2 * Cov(X,Numerical Methods,Numerical Methods - Option Pricing Methods
Variance Reduction: Control Variates,Var(X_{cv}) = Var(X) - 2 * Cov(X,Numerical Methods, Y)^2 / Var(Y)^2
Quasi-Monte Carlo,Error = O((log N)^\frac{d}{N}),Numerical Methods,This equation gives the convergence rate of quasi-Monte Carlo methods. The error decreases as O((log N)^d / N) instead of O(1/sqrt(N)) for standard Monte Carlo
Longstaff-Schwartz Algorithm,Continuation Value = sum_{i=1}^M w_{i} * L_{i}(S_{t}),Numerical Methods,This equation defines the continuation value in the Longstaff-Schwartz algorithm for American options. Continuation Value represents the expected value of continuing rather than exercising
Least Squares Monte Carlo,LSM = argmin_{b} sum_{i=1}^M (Discounted Payoff_{i} - sum_{j=1}^K b_{j} * L_{j}(S_{t_{i}}))^2,Numerical Methods,This equation defines the least squares problem in LSM. LSM estimates the coefficients b_j to minimize the squared error between discounted payoffs and basis function values. LSM is the standard method for pricing American options with Monte Carlo.
Newton-Raphson Method,x_{n+1} = x_{n} - f(x_{n}) / f'(x_{n}),Numerical Methods,This equation defines the Newton-Raphson method for root finding. x_{n+1} represents the next approximation
Bisection Method,x_{n+1} = (a_{n} + b_{n}) / 2,Numerical Methods,This equation defines the bisection method for root finding. x_{n+1} is the midpoint of the interval [a_n
Implied Volatility Newton-Raphson,sigma_{n+1} = sigma_{n} - (C(sigma_{n}) - C_{market}) / vega(sigma_{n}),Numerical Methods,This equation calculates implied volatility using Newton-Raphson. sigma_{n+1} is the updated volatility
Brent's Method,Combines bisection,Numerical Methods, and inverse quadratic interpolation
Gradient Descent,x_{n+1} = x_{n} - alpha * nabla f(x_{n}),Numerical Methods,This equation defines gradient descent for optimization. x_{n+1} represents the next iterate
