title,equation_latex,main_category,notes
Binomial Tree Up Factor,u = e \times xp \t \times im \times es (\t \times ex \times t{s \times ig \times ma} * s \times qr \times t \t \times im \times es (d \times el \times ta \times t)),Numerical Methods,This equation calculates the up factor in a binomial tree. u represents the multiplicative factor for an up move
Binomial Tree Down Factor,d = 1 / u = e \times xp \t \times im \times es (-\t \times ex \times t{s \times ig \times ma} * s \times qr \times t \t \times im \times es (d \times el \times ta \times t)),Numerical Methods,This equation calculates the down factor in a binomial tree. d represents the multiplicative factor for a down move
Binomial Tree Risk-Neutral Probability,p = (e \times xp \t \times im \times es (r * d \times el \times ta \times t) - d) / (u - d),Numerical Methods,This equation calculates the risk-neutral probability of an up move in a binomial tree. p represents the probability
Binomial Tree Option Price,O \times pt \times io \times n = e \times xp \t \times im \times es (-r * d \times el \times ta \times t) * (p * O \times pt \times io \times n_{u \times p} + (1 - p) * O \times pt \times io \times n_{d \times ow \times n}),Numerical Methods,This equation calculates the option price at each node using backward induction. Option represents the discounted expected value under risk-neutral probabilities
Cox-Ross-Rubinstein Parameters,u = e \times xp \t \times im \times es (\t \times ex \times t{s \times ig \times ma} * s \times qr \times t \t \times im \times es (d \times el \times ta \times t)),Numerical Methods, p = 0.5 * (exp(r * delta t) - d) / (u - d)
Jarrow-Rudd Parameters,u = e \times xp \t \times im \times es ((r - 0.5 * \t \times ex \times t{s \times ig \times ma}^{2}) * d \times el \times ta \times t + \t \times ex \times t{s \times ig \times ma} * s \times qr \times t \t \times im \times es (d \times el \times ta \times t)),Numerical Methods, p = 0.5
Trinomial Tree Up Factor,u = e \times xp \t \times im \times es (l \times am \times bd \times a * \t \times ex \times t{s \times ig \times ma} * s \times qr \times t \t \times im \times es (d \times el \times ta \times t)),Numerical Methods,This equation calculates the up factor in a trinomial tree. u represents the multiplicative factor for an up move
Trinomial Tree Down Factor,d = e \times xp \t \times im \times es (-l \times am \times bd \times a * \t \times ex \times t{s \times ig \times ma} * s \times qr \times t \t \times im \times es (d \times el \times ta \times t)),Numerical Methods,This equation calculates the down factor in a trinomial tree. d represents the multiplicative factor for a down move. Trinomial trees have three branches (up
Trinomial Tree Middle Factor,m = 1,Numerical Methods,This equation defines the middle factor in a trinomial tree. m represents the multiplicative factor for no change in the underlying price. The middle branch allows for the possibility of no movement in the underlying asset
Trinomial Tree Probabilities,p_{u} = (a - (b - c)) / (a - c),Numerical Methods, p_d = 1 - p_u - p_m
Finite Difference Explicit Scheme,V_{i,Numerical Methods,j} + b_j * V_{i
Finite Difference Implicit Scheme,a_{j} * V_{i-1,Numerical Methods,j+1} + c_j * V_{i+1
Crank-Nicolson Scheme,0.5 * (a_{j} * V_{i-1,Numerical Methods,j+1} + c_j * V_{i+1
Monte Carlo Option Price,O \times pt \times io \times n = e \times xp \t \times im \times es (-r * T) * (1/N) * s \times um_{i=1}^{N} P \times ay \times of \times f_{i},Numerical Methods,This equation calculates the option price using Monte Carlo simulation. Option represents the discounted average payoff
Monte Carlo Standard Error,S \times E = s \times ig \times ma_{p \times ay \times of \times f} / s \times qr \times t \t \times im \times es (N),Numerical Methods,This equation calculates the standard error of the Monte Carlo estimate. SE represents the standard error
Variance Reduction: Antithetic Variates,V \times ar \t \times im \times es ((X + X')/2) = 0.5 * (V \times ar \t \times im \times es (X) + V \times ar \t \times im \times es (X') + 2 * C \times ov \t \times im \times es (X,Numerical Methods,Numerical Methods - Option Pricing Methods
Variance Reduction: Control Variates,V \times ar \t \times im \times es (X_{c \times v}) = V \times ar \t \times im \times es (X) - 2 * C \times ov \t \times im \times es (X,Numerical Methods, Y)^2 / Var(Y)^2
Quasi-Monte Carlo,E \times rr \times or = O \t \times im \times es ((l \times og \times N)^{d} / N),Numerical Methods,This equation gives the convergence rate of quasi-Monte Carlo methods. The error decreases as O((log N)^d / N) instead of O(1/sqrt(N)) for standard Monte Carlo
Longstaff-Schwartz Algorithm,C \times on \times ti \times nu \times at \times io \times n V \times al \times ue = s \times um_{i=1}^{M} w_{i} * L_{i}(S_{t}),Numerical Methods,This equation defines the continuation value in the Longstaff-Schwartz algorithm for American options. Continuation Value represents the expected value of continuing rather than exercising
Least Squares Monte Carlo,L \times SM = a \times rg \times mi \times n_{b} s \times um_{i=1}^{M} (D \times is \times co \times un \times te \times d P \times ay \times of \times f_{i} - s \times um_{j=1}^{K} b_{j} * L_{j}(S_{t_{i}}))^{2},Numerical Methods,This equation defines the least squares problem in LSM. LSM estimates the coefficients b_j to minimize the squared error between discounted payoffs and basis function values. LSM is the standard method for pricing American options with Monte Carlo.
Newton-Raphson Method,x_{n+1} = x_{n} - f \t \times im \times es (x_{n}) / f'(x_{n}),Numerical Methods,This equation defines the Newton-Raphson method for root finding. x_{n+1} represents the next approximation
Bisection Method,x_{n+1} = (a_{n} + b_{n}) / 2,Numerical Methods,This equation defines the bisection method for root finding. x_{n+1} is the midpoint of the interval [a_n
Implied Volatility Newton-Raphson,s \times ig \times ma_{n+1} = s \times ig \times ma_{n} - (C \t \times im \times es (s \times ig \times ma_{n}) - C_{m \times ar \times ke \times t}) / v \times eg \times a \t \times im \times es (s \times ig \times ma_{n}),Numerical Methods,This equation calculates implied volatility using Newton-Raphson. sigma_{n+1} is the updated volatility
Brent's Method,C \times om \times bi \times ne \times s b \times is \times ec \times ti \times on,Numerical Methods, and inverse quadratic interpolation
Gradient Descent,x_{n+1} = x_{n} - a \times lp \times ha * n \times ab \times la \times f \t \times im \times es (x_{n}),Numerical Methods,This equation defines gradient descent for optimization. x_{n+1} represents the next iterate
Stochastic Gradient Descent,x_{n+1} = x_{n} - a \times lp \times ha_{n} * n \times ab \times la \times f_{i}(x_{n}),Numerical Methods,This equation defines SGD for optimization with large datasets. x_{n+1} represents the next iterate
Levenberg-Marquardt Algorithm,(J^{T} * J + l \times am \times bd \times a * d \times ia \times g \t \times im \times es (J^{T} * J)) * d \times el \times ta = J^{T} * (y - f \t \times im \times es (x)),Numerical Methods,This equation defines the Levenberg-Marquardt algorithm for nonlinear least squares. J is the Jacobian
Calibration Objective Function,m \times in_{t \times he \times ta} s \times um_{i=1}^{N} w_{i} * (M \times od \times el \times Pr \times ic \times e_{i}(t \times he \times ta) - M \times ar \times ke \times t P \times ri \times ce_{i})^{2},Numerical Methods,This equation defines the calibration objective function. The goal is to find model parameters theta that minimize the weighted sum of squared errors between model prices and market prices. Calibration is essential for making models match market data.
Model Risk,M \times R = |M \times od \times el \times Pr \times ic \times e - M \times ar \times ke \times t P \times ri \times ce| / M \times ar \times ke \times t P \times ri \times ce,Numerical Methods,This equation calculates model risk as the percentage error between model and market prices. MR represents the model risk
Backtesting,H \times it \times Ra \times ti \times o = (N \times um \times be \times r o \times f C \times or \times re \times ct \times Pr \times ed \times ic \times ti \times on \times s) / (T \times ot \times al \times Pr \times ed \times ic \times ti \times on \times s),Numerical Methods,This equation calculates the hit ratio for backtesting a model. Hit Ratio represents the proportion of correct predictions. Backtesting validates model performance on historical data and is essential for model validation.
Kupiec Test,L \times R = -2 * l \times n \t \times im \times es ((1 - a \times lp \times ha)^{N - x} * a \times lp \times ha^{x} / ((1 - p)^{N - x} * p^{x})),Numerical Methods,This equation defines the Kupiec test for VaR model validation. LR is the likelihood ratio statistic
Christoffersen Test,L \times R_{c \times c} = L \times R_{u \times c} + L \times R_{i \times nd},Numerical Methods,This equation defines the Christoffersen test for VaR model validation. LR_cc is the combined likelihood ratio
Bootstrap Method,t \times he \times ta* = f \t \times im \times es (X*) w \times he \times re \times X* i \times s a \times bo \times ot \times st \times ra \times p s \times am \times pl \times e,Numerical Methods,This equation defines the bootstrap method for estimating confidence intervals. theta* is the statistic calculated from the bootstrap sample X*
Jackknife Method,t \times he \times ta_{j \times ac \times kk \times ni \times fe} = (1/N) * s \times um_{i=1}^{N} t \times he \times ta_{(-i)},Numerical Methods,This equation defines the jackknife method for bias and variance estimation. theta_jackknife is the jackknife estimate
Cross-Validation,C \times V = (1/K) * s \times um_{k=1}^{K} M \times SE_{k},Numerical Methods,This equation defines K-fold cross-validation. CV represents the cross-validation error
Regularization,L2 = l \times am \times bd \times a * ||t \times he \times ta||^{2},Numerical Methods,Numerical Methods - Optimization Techniques
Akaike Information Criterion,A \times IC = 2 \t \times im \times es \times k - 2 * l \times n \t \times im \times es (L),Numerical Methods,This equation defines the AIC for model selection. AIC represents the Akaike Information Criterion
Bayesian Information Criterion,B \times IC = k * l \times n \t \times im \times es (N) - 2 * l \times n \t \times im \times es (L),Numerical Methods,This equation defines the BIC for model selection. BIC represents the Bayesian Information Criterion
Maximum Likelihood Estimation,t \times he \times ta_{M \times LE} = a \times rg \times ma \times x_{t \times he \times ta} L \t \times im \times es (t \times he \times ta | X),Numerical Methods,This equation defines MLE. theta_MLE represents the parameter values that maximize the likelihood L(theta | X) given data X. MLE is a fundamental method for parameter estimation in statistical models.
Method of Moments,t \times he \times ta_{M \times M} s \times ol \times ve \times s E[X | t \times he \times ta] = s \times am \times pl \times e_{m \times ea \times n}(X),Numerical Methods,This equation defines the method of moments. theta_MM represents parameters that match theoretical moments to sample moments. Method of moments is simpler than MLE but less efficient for many models.
Expectation-Maximization,E-s \times te \times p: Q \t \times im \times es (t \times he \times ta | t \times he \times ta^{(t)}) = E[l \times og \times L \t \times im \times es (t \times he \times ta | X,Numerical Methods, theta^{(t)}]
Kalman Filter,P \times re \times di \times ct: x_{t|t-1} = F * x_{t-1|t-1},Numerical Methods,Numerical Methods - Optimization Techniques
Particle Filter,w \times ei \times gh \times ts_{i} p \times ro \times po \times rt \times io \times na \times l t \times o l \times ik \times el \times ih \times oo \times d \t \times im \times es (y_{t} | x_{t}^{(i)}),Numerical Methods,This equation defines the particle filter (sequential Monte Carlo) for state estimation. weights_i are the importance weights for particle i
Greeks by Finite Differences,\t \times ex \times t{D \times el \times ta} = (f \t \times im \times es (S + d \times el \times ta \times S) - f \t \times im \times es (S - d \times el \times ta \times S)) / (2 * d \times el \times ta \times S),Numerical Methods,This equation calculates Delta using central finite differences. Delta represents the sensitivity of the option price to the underlying price. Finite differences are used when analytical Greeks are not available. Central differences are more accurate than forward/backward differences.
Gamma by Finite Differences,\t \times ex \times t{G \times am \times ma} = (f \t \times im \times es (S + d \times el \times ta \times S) - 2 * f \t \times im \times es (S) + f \t \times im \times es (S - d \times el \times ta \times S)) / (d \times el \times ta \times S)^{2},Numerical Methods,This equation calculates Gamma using finite differences. Gamma represents the second derivative of the option price with respect to the underlying price. Finite difference Gamma requires three option price evaluations.
Vega by Finite Differences,\t \times ex \times t{V \times eg \times a} = (f \t \times im \times es (S,Numerical Methods, sigma - delta sigma)) / (2 * delta sigma)
Adaptive Mesh Refinement,R \times ef \times in \times e g \times ri \times d w \times he \times re \times so \times lu \times ti \times on \times ch \times an \times ge \times s r \times ap \times id \times ly,Numerical Methods,This technique refines the finite difference grid in regions where the solution has high gradients (e.g.
Operator Splitting,S \times pl \times it \times PD \times E i \times nt \times o s \times im \times pl \times er \times su \times b-p \times ro \times bl \times em \times s,Numerical Methods,This technique splits a complex PDE into simpler sub-problems that can be solved sequentially. Operator splitting is used for multi-dimensional PDEs and PDEs with mixed derivatives
Spectral Methods,E \times xp \times an \times d s \times ol \times ut \times io \times n i \times n b \times as \times is \times fu \times nc \times ti \times on \times s,Numerical Methods,This approach expands the solution in a basis of orthogonal functions (e.g.
