title,equation_latex,main_category,notes
Historical Volatility,sigma_hist = sqrt((1/(n-1)) * sum_{i=1}^n (ln(S_i/S_{i-1}) - mu)^2),Advanced Topics,This equation calculates historical volatility from price data. sigma_hist represents the historical volatility
Exponentially Weighted Moving Average,sigma_EWMA^2 = lambda * sigma_{t-1}^2 + (1 - lambda) * r_t^2,Advanced Topics,This equation defines the EWMA volatility model. sigma_EWMA represents the EWMA volatility estimate
GARCH(1,1) Model,Advanced Topics,Advanced Topics - Volatility Modeling
GARCH(p,q) Model,Advanced Topics,Advanced Topics - Volatility Modeling
EGARCH Model,ln(sigma_t^2) = omega + alpha * (|epsilon_{t-1}| / sigma_{t-1} - sqrt(2/pi)) + gamma * (epsilon_{t-1} / sigma_{t-1}) + beta * ln(sigma_{t-1}^2),Advanced Topics,This equation defines the EGARCH model
GJR-GARCH Model,sigma_t^2 = omega + alpha * epsilon_{t-1}^2 + gamma * epsilon_{t-1}^2 * I(epsilon_{t-1} < 0) + beta * sigma_{t-1}^2,Advanced Topics,This equation defines the GJR-GARCH model
Stochastic Volatility Model,dS_t = mu * S_t * dt + sqrt(v_t) * S_t * dW_t^S,Advanced Topics,Advanced Topics - Volatility Modeling
Heston Correlation,E[dW_t^S * dW_t^v] = rho * dt,Advanced Topics,This equation defines the correlation between asset price and volatility shocks in the Heston model. rho represents the correlation coefficient
Heston Characteristic Function,phi(u,Advanced Topics,Advanced Topics - Volatility Modeling
SABR Model,dF_t = alpha_t * F_t^beta * dW_t^F,Advanced Topics,Advanced Topics - Volatility Modeling
SABR Implied Volatility,sigma_BSM(K) = (alpha / (F^{1-beta})) * (z / x(z)) * (1 + ((1-beta)^2 * alpha^2 / (24 * F^{2-2beta}) + rho * beta * nu * alpha / (4 * F^{1-beta}) + (2 - 3 * rho^2) * nu^2 / 24) * T),Advanced Topics,This equation gives the implied volatility under the SABR model. sigma_BSM represents the Black-Scholes implied volatility
Local Volatility Model,sigma_loc(K,Advanced Topics, T) * sqrt(1 + 2 * r * T / (K * sigma_BS(K
Dupire Formula,sigma_loc(K,Advanced Topics,Advanced Topics - Volatility Modeling
Poisson Process,N_t ~ Poisson(lambda * t),Advanced Topics,This equation defines the Poisson process for jump arrivals. N_t represents the number of jumps by time t
Poisson Process Probability,P(N_t = n) = exp(-lambda * t) * (lambda * t)^n / n!,Advanced Topics,This equation gives the probability of n jumps occurring by time t. The Poisson distribution has mean lambda * t and variance lambda * t. The Poisson process is the standard model for discrete events like defaults or jumps in asset prices.
Compound Poisson Process,X_t = sum_{i=1}^{N_t} Y_i,Advanced Topics,This equation defines the compound Poisson process. X_t represents the accumulated jump size
Jump-Diffusion Model,dS_t = mu * S_t * dt + sigma * S_t * dW_t + S_t * dJ_t,Advanced Topics,This equation defines the Merton jump-diffusion model. dS_t is the asset price change
Jump Component,dJ_t = (exp(Y) - 1) * dN_t,Advanced Topics,This equation defines the jump component in the jump-diffusion model. Y is the log jump size (typically normal)
Merton Jump-Diffusion Solution,S_t = S_0 * exp((mu - 0.5 * sigma^2 - lambda * (exp(mu_J + 0.5 * sigma_J^2) - 1)) * t + sigma * W_t + sum_{i=1}^{N_t} Y_i),Advanced Topics,This equation gives the solution to the Merton jump-diffusion SDE. S_t represents the asset price
