title,equation_latex,main_category,notes
Historical Volatility,sigma_{hist} = sqrt((1/(n-1)) \times sum_{i=1}^{n} (ln(S_{i}/S_{i-1}) - \text{mu})^{2}),Advanced Topics,This equation calculates historical volatility from price data. sigma_hist represents the historical volatility
Exponentially Weighted Moving Average,sigma_{EWMA}^{2} = lambda \times sigma_{t-1}^{2} + (1 - lambda) \times r_{t}^{2},Advanced Topics,This equation defines the EWMA volatility model. sigma_EWMA represents the EWMA volatility estimate
GARCH(1,1) Model,Advanced Topics,Advanced Topics - Volatility Modeling
GARCH(p,q) Model,Advanced Topics,Advanced Topics - Volatility Modeling
EGARCH Model,ln(sigma_{t}^{2}) = \text{omega} + alpha \times (|epsilon_{t-1}| / sigma_{t-1} - sqrt(2/pi)) + gamma \times (epsilon_{t-1} / sigma_{t-1}) + beta \times ln(sigma_{t-1}^{2}),Advanced Topics,This equation defines the EGARCH model
GJR-GARCH Model,sigma_{t}^{2} = \text{omega} + alpha \times epsilon_{t-1}^{2} + gamma \times epsilon_{t-1}^{2} \times I \times (epsilon_{t-1} < 0) + beta \times sigma_{t-1}^{2},Advanced Topics,This equation defines the GJR-GARCH model
Stochastic Volatility Model,dS_{t} = \text{mu} \times S_{t} \times dt + sqrt(v_{t}) \times S_{t} \times dW_{t}^{S},Advanced Topics,Advanced Topics - Volatility Modeling
Heston Correlation,E[dW_{t}^{S} \times dW_{t}^{v}] = rho \times dt,Advanced Topics,This equation defines the correlation between asset price and volatility shocks in the Heston model. rho represents the correlation coefficient
Heston Characteristic Function,phi(u,Advanced Topics,Advanced Topics - Volatility Modeling
SABR Model,dF_{t} = alpha_{t} \times F_{t}^{b}eta \times dW_{t}^{F},Advanced Topics,Advanced Topics - Volatility Modeling
SABR Implied Volatility,sigma_{BSM}(K) = (alpha / (F^{1-beta})) \times (z / x \times (z)) \times (1 + ((1-beta)^{2} \times alpha^{2} / (24 \times F^{2-2beta}) + rho \times beta \times nu \times alpha / (4 \times F^{1-beta}) + (2 - 3 \times rho^{2}) \times nu^{2} / 24) \times T),Advanced Topics,This equation gives the implied volatility under the SABR model. sigma_BSM represents the Black-Scholes implied volatility
Local Volatility Model,sigma_{loc}(K,Advanced Topics, T) * sqrt(1 + 2 * r * T / (K * sigma_BS(K
Dupire Formula,sigma_{loc}(K,Advanced Topics,Advanced Topics - Volatility Modeling
Poisson Process,N_{t} ~ Poisson(lambda \times t),Advanced Topics,This equation defines the Poisson process for jump arrivals. N_t represents the number of jumps by time t
Poisson Process Probability,P \times (N_{t} = n) = exp(-lambda \times t) \times (lambda \times t)^{n} / n!,Advanced Topics,This equation gives the probability of n jumps occurring by time t. The Poisson distribution has mean lambda * t and variance lambda * t. The Poisson process is the standard model for discrete events like defaults or jumps in asset prices.
Compound Poisson Process,X_{t} = sum_{i=1}^{N_{t}} Y_{i},Advanced Topics,This equation defines the compound Poisson process. X_t represents the accumulated jump size
Jump-Diffusion Model,dS_{t} = \text{mu} \times S_{t} \times dt + \text{sigma} \times S_{t} \times dW_{t} + S_{t} \times dJ_{t},Advanced Topics,This equation defines the Merton jump-diffusion model. dS_t is the asset price change
Jump Component,dJ_{t} = (exp(Y) - 1) \times dN_{t},Advanced Topics,This equation defines the jump component in the jump-diffusion model. Y is the log jump size (typically normal)
Merton Jump-Diffusion Solution,S_{t} = S_{0} \times exp((\text{mu} - 0.5 \times \text{sigma}^{2} - lambda \times (exp(mu_{J} + 0.5 \times sigma_{J}^{2}) - 1)) \times t + \text{sigma} \times W_{t} + sum_{i=1}^{N_{t}} Y_{i}),Advanced Topics,This equation gives the solution to the Merton jump-diffusion SDE. S_t represents the asset price
Kou Double Exponential Jump Model,Y_{i} ~ p \times exp(-eta_{1}) + (1 - p) \times exp(-eta_{2}),Advanced Topics,This equation defines the Kou double exponential jump size distribution. Y_i represents the log jump size
Variance Gamma Process,X_{t} = theta \times G_{t} + \text{sigma} \times W_{G_{t}},Advanced Topics,This equation defines the Variance Gamma (VG) process. X_t represents the log return
