title,equation_latex,main_category,notes
Historical Volatility,s \times ig \times ma_{h \times is \times t} = s \times qr \times t \t \times im \times es ((1/(n-1)) * s \times um_{i=1}^{n} (l \times n \t \times im \times es (S_{i}/S_{i-1}) - \t \times ex \times t{m \times u})^{2}),Advanced Topics,This equation calculates historical volatility from price data. sigma_hist represents the historical volatility
Exponentially Weighted Moving Average,s \times ig \times ma_{E \times WM \times A}^{2} = l \times am \times bd \times a * s \times ig \times ma_{t-1}^{2} + (1 - l \times am \times bd \times a) * r_{t}^{2},Advanced Topics,This equation defines the EWMA volatility model. sigma_EWMA represents the EWMA volatility estimate
GARCH(1,1) M \times od \times el,Advanced Topics,Advanced Topics - Volatility Modeling
GARCH(p,q) M \times od \times el,Advanced Topics,Advanced Topics - Volatility Modeling
EGARCH Model,l \times n \t \times im \times es (s \times ig \times ma_{t}^{2}) = \t \times ex \times t{o \times me \times ga} + a \times lp \times ha * (|e \times ps \times il \times on_{t-1}| / s \times ig \times ma_{t-1} - s \times qr \times t \t \times im \times es (2/p \times i)) + g \times am \times ma * (e \times ps \times il \times on_{t-1} / s \times ig \times ma_{t-1}) + b \times et \times a * l \times n \t \times im \times es (s \times ig \times ma_{t-1}^{2}),Advanced Topics,This equation defines the EGARCH model
GJR-GARCH Model,s \times ig \times ma_{t}^{2} = \t \times ex \times t{o \times me \times ga} + a \times lp \times ha * e \times ps \times il \times on_{t-1}^{2} + g \times am \times ma * e \times ps \times il \times on_{t-1}^{2} * I \t \times im \times es (e \times ps \times il \times on_{t-1} < 0) + b \times et \times a * s \times ig \times ma_{t-1}^{2},Advanced Topics,This equation defines the GJR-GARCH model
Stochastic Volatility Model,d \times S_{t} = \t \times ex \times t{m \times u} * S_{t} * d \times t + s \times qr \times t \t \times im \times es (v_{t}) * S_{t} * d \times W_{t}^{S},Advanced Topics,Advanced Topics - Volatility Modeling
Heston Correlation,E[d \times W_{t}^{S} * d \times W_{t}^{v}] = r \times ho * d \times t,Advanced Topics,This equation defines the correlation between asset price and volatility shocks in the Heston model. rho represents the correlation coefficient
Heston Characteristic Function,p \times hi \t \times im \times es (u,Advanced Topics,Advanced Topics - Volatility Modeling
SABR Model,d \times F_{t} = a \times lp \times ha_{t} * F_{t}^{b}e \times ta * d \times W_{t}^{F},Advanced Topics,Advanced Topics - Volatility Modeling
SABR Implied Volatility,s \times ig \times ma_{B \times SM}(K) = (a \times lp \times ha / (F^{1-b \times et \times a})) * (z / x \t \times im \times es (z)) * (1 + ((1-b \times et \times a)^{2} * a \times lp \times ha^{2} / (24 * F^{2-2 \t \times im \times es \times be \times ta}) + r \times ho * b \times et \times a * n \times u * a \times lp \times ha / (4 * F^{1-b \times et \times a}) + (2 - 3 * r \times ho^{2}) * n \times u^{2} / 24) * T),Advanced Topics,This equation gives the implied volatility under the SABR model. sigma_BSM represents the Black-Scholes implied volatility
Local Volatility Model,s \times ig \times ma_{l \times oc}(K,Advanced Topics, T) * sqrt(1 + 2 * r * T / (K * sigma_BS(K
Dupire Formula,s \times ig \times ma_{l \times oc}(K,Advanced Topics,Advanced Topics - Volatility Modeling
Poisson Process,N_{t} ~ P \times oi \times ss \times on \t \times im \times es (l \times am \times bd \times a * t),Advanced Topics,This equation defines the Poisson process for jump arrivals. N_t represents the number of jumps by time t
Poisson Process Probability,P \t \times im \times es (N_{t} = n) = e \times xp \t \times im \times es (-l \times am \times bd \times a * t) * (l \times am \times bd \times a * t)^{n} / n!,Advanced Topics,This equation gives the probability of n jumps occurring by time t. The Poisson distribution has mean lambda * t and variance lambda * t. The Poisson process is the standard model for discrete events like defaults or jumps in asset prices.
Compound Poisson Process,X_{t} = s \times um_{i=1}^{N_{t}} Y_{i},Advanced Topics,This equation defines the compound Poisson process. X_t represents the accumulated jump size
Jump-Diffusion Model,d \times S_{t} = \t \times ex \times t{m \times u} * S_{t} * d \times t + \t \times ex \times t{s \times ig \times ma} * S_{t} * d \times W_{t} + S_{t} * d \times J_{t},Advanced Topics,This equation defines the Merton jump-diffusion model. dS_t is the asset price change
Jump Component,d \times J_{t} = (e \times xp \t \times im \times es (Y) - 1) * d \times N_{t},Advanced Topics,This equation defines the jump component in the jump-diffusion model. Y is the log jump size (typically normal)
