title,equation_latex,main_category,notes
Capitalization Rate,\text{C} \times ap R \times at \times e = N \times OI / \text{P} \times ro \times pe \times rt \times y \text{V} \times al \times ue,Alternative Investments - Real Estate,"This equation calculates the capitalization rate for real estate. Cap Rate represents the initial yield on a property, NOI is net operating income, and Property Value is the purchase price or market value. Cap rate is used to compare different properties and determine if an investment is attractive based on current income."
Net Operating Income,N \times OI = \text{E} \times ff \times ec \times ti \times ve \text{G} \times ro \times ss \text{I} \times nc \times om \times e - O \times pe \times ra \times ti \times ng \text{E} \times xp \times en \times se \times s,Alternative Investments - Real Estate,This equation calculates net operating income for real estate. NOI represents the income generated by a property after operating expenses but before debt service and taxes. Effective Gross Income includes rent and other income minus vacancy and collection losses.
Effective Gross Income,\text{E} \times GI = \text{P} \times ot \times en \times ti \times al \text{G} \times ro \times ss \text{I} \times nc \times om \times e - \text{V} \times ac \times an \times cy a \times nd \text{C} \times ol \times le \times ct \times io \times n L \times os \times se \times s,Alternative Investments - Real Estate,This equation calculates effective gross income for real estate. EGI represents the actual income collected from tenants after accounting for vacancy and collection losses. Potential Gross Income is the income if all units were occupied at full rent.
Gross Rent Multiplier,\text{G} \times RM = \text{P} \times ro \times pe \times rt \times y \text{P} \times ri \times ce / A \times nn \times ua \times l \text{G} \times ro \times ss R \times en \times t,Alternative Investments - Real Estate,"This equation calculates the gross rent multiplier for real estate. GRM represents how many years of gross rent would be needed to pay for the property. A lower GRM indicates a potentially better investment, though this is a rough metric that doesn't account for expenses."
Cash-on-Cash Return,\text{C} \times oC = A \times nn \times ua \times l \text{C} \times as \times h \text{F} \times lo \times w / \text{T} \times ot \times al \text{C} \times as \times h \text{I} \times nv \times es \times te \times d,Alternative Investments - Real Estate,"This equation calculates cash-on-cash return for real estate. CoC represents the annual return on the actual cash invested, Annual Cash Flow is after all expenses and debt service, and Total Cash Invested includes down payment and closing costs."
Capital Recovery Factor,\text{C} \times RF = r * (1 + r)^{n} / ((1 + r)^{n} - 1),Alternative Investments - Real Estate,"This equation calculates the capital recovery factor for mortgage amortization. CRF represents the mortgage payment as a percentage of the loan amount, r is the periodic interest rate, and n is the number of periods. This factor is used in real estate finance calculations."
Vacancy Rate,\text{V} \times ac \times an \times cy R \times at \times e = \text{V} \times ac \times an \times t U \times ni \times ts / \text{T} \times ot \times al U \times ni \times ts,Alternative Investments - Real Estate,"This equation calculates the vacancy rate for a property. Vacancy Rate represents the percentage of units that are unoccupied, Vacant Units is the count of empty units, and Total Units is the total number of units. Vacancy impacts effective gross income and NOI."
Debt Service Coverage Ratio,D \times SC \times R = N \times OI / A \times nn \times ua \times l D \times eb \times t \text{S} \times er \times vi \times ce,Alternative Investments - Real Estate,"This equation calculates the debt service coverage ratio. DSCR represents the ability to cover debt obligations from operating income, NOI is net operating income, and Annual Debt Service is the total principal and interest payments. Lenders typically require DSCR > 1.2."
Loan-to-Value Ratio,L \times \text{TV} = L \times oa \times n A \times mo \times un \times t / \text{P} \times ro \times pe \times rt \times y \text{V} \times al \times ue,Alternative Investments - Real Estate,"This equation calculates the loan-to-value ratio. LTV represents the percentage of the property value financed by debt, Loan Amount is the mortgage principal, and Property Value is the purchase price or appraisal. LTV affects interest rates and loan eligibility."
Internal Rate of Return (Real Estate),0 = \sum_{t=0}^{n} \frac{\text{CF}_{t}}{\left(1 + \text{IRR}\right)^{t}},Alternative Investments - Real Estate,"This equation calculates IRR for real estate investments. IRR represents the annualized return accounting for all cash flows including operating income, capital expenditures, refinancing, and sale. Real estate IRR typically targets 10-15%."
Multiple on Invested Capital,\text{M} \times OI \times \text{C} = \text{T} \times ot \times al D \times is \times tr \times ib \times ut \times io \times ns / \text{T} \times ot \times al \text{E} \times qu \times it \times y \text{I} \times nv \times es \times te \times d,Alternative Investments - Private Equity,"This equation calculates the multiple on invested capital. MOIC represents the total return as a multiple of the initial investment, Total Distributions include all cash flows to investors, and Total Equity Invested is the total capital called. MOIC is commonly reported by private equity firms."
Public Market Equivalent,L \times PM \times \text{E} = s \times um_{t=1}^{n} \text{C} \times F_{t} * (1 + r_{b}e \times nc \times hm \times ar \times k)^{\text{T}}-t / \text{I} \times ni \times ti \times al \text{I} \times nv \times es \times tm \times en \times t,Alternative Investments - Private Equity,"This equation calculates the public market equivalent. LPME represents the multiple achieved relative to a public market benchmark, CF_t are distributions, r_benchmark is the benchmark return, and Initial Investment is the capital deployed. This compares PE performance to public markets."
Limited Partner Commitment,L \times \text{P} \text{C} \times om \times mi \times tm \times en \times t = \text{F} \times un \times d \text{S} \times iz \times e * L \times \text{P} \text{P} \times er \times ce \times nt \times ag \times e,Alternative Investments - Private Equity,"This equation calculates the commitment from limited partners. LP Commitment represents the capital pledged by LPs to the fund, Fund Size is the total target capital, and LP Percentage is the LP's ownership percentage. LPs commit capital that is drawn down over time."
General Partner Carried Interest,\text{G} \times \text{P} \text{C} \times ar \times ri \times ed \text{I} \times nt \times er \times es \times t = 20% * (\text{T} \times ot \times al D \times is \times tr \times ib \times ut \times io \times ns - R \times et \times ur \times n o \times f \text{C} \times ap \times it \times al),Alternative Investments - Private Equity,"This equation calculates the general partner carried interest. GP Carried Interest represents the profit share for the GP, which is typically 20% of profits after LPs receive their return of capital. This aligns GP and LP incentives. This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity. The mathematical formulation captures how capital compounds over time, forming the foundation for all discounted cash flow analysis."
Catch-Up Provision,L \times \text{P} r \times ec \times ei \times ve \times s 80% u \times nt \times il L \times \text{P} R \times et \times ur \times n o \times f \text{C} \times ap \times it \times al,Alternative Investments - Private Equity,"This equation describes the catch-up provision in PE compensation. After the catch-up, the GP receives a higher percentage (typically 40-50%) until the preferred return is met. This accelerates GP compensation after LPs recover their investment."
Preferred Return,L \times \text{P} \text{P} \times re \times fe \times rr \times ed R \times et \times ur \times n = \text{I} \times ni \times ti \times al \text{I} \times nv \times es \times tm \times en \times t * \text{P} \times re \times fe \times rr \times ed R \times at \times e * \text{T} \times im \times e,Alternative Investments - Private Equity,"This equation calculates the preferred return for LPs. LP Preferred Return represents the return that must be paid to LPs before the GP participates in profits, typically 8% annually. This is a key term in PE partnership agreements."
Management Fee,\text{M} \times an \times ag \times em \times en \times t \text{F} \times ee = \text{F} \times un \times d \text{S} \times iz \times e * \text{F} \times ee R \times at \times e,Alternative Investments - Private Equity,"This equation calculates the annual management fee. Management Fee represents the fee paid to the GP for managing the fund, typically 1.5-2% of committed capital in early years and 0.5-1% of invested capital in later years."
