title,equation_latex,main_category,notes
Capitalization Rate,C \times ap \times Ra \times te = __A \times BB \times R0__ / P \times ro \times pe \times rt \times y V \times al \times ue,Alternative Investments - Real Estate,"This equation calculates the capitalization rate for real estate. Cap Rate represents the initial yield on a property, NOI is net operating income, and Property Value is the purchase price or market value. Cap rate is used to compare different properties and determine if an investment is attractive based on current income."
Net Operating Income,__A \times BB \times R0__ = E \times ff \times ec \times ti \times ve \times Gr \times os \times s I \times nc \times om \times e - O \times pe \times ra \times ti \times ng \times Ex \times pe \times ns \times es,Alternative Investments - Real Estate,This equation calculates net operating income for real estate. NOI represents the income generated by a property after operating expenses but before debt service and taxes. Effective Gross Income includes rent and other income minus vacancy and collection losses.
Effective Gross Income,__A \times BB \times R0__ = P \times ot \times en \times ti \times al \times Gr \times os \times s I \times nc \times om \times e - V \times ac \times an \times cy \times an \times d C \times ol \times le \times ct \times io \times n L \times os \times se \times s,Alternative Investments - Real Estate,This equation calculates effective gross income for real estate. EGI represents the actual income collected from tenants after accounting for vacancy and collection losses. Potential Gross Income is the income if all units were occupied at full rent.
Gross Rent Multiplier,__A \times BB \times R0__ = P \times ro \times pe \times rt \times y P \times ri \times ce / A \times nn \times ua \times l G \times ro \times ss \times Re \times nt,Alternative Investments - Real Estate,"This equation calculates the gross rent multiplier for real estate. GRM represents how many years of gross rent would be needed to pay for the property. A lower GRM indicates a potentially better investment, though this is a rough metric that doesn't account for expenses."
Cash-on-Cash Return,__A \times BB \times R0__ = A \times nn \times ua \times l C \times as \times h F \times lo \times w / T \times ot \times al \times Ca \times sh \times In \times ve \times st \times ed,Alternative Investments - Real Estate,"This equation calculates cash-on-cash return for real estate. CoC represents the annual return on the actual cash invested, Annual Cash Flow is after all expenses and debt service, and Total Cash Invested includes down payment and closing costs."
Capital Recovery Factor,__A \times BB \times R0__ = r * (1 + r)^{n} / ((1 + r)^{n} - 1),Alternative Investments - Real Estate,"This equation calculates the capital recovery factor for mortgage amortization. CRF represents the mortgage payment as a percentage of the loan amount, r is the periodic interest rate, and n is the number of periods. This factor is used in real estate finance calculations."
Vacancy Rate,V \times ac \times an \times cy \times Ra \times te = V \times ac \times an \times t U \times ni \times ts / T \times ot \times al \times Un \times it \times s,Alternative Investments - Real Estate,"This equation calculates the vacancy rate for a property. Vacancy Rate represents the percentage of units that are unoccupied, Vacant Units is the count of empty units, and Total Units is the total number of units. Vacancy impacts effective gross income and NOI."
Debt Service Coverage Ratio,__A \times BB \times R0__ = __A \times BB \times R1__ / A \times nn \times ua \times l D \times eb \times t S \times er \times vi \times ce,Alternative Investments - Real Estate,"This equation calculates the debt service coverage ratio. DSCR represents the ability to cover debt obligations from operating income, NOI is net operating income, and Annual Debt Service is the total principal and interest payments. Lenders typically require DSCR > 1.2."
Loan-to-Value Ratio,__A \times BB \times R0__ = L \times oa \times n A \times mo \times un \times t / P \times ro \times pe \times rt \times y V \times al \times ue,Alternative Investments - Real Estate,"This equation calculates the loan-to-value ratio. LTV represents the percentage of the property value financed by debt, Loan Amount is the mortgage principal, and Property Value is the purchase price or appraisal. LTV affects interest rates and loan eligibility."
Internal Rate of Return (Real Estate),0 = s \times um_{t=1}^{n} C \times F_{t} / (1 + __A \times BB \times R0__)^{t} - I \times ni \times ti \times al \times In \times ve \times st \times me \times nt,Alternative Investments - Real Estate,"This equation calculates IRR for real estate investments. IRR represents the annualized return accounting for all cash flows including operating income, capital expenditures, refinancing, and sale. Real estate IRR typically targets 10-15%. IRR can have multiple solutions for unconventional cash flows."
