title,equation_latex,main_category,notes
Duration Measures (Complete System),D_{mac} = \frac{\sum_{t=1}^n t \cdot CF_{t} / (1 + y)^t}{P}; D_{mod} = \frac{D_{mac}}{1 + y} = -\frac{1}{P} \frac{\partial P}{\partial y}; D_{eff} = -\frac{P_{-} - P_{+}}{2 \cdot P \cdot dy}; KRD_{i} = -\frac{P(y + dy_{i}) - P(y - dy_{i})}{2 \cdot P \cdot dy_{i}}; D_{port} = \sum_{i=1}^n w_{i} \cdot D_{i}; D_{spread} = -\frac{P(y + dy + ds) - P(y + dy - ds)}{2 \cdot P \cdot ds}; D_{mac}^{ZC} = T; D_{mac}^{perp} = \frac{1 + y}{y},Fixed Income Securities,This comprehensive system defines all major duration measures used in fixed income analysis. Macaulay duration measures weighted average time to receive cash flows. Modified duration measures price sensitivity to yield changes. Effective duration accounts for embedded options. Key rate duration measures sensitivity to specific maturity points. Portfolio duration is the weighted average of component durations. Spread duration measures sensitivity to credit spread changes. Special cases include zero-coupon bonds (duration equals maturity) and perpetuities. Duration is the first derivative of price with respect to yield and is essential for immunization strategies.
Convexity Measures (Complete System),Conv = \frac{1}{P} \sum_{t=1}^n \frac{t(t+1) \cdot CF_{t}}{(1 + y)^{t+2}} = \frac{1}{P} \frac{\partial^2 P}{\partial y^2}; Conv_{eff} = \frac{P_{+} + P_{-} - 2P}{P \cdot dy^{2}}; DC = Conv \cdot P; Conv_{port} = \sum_{i=1}^n w_{i} \cdot Conv_{i}; Conv^{ZC} = \frac{T(T+1)}{(1 + y)^{2}}; Conv^{perp} = \frac{2(1 + y)}{y^{2}},Fixed Income Securities,"This system defines all major convexity measures. Convexity measures the curvature of the price-yield relationship and is the second derivative of price with respect to yield. Effective convexity accounts for embedded options and path dependence. Dollar convexity measures the absolute price change due to convexity. Portfolio convexity is the weighted average of component convexities. Convexity is always positive for bonds without embedded options, providing a benefit in volatile yield environments. Higher convexity provides greater protection against large yield changes. Special cases include zero-coupon bonds and perpetuities."
Black-Scholes-Merton Complete System,C = S_{0} \cdot N(d_{1}) - K \cdot e^{-rT} \cdot N(d_{2}); P = K \cdot e^{-rT} \cdot N(-d_{2}) - S_{0} \cdot N(-d_{1}); d_{1} = \frac{\ln(S_{0}/K) + (r + \sigma^{2}/2) \cdot T}{\sigma \sqrt{T}}; d_{2} = d_{1} - \sigma \sqrt{T}; C_{div} = S_{0} e^{-qT} N(d_{1}) - K e^{-rT} N(d_{2}); d_{1}^{div} = \frac{\ln(S_{0}/K) + (r - q + \sigma^{2}/2) \cdot T}{\sigma \sqrt{T}}; C - P = S_{0} - K e^{-rT},Equity Derivatives,"The Black-Scholes-Merton model is the foundation of modern derivatives pricing. It provides closed-form solutions for European options on non-dividend paying stocks. The model assumes constant volatility, risk-free rate, and lognormal asset prices. The d1 and d2 terms measure the moneyness and risk-neutral probability of exercise. The dividend version adjusts for continuous dividend yield. Put-call parity ensures no arbitrage between calls and puts. The model revolutionized quantitative finance and earned the Nobel Prize. Limitations include constant volatility assumption and inability to price American options or options with path-dependent payoffs."
Option Greeks (Complete System),\Delta_{C} = N(d_{1}); \Delta_{P} = N(d_{1}) - 1; \Gamma = \frac{N'(d_{1})}{S_{0} \sigma \sqrt{T}}; \nu = S_{0} N'(d_{1}) \sqrt{T}; \Theta_{C} = -\frac{S_{0} N'(d_{1}) \sigma}{2\sqrt{T}} - r K e^{-rT} N(d_{2}); \Theta_{P} = -\frac{S_{0} N'(d_{1}) \sigma}{2\sqrt{T}} + r K e^{-rT} N(-d_{2}); \rho_{C} = K T e^{-rT} N(d_{2}); \rho_{P} = -K T e^{-rT} N(-d_{2}),Equity Derivatives,Greeks measure option sensitivity to various parameters. Delta measures price sensitivity to underlying asset changes (hedge ratio). Gamma measures delta sensitivity (convexity of option price). Vega measures sensitivity to volatility changes. Theta measures time decay (daily loss in option value). Rho measures sensitivity to interest rate changes. These sensitivities are crucial for risk management and hedging strategies. The gamma-theta trade-off shows that long gamma positions profit from volatility but suffer from time decay. Greeks are interrelated and satisfy certain relationships derived from the Black-Scholes PDE.
Binomial Tree Pricing (Complete System),u = e^{\sigma \sqrt{\Delta t}}; d = e^{-\sigma \sqrt{\Delta t}} = \frac{1}{u}; p = \frac{e^{r \Delta t} - d}{u - d}; V_{t} = e^{-r \Delta t} [p V_{t+1}^{up} + (1-p) V_{t+1}^{down}]; u_{JR} = e^{(r - \sigma^{2}/2) \Delta t + \sigma \sqrt{\Delta t}}; d_{JR} = e^{(r - \sigma^{2}/2) \Delta t - \sigma \sqrt{\Delta t}}; p_{JR} = 0.5,Numerical Methods,Binomial trees provide a discrete-time framework for option pricing. The Cox-Ross-Rubinstein (CRR) model ensures tree recombination and matches the first two moments of the lognormal distribution. The up and down factors represent possible price movements. The risk-neutral probability ensures no arbitrage. Option prices are computed by backward induction from terminal payoffs. The Jarrow-Rudd model provides an alternative parameterization with equal probabilities. Binomial trees can price American options through early exercise checks at each node. The model converges to the Black-Scholes solution as the time step approaches zero.
Vasicek Interest Rate Model (Complete System),"dr = a(b - r)dt + \sigma dW_{t}; P(t, T) = A(t, T) e^{-B(t, T) r_{t}}; B(t, T) = \frac{1 - e^{-a(T-t)}}{a}; A(t, T) = \exp\left[\left(b - \frac{\sigma^{2}}{2a^{2}}\right)(B(t, T) - (T-t)) - \frac{\sigma^{2}}{4a} B(t, T)^{2}\right]; C = P(0, T) [F N(d_{1}) - K N(d_{2})]",Fixed Income Derivatives,"The Vasicek model is a one-factor mean-reverting interest rate model. The short rate follows an Ornstein-Uhlenbeck process, reverting to long-term mean b at speed a. The model has closed-form solutions for zero-coupon bond prices and bond options. The B(t,T) function captures the sensitivity of bond price to the short rate. The A(t,T) function contains the risk premium adjustment. The model allows negative interest rates, which can be a limitation. Mean reversion is a key feature of interest rate dynamics. The model is widely used in fixed income derivatives pricing and risk management."
Cox-Ingersoll-Ross Interest Rate Model,"dr = a(b - r)dt + \sigma \sqrt{r} dW_{t}; P(t, T) = A(t, T) e^{-B(t, T) r_{t}}; B(t, T) = \frac{2(e^{\gamma (T-t)} - 1)}{(\gamma + a)(e^{\gamma (T-t)} - 1) + 2\gamma}; \gamma = \sqrt{a^{2} + 2\sigma^{2}}; 2ab \geq \sigma^{2}",Fixed Income Derivatives,The CIR model extends Vasicek by making volatility proportional to the square root of the short rate. This ensures non-negative interest rates when the Feller condition is satisfied. The model captures the empirically observed level-dependent volatility of interest rates. Bond prices have closed-form solutions involving hyperbolic functions. The model is widely used for pricing interest rate derivatives and modeling term structure dynamics. The square-root diffusion makes the model more realistic than Vasicek but less tractable for some applications.
Hull-White Extended Vasicek Model,"dr = (\theta(t) - a r)dt + \sigma dW_{t}; \theta(t) = \frac{\partial f(0, t)}{\partial t} + a f(0, t) + \frac{\sigma^{2}}{2a}(1 - e^{-2at}); P(t, T) = A(t, T) e^{-B(t, T) r_{t}}; B(t, T) = \frac{1 - e^{-a(T-t)}}{a}",Fixed Income Derivatives,The Hull-White model extends Vasicek by allowing time-dependent mean reversion level theta(t). This ensures the model fits the initial term structure exactly. The theta function is derived from the initial forward rate curve. The model maintains analytical tractability while providing flexibility to match market data. The model can calibrate to cap/floor and swaption volatilities. It is widely used in practice for pricing interest rate derivatives and managing interest rate risk. The model is a special case of the Heath-Jarrow-Morton framework.
GARCH Volatility Models (Complete System),\sigma_{t}^{2} = \omega + \alpha \epsilon_{t-1}^{2} + \beta \sigma_{t-1}^{2}; \sigma_{t}^{2} = \omega + \sum_{i=1}^{q} \alpha_{i} \epsilon_{t-i}^{2} + \sum_{j=1}^{p} \beta_{j} \sigma_{t-j}^{2}; \ln(\sigma_{t}^{2}) = \omega + \alpha \left(\frac{|\epsilon_{t-1}|}{\sigma_{t-1}} - \sqrt{\frac{2}{\pi}}\right) + \gamma \frac{\epsilon_{t-1}}{\sigma_{t-1}} + \beta \ln(\sigma_{t-1}^{2}); \sigma_{t}^{2} = \omega + \alpha \epsilon_{t-1}^{2} + \gamma \epsilon_{t-1}^{2} I(\epsilon_{t-1} < 0) + \beta \sigma_{t-1}^{2}; \alpha + \beta < 1,Advanced Topics,"GARCH models capture volatility clustering and mean reversion in financial time series. The basic GARCH(1,1) model includes ARCH effects (past squared returns) and GARCH effects (past conditional variance). The model is widely used for risk management and option pricing. EGARCH models asymmetric volatility response (leverage effect) where negative shocks have larger impact. GJR-GARCH also captures asymmetry through an indicator function. The stationarity condition ensures finite variance. GARCH models are essential for Value-at-Risk calculations and volatility forecasting."
Time Value of Money (Complete System),FV = PV(1 + r)^{t} = PV e^{rt}; PV = \frac{FV}{(1 + r)^{t}} = FV e^{-rt}; FV = PV \left(1 + \frac{r}{m}\right)^{mt}; PV = C \frac{1 - (1 + r)^{-n}}{r}; FV = C \frac{(1 + r)^{n} - 1}{r}; PV = C \frac{1 - [(1 + g)/(1 + r)]^{n}}{r - g}; PV = \frac{C}{r}; PV = \frac{C}{r - g}; EAR = \left(1 + \frac{r}{m}\right)^{m} - 1,Foundations - Time Value of Money,"Time value of money is the foundation of all financial mathematics. Money today is worth more than money tomorrow due to earning potential and inflation. The basic relationship connects present value, future value, interest rate, and time. Continuous compounding arises in the limit as compounding frequency approaches infinity. Annuities model equal periodic payments. Growing annuities account for payment growth. Perpetuities model infinite payment streams. The effective annual rate reflects the true cost of borrowing or return on investment. These concepts underpin all valuation models in finance."
Bond Pricing (Complete System),P = \frac{F}{(1 + y)^{T}} = F e^{-yT}; P = \sum_{t=1}^{n} \frac{C}{(1 + y)^{t}} + \frac{F}{(1 + y)^{n}}; P_{clean} = \frac{C}{y}\left(1 - \frac{1}{(1 + y)^{n}}\right) + \frac{F}{(1 + y)^{n}}; P_{dirty} = P_{clean} + AI; AI = C \times \frac{\text{Days since last coupon}}{\text{Days in coupon period}}; CY = \frac{C}{P},Fixed Income Securities,"Bond pricing is the present value of future cash flows discounted at the yield to maturity. Zero-coupon bonds have a single payment at maturity. Coupon bonds pay periodic interest and principal at maturity. Clean price excludes accrued interest, while dirty price includes it. Accrued interest compensates the seller for interest earned but not received since the last coupon. Yield to maturity is the internal rate of return on the bond. Current yield measures annual coupon income as a percentage of price. Yield to call measures return if the bond is called by the issuer. Bond prices move inversely to yields."
Portfolio Theory (Complete System),E[R_{p}] = \sum_{i=1}^{n} w_{i} E[R_{i}]; \sigma_{p}^{2} = \sum_{i=1}^{n} \sum_{j=1}^{n} w_{i} w_{j} \sigma_{i} \sigma_{j} \rho_{ij}; SR = \frac{E[R_{p}] - r_{f}}{\sigma_{p}}; IR = \frac{R_{p} - R_{b}}{\sigma_{tracking}}; TR = \frac{E[R_{p}] - r_{f}}{\beta_{p}}; \alpha = R_{p} - [r_{f} + \beta_{p}(R_{m} - r_{f})]; E[R_{i}] = r_{f} + \beta_{i}(E[R_{m}] - r_{f}),Portfolio Theory and Risk Management,"Portfolio theory provides the framework for constructing optimal investment portfolios. Expected return of a portfolio is the weighted average of individual returns. Portfolio variance depends on individual variances and covariances, showing the benefits of diversification. The Sharpe ratio measures risk-adjusted return. The information ratio measures active return relative to tracking error. The Treynor ratio uses systematic risk (beta) instead of total risk. Jensen's alpha measures excess return after adjusting for market risk. The efficient frontier represents all optimal portfolios. CAPM provides the equilibrium model for asset pricing, relating expected return to systematic risk. These concepts are fundamental to modern portfolio management."
Credit Risk Models (Complete System),PD = 1 - e^{-\lambda T}; \lambda = -\frac{\ln(1 - PD)}{T} = \frac{s}{1 - R}; s = -\frac{\ln(Q(T))}{T} = \lambda + LGD \cdot \lambda; DD = \frac{\ln(V/D) + (\mu - 0.5\sigma_{A}^{2})T}{\sigma_{A} \sqrt{T}}; PD_{Merton} = N\left(-\frac{\ln(V/D) + (\mu - 0.5\sigma_{A}^{2})T}{\sigma_{A} \sqrt{T}}\right); EL = PD \times LGD \times EAD; s = \frac{1 - R}{T} \left(\frac{1}{Q(T)} - 1\right); s = \frac{1 - R}{1 + R} \frac{PD}{1 - PD},Credit Derivatives,"Credit risk models quantify the probability and impact of borrower default. The hazard rate represents the instantaneous probability of default given survival. Credit spreads compensate investors for default risk. The Merton model treats equity as a call option on firm assets, providing structural approach to default prediction. Distance to default measures how many standard deviations the firm is from default. Expected loss combines probability of default, loss given default, and exposure at default. Risk-neutral spreads incorporate market expectations of default. CDS spreads reflect the cost of protection against default. These models are essential for credit risk management and pricing credit derivatives."
Monte Carlo Methods (Complete System),V = e^{-rT} \frac{1}{N} \sum_{i=1}^{N} \text{Payoff}_{i}; SE = \frac{\sigma_{\text{payoff}}}{\sqrt{N}}; V \pm z_{\alpha/2} \cdot SE; \bar{V} = \frac{1}{2} \left(\frac{1}{N}\sum_{i=1}^{N} \text{Payoff}_{i}^{+} + \frac{1}{N}\sum_{i=1}^{N} \text{Payoff}_{i}^{-}\right); \hat{V} = V_{MC} + \beta (E[V_{CV}] - V_{CV}^{MC}); \text{Error} \propto \frac{1}{\sqrt{N}}; \text{Error} \propto \frac{(\log N)^{d}}{N},Numerical Methods,"Monte Carlo methods simulate random paths to price complex derivatives. The basic approach averages discounted payoffs from simulated scenarios. Standard error measures the precision of the estimate. Confidence intervals provide bounds on the true price. Variance reduction techniques improve efficiency: antithetic variates use negatively correlated paths, control variates use related instruments with known prices. Convergence is proportional to 1/sqrt(N), requiring many simulations for high precision. Quasi-Monte Carlo uses low-discrepancy sequences for faster convergence. Monte Carlo is essential for pricing path-dependent and multi-asset derivatives where closed-form solutions do not exist."
Simple Interest Future Value,\text{FV} = P \times \left(1 + r \times t\right) = P + \left(P \times r \times t\right) = P + \text{Interest},Foundations - Time Value of Money,"This equation calculates the future value of a principal amount under simple interest. P represents the principal amount (initial investment) This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity. Under simple interest, growth is linear—interest is calculated solely on the initial principal."
Simple Interest Present Value,\text{PV} = \frac{\text{FV}}{1 + r \times t},Foundations - Time Value of Money,"This equation calculates the present value of a future amount under simple interest. PV represents the present value (the amount that needs to be invested today) This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity. Under simple interest, growth is linear—interest is calculated solely on the initial principal."
Simple Interest Amount,I = P \times r \times t,Foundations - Time Value of Money,"This equation calculates the interest earned or paid under simple interest. I represents the interest amount This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity. Under simple interest, growth is linear—interest is calculated solely on the initial principal."
Compound Interest Future Value (Annual),\text{FV} = P \times \left(1 + r\right)^{t},Foundations - Time Value of Money,"This equation calculates the future value with annual compounding. FV represents the future value This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity. Compound interest produces exponential growth through interest-on-interest."
Compound Interest Future Value (Multiple Periods),\text{FV} = P \times (1 + r/m)^{mt},Foundations - Time Value of Money,"This equation calculates the future value with compounding m times per year. FV represents the future value This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity. Compound interest produces exponential growth through interest-on-interest."
Effective Annual Rate,\text{EAR} = (1 + r/m)^{m} - 1,Foundations - Time Value of Money,This equation calculates the effective annual interest rate from a nominal rate. EAR represents the effective annual rate
Continuous Compounding Future Value,\text{FV} = Pe^{rt},Foundations - Time Value of Money,"This equation calculates the future value with continuous compounding. FV represents the future value This equation is fundamental to the time value of money concept, which states that money available at the present time is worth more than the same amount in the future due to its potential earning capacity. Compound interest produces exponential growth through interest-on-interest."
