"title","equation","main_category","notes"
"Forward Contract Price","F_{0} = S_{0} e^{r T}","Derivatives","This equation prices forward contracts under the cost-of-carry model"
"Forward Rate Agreement","FRA = \frac{R_{K} - R_{\text{quoted}}}{1 + R_{\text{quoted}} \times \frac{d}{360}} \times \frac{360}{d_{K}}","Derivatives","This equation calculates FRA settlement amounts"
"Interest Rate Swap Fixed Rate","R_{\text{fixed}} = \frac{1 - Z_{n}}{ \sum_{i=1}^{n} Z_{i} }","Derivatives","This equation calculates the fixed rate in an interest rate swap"
"Swap Value at Reset","V_{\text{swap}} = \sum_{i=1}^{n} Z_{i} (R_{\text{fixed}} - R_{\text{forward}","i}) \times \frac{d_{i}}{360}","Derivatives"
"Currency Swap Valuation","V_{\text{currency swap}} = \sum_{i=1}^{n} \frac{CF_{i}^{A}}{(1 + r_{A})^{i}} - \sum_{i=1}^{n} \frac{CF_{i}^{B}}{(1 + r_{B})^{i}} \times S_{0}","Derivatives","This equation values currency swaps"
"Commodity Swap Price","R_{\text{swap}} = \frac{F_{T_{1}} - F_{T_{n}}}{ \sum_{i=1}^{n-1} F_{T_{i}} \times \frac{d_{i}}{365} }","Derivatives","This equation prices commodity swaps"
"Credit Default Swap Spread","s_{\text{CDS}} = \frac{(1 - R) \times \lambda}{1 - e^{-\lambda T}}","Derivatives","This equation approximates CDS spreads under constant hazard rate"
"CDS Valuation","V_{\text{CDS}} = (1 - R) \times \sum_{i=1}^{n} Q_{i-1} (1 - Q_{i}) \times Z_{i} - s \times \sum_{i=1}^{n} Q_{i} \times Z_{i} \times d_{i}","Derivatives","This equation values CDS contracts"
"Total Return Swap Value","V_{\text{TRS}} = (R_{\text{asset}} - R_{\text{reference}}) \times N \times \frac{d}{360}","Derivatives","This equation values total return swaps"
"Equity Swap Value","V_{\text{equity swap}} = \sum_{t=1}^{n} \frac{(R_{\text{equity}","t} - R_{\text{fixed}})}{(1 + r)^{t}} \times N","Derivatives"
"Variance Swap Price","K_{\text{variance}} = \frac{1}{T} \int_{0}^{T} \sigma_{t}^{2} \"," dt","Derivatives"
"Volatility Swap Price","K_{\text{volatility}} = \sqrt{ \frac{1}{T} \int_{0}^{T} \sigma_{t}^{2} \"," dt } = \sqrt{K_{\text{variance}}}","Derivatives"
"Barrier Option Price","C_{\text{barrier}} = C_{\text{vanilla}} - \text{rebate probability} \times e^{-rT}","Derivatives","This equation prices barrier options"
"Asian Option Price","C_{\text{Asian}} = e^{-rT} E_{Q} [\max(A - K"," 0)]","Derivatives"
"Lookback Option Price","C_{\text{lookback}} = S_{0} N(d_{1}) - K e^{-rT} N(d_{2}) + \text{volatility adjustment}","Derivatives","This equation prices lookback options that depend on the maximum or minimum price achieved"
"Quanto Option Price","C_{\text{quanto}} = S_{0}^{f} N(d_{1}) - K e^{-r^{d} T} N(d_{2}) \times \frac{\sigma_{f}}{\sigma_{d}}","Derivatives","This equation prices quanto options that convert currency risk"
"Compound Option Price","C_{\text{compound}} = S_{0} N(d_{1}^{1}) e^{-r T_{1}} N(d_{2}^{1}) - K_{1} e^{-r T_{1}} N(d_{2}^{1}) + \text{inner option adjustment}","Derivatives","This equation prices options on options"
"Chooser Option Price","C_{\text{chooser}} = S_{0} e^{-r T_{2}} N(d_{1}) - K e^{-r T_{2}} N(d_{2}) + S_{0} e^{-r T_{2}} N(-d_{1} + \sigma \sqrt{T_{1}}) - K e^{-r T_{2}} N(-d_{2} + \sigma \sqrt{T_{1}})","Derivatives","This equation prices chooser options that allow selection between call and put at a future date"
"Basket Option Price","C_{\text{basket}} = e^{-rT} E_{Q} [\max(w_{1} S_{1} + w_{2} S_{2} + \dots + w_{n} S_{n} - K"," 0)]","Derivatives"
"Rainbow Option Price","C_{\text{rainbow}} = e^{-rT} E_{Q} [\max(\max(S_{1}"," S_{2}"," \dots"
"Digital Option Price","C_{\text{digital}} = e^{-rT} N(d_{2})","Derivatives","This equation prices binary options that pay a fixed amount if a condition is met"
"Power Option Price","C_{\text{power}} = e^{-rT} E_{Q} [\max(S^{\alpha} - K"," 0)]","Derivatives"
"Exchange Option Price","C_{\text{exchange}} = S_{1} N(d_{1}) - S_{2} N(d_{2})","Derivatives","This equation prices options to exchange one asset for another"
"Spread Option Price","C_{\text{spread}} = S_{1} N(d_{1}) - S_{2} N(d_{2}) - K e^{-rT} (N(d_{1}) - N(d_{2}))","Derivatives","This equation prices spread options on the difference between two assets"
"Cliquet Option Price","C_{\text{cliquet}} = \max\left( \prod_{i=1}^{n} (1 + \max(R_{i} - K"," 0)) - 1"," 0 \right)"
"Forward Start Option Price","C_{\text{forward start}} = S_{0} e^{-q T_{1}} \left( e^{(r-q)(T_{2}-T_{1})} N(d_{1}) - e^{-r(T_{2}-T_{1})} N(d_{2}) \right)","Derivatives","This equation prices forward start options that begin at a future date"
"Parisian Option Price","C_{\text{parisian}} = e^{-rT} E_{Q} [\max(S_{T} - K"," 0) \times I(\text{condition})]","Derivatives"
"Step Option Price","C_{\text{step}} = e^{-rT} E_{Q} [\max(S_{T}^{\alpha(t)} - K"," 0)]","Derivatives"
