title,equation_latex,main_category,notes
Duration Measures (Complete System),"D_{mac} = \frac{\sum_{t=1}^n t \cdot CF_{t} / (1 + y)^t}{P} = \frac{\sum_{t=1}^n t \cdot PV(CF_{t})}{P} \\
D_{mod} = \frac{D_{mac}}{1 + y} = -\frac{1}{P} \frac{\partial P}{\partial y} \\
D_{eff} = -\frac{P_{-} - P_{+}}{2 \cdot P \cdot dy} \\
KRD_{i} = -\frac{P(y + dy_{i}) - P(y - dy_{i})}{2 \cdot P \cdot dy_{i}} \\
D_{port} = \sum_{i=1}^n w_{i} \cdot D_{i} \\
D_{spread} = -\frac{P(y + dy + ds) - P(y + dy - ds)}{2 \cdot P \cdot ds} \\
Special Cases: D_{mac}^{ZC} = T, \quad D_{mac}^{perp} = \frac{1 + y}{y}",Fixed Income Securities,This comprehensive system defines all major duration measures used in fixed income analysis. Macaulay duration measures weighted average time to receive cash flows. Modified duration measures price sensitivity to yield changes. Effective duration accounts for embedded options. Key rate duration measures sensitivity to specific maturity points. Portfolio duration is the weighted average of component durations. Spread duration measures sensitivity to credit spread changes. Special cases include zero-coupon bonds (duration equals maturity) and perpetuities. Duration is the first derivative of price with respect to yield and is essential for immunization strategies.
Convexity Measures (Complete System),"Conv = \frac{1}{P} \sum_{t=1}^n \frac{t(t+1) \cdot CF_{t}}{(1 + y)^{t+2}} = \frac{1}{P} \frac{\partial^2 P}{\partial y^2} \\
Conv_{eff} = \frac{P_{+} + P_{-} - 2P}{P \cdot dy^{2}} \\
DC = Conv \cdot P \\
Conv_{port} = \sum_{i=1}^n w_{i} \cdot Conv_{i} \\
Special Cases: Conv^{ZC} = \frac{T(T+1)}{(1 + y)^{2}}, \quad Conv^{perp} = \frac{2(1 + y)}{y^{2}}",Fixed Income Securities,"This system defines all major convexity measures. Convexity measures the curvature of the price-yield relationship and is the second derivative of price with respect to yield. Effective convexity accounts for embedded options and path dependence. Dollar convexity measures the absolute price change due to convexity. Portfolio convexity is the weighted average of component convexities. Convexity is always positive for bonds without embedded options, providing a benefit in volatile yield environments. Higher convexity provides greater protection against large yield changes. Special cases include zero-coupon bonds and perpetuities."
Black-Scholes-Merton Complete System,"C = S_{0} \cdot N(d_{1}) - K \cdot e^{-rT} \cdot N(d_{2}) \\
P = K \cdot e^{-rT} \cdot N(-d_{2}) - S_{0} \cdot N(-d_{1}) \\
d_{1} = \frac{\ln(S_{0}/K) + (r + \sigma^{2}/2) \cdot T}{\sigma \sqrt{T}} \\
d_{2} = d_{1} - \sigma \sqrt{T} \\
With Dividends: C = S_{0} e^{-qT} N(d_{1}) - K e^{-rT} N(d_{2}) \\
d_{1} = \frac{\ln(S_{0}/K) + (r - q + \sigma^{2}/2) \cdot T}{\sigma \sqrt{T}} \\
Put-Call Parity: C - P = S_{0} - K e^{-rT}",Equity Derivatives,"The Black-Scholes-Merton model is the foundation of modern derivatives pricing. It provides closed-form solutions for European options on non-dividend paying stocks. The model assumes constant volatility, risk-free rate, and lognormal asset prices. The d1 and d2 terms measure the moneyness and risk-neutral probability of exercise. The dividend version adjusts for continuous dividend yield. Put-call parity ensures no arbitrage between calls and puts. The model revolutionized quantitative finance and earned the Nobel Prize. Limitations include constant volatility assumption and inability to price American options or options with path-dependent payoffs."
Option Greeks (Complete System),"Delta: \Delta_{C} = N(d_{1}), \quad \Delta_{P} = N(d_{1}) - 1 \\
Gamma: \Gamma = \frac{N'(d_{1})}{S_{0} \sigma \sqrt{T}} = \frac{e^{-d_{1}^{2}/2}}{S_{0} \sigma \sqrt{2\pi T}} \\
Vega: \nu = S_{0} N'(d_{1}) \sqrt{T} \\
Theta: \Theta_{C} = -\frac{S_{0} N'(d_{1}) \sigma}{2\sqrt{T}} - r K e^{-rT} N(d_{2}), \quad \Theta_{P} = -\frac{S_{0} N'(d_{1}) \sigma}{2\sqrt{T}} + r K e^{-rT} N(-d_{2}) \\
Rho: \rho_{C} = K T e^{-rT} N(d_{2}), \quad \rho_{P} = -K T e^{-rT} N(-d_{2}) \\
Gamma-Theta Relationship: \text{Profit} \approx \frac{1}{2} \Gamma (dS)^{2} - \Theta dt",Equity Derivatives,Greeks measure option sensitivity to various parameters. Delta measures price sensitivity to underlying asset changes (hedge ratio). Gamma measures delta sensitivity (convexity of option price). Vega measures sensitivity to volatility changes. Theta measures time decay (daily loss in option value). Rho measures sensitivity to interest rate changes. These sensitivities are crucial for risk management and hedging strategies. The gamma-theta trade-off shows that long gamma positions profit from volatility but suffer from time decay. Greeks are interrelated and satisfy certain relationships derived from the Black-Scholes PDE.
Binomial Tree Pricing (Complete System),"CRR Parameters: u = e^{\sigma \sqrt{\Delta t}}, \quad d = e^{-\sigma \sqrt{\Delta t}} = \frac{1}{u} \\
Risk-Neutral Probability: p = \frac{e^{r \Delta t} - d}{u - d} \\
Option Pricing: V_{t} = e^{-r \Delta t} [p V_{t+1}^{up} + (1-p) V_{t+1}^{down}] \\
Jarrow-Rudd Parameters: u = e^{(r - \sigma^{2}/2) \Delta t + \sigma \sqrt{\Delta t}}, \quad d = e^{(r - \sigma^{2}/2) \Delta t - \sigma \sqrt{\Delta t}}, \quad p = 0.5 \\
Convergence: As \Delta t \to 0, \text{Binomial} \to \text{Black-Scholes}",Numerical Methods,Binomial trees provide a discrete-time framework for option pricing. The Cox-Ross-Rubinstein (CRR) model ensures tree recombination and matches the first two moments of the lognormal distribution. The up and down factors represent possible price movements. The risk-neutral probability ensures no arbitrage. Option prices are computed by backward induction from terminal payoffs. The Jarrow-Rudd model provides an alternative parameterization with equal probabilities. Binomial trees can price American options through early exercise checks at each node. The model converges to the Black-Scholes solution as the time step approaches zero.
Vasicek Interest Rate Model (Complete System),"SDE: dr = a(b - r)dt + \sigma dW_{t} \\
Bond Price: P(t, T) = A(t, T) e^{-B(t, T) r_{t}} \\
B(t, T) = \frac{1 - e^{-a(T-t)}}{a} \\
A(t, T) = \exp\left[\left(b - \frac{\sigma^{2}}{2a^{2}}\right)(B(t, T) - (T-t)) - \frac{\sigma^{2}}{4a} B(t, T)^{2}\right] \\
Zero-Coupon Bond Option: C = P(0, T) [F N(d_{1}) - K N(d_{2})] \\
Mean Reversion: \lim_{t \to \infty} E[r_{t}] = b, \quad \lim_{t \to \infty} \text{Var}[r_{t}] = \frac{\sigma^{2}}{2a}",Fixed Income Derivatives,"The Vasicek model is a one-factor mean-reverting interest rate model. The short rate follows an Ornstein-Uhlenbeck process, reverting to long-term mean b at speed a. The model has closed-form solutions for zero-coupon bond prices and bond options. The B(t,T) function captures the sensitivity of bond price to the short rate. The A(t,T) function contains the risk premium adjustment. The model allows negative interest rates, which can be a limitation. Mean reversion is a key feature of interest rate dynamics. The model is widely used in fixed income derivatives pricing and risk management."
Cox-Ingersoll-Ross Interest Rate Model,"SDE: dr = a(b - r)dt + \sigma \sqrt{r} dW_{t} \\
Bond Price: P(t, T) = A(t, T) e^{-B(t, T) r_{t}} \\
B(t, T) = \frac{2(e^{\gamma (T-t)} - 1)}{(\gamma + a)(e^{\gamma (T-t)} - 1) + 2\gamma} \\
A(t, T) = \left[\frac{2\gamma e^{(a + \gamma)(T-t) / 2}}{(\gamma + a)(e^{\gamma (T-t)} - 1) + 2\gamma}\right]^{2ab/\sigma^{2}} \\
\gamma = \sqrt{a^{2} + 2\sigma^{2}} \\
Feller Condition: 2ab \geq \sigma^{2} \text{ (ensures } r_{t} > 0)",Fixed Income Derivatives,The CIR model extends Vasicek by making volatility proportional to the square root of the short rate. This ensures non-negative interest rates when the Feller condition is satisfied. The model captures the empirically observed level-dependent volatility of interest rates. Bond prices have closed-form solutions involving hyperbolic functions. The model is widely used for pricing interest rate derivatives and modeling term structure dynamics. The square-root diffusion makes the model more realistic than Vasicek but less tractable for some applications.
Hull-White Extended Vasicek Model,"SDE: dr = (\theta(t) - a r)dt + \sigma dW_{t} \\
Theta Function: \theta(t) = \frac{\partial f(0, t)}{\partial t} + a f(0, t) + \frac{\sigma^{2}}{2a}(1 - e^{-2at}) \\
Bond Price: P(t, T) = A(t, T) e^{-B(t, T) r_{t}} \\
B(t, T) = \frac{1 - e^{-a(T-t)}}{a} \\
A(t, T) = \frac{P(0, T)}{P(0, t)} \exp\left[B(t, T) f(0, t) - \frac{\sigma^{2}}{4a}(1 - e^{-2at}) B(t, T)^{2}\right] \\
Bond Option: C = P(0, T) [F N(d_{1}) - K N(d_{2})]",Fixed Income Derivatives,The Hull-White model extends Vasicek by allowing time-dependent mean reversion level theta(t). This ensures the model fits the initial term structure exactly. The theta function is derived from the initial forward rate curve. The model maintains analytical tractability while providing flexibility to match market data. The model can calibrate to cap/floor and swaption volatilities. It is widely used in practice for pricing interest rate derivatives and managing interest rate risk. The model is a special case of the Heath-Jarrow-Morton framework.
GARCH Volatility Models (Complete System),"GARCH(1,1): \sigma_{t}^{2} = \omega + \alpha \epsilon_{t-1}^{2} + \beta \sigma_{t-1}^{2} \\
GARCH(p,q): \sigma_{t}^{2} = \omega + \sum_{i=1}^{q} \alpha_{i} \epsilon_{t-i}^{2} + \sum_{j=1}^{p} \beta_{j} \sigma_{t-j}^{2} \\
EGARCH: \ln(\sigma_{t}^{2}) = \omega + \alpha \left(\frac{|\epsilon_{t-1}|}{\sigma_{t-1}} - \sqrt{\frac{2}{\pi}}\right) + \gamma \frac{\epsilon_{t-1}}{\sigma_{t-1}} + \beta \ln(\sigma_{t-1}^{2}) \\
GJR-GARCH: \sigma_{t}^{2} = \omega + \alpha \epsilon_{t-1}^{2} + \gamma \epsilon_{t-1}^{2} I(\epsilon_{t-1} < 0) + \beta \sigma_{t-1}^{2} \\
Stationarity: \alpha + \beta < 1 \text{ (for GARCH(1,1))}",Advanced Topics,"GARCH models capture volatility clustering and mean reversion in financial time series. The basic GARCH(1,1) model includes ARCH effects (past squared returns) and GARCH effects (past conditional variance). The model is widely used for risk management and option pricing. EGARCH models asymmetric volatility response (leverage effect) where negative shocks have larger impact. GJR-GARCH also captures asymmetry through an indicator function. The stationarity condition ensures finite variance. GARCH models are essential for Value-at-Risk calculations and volatility forecasting."
Time Value of Money (Complete System),"Future Value: FV = PV(1 + r)^{t} = PV e^{rt} \text{ (continuous)} \\
Present Value: PV = \frac{FV}{(1 + r)^{t}} = FV e^{-rt} \text{ (continuous)} \\
Multiple Compounding: FV = PV \left(1 + \frac{r}{m}\right)^{mt} \\
Annuity PV: PV = C \frac{1 - (1 + r)^{-n}}{r} \\
Annuity FV: FV = C \frac{(1 + r)^{n} - 1}{r} \\
Growing Annuity: PV = C \frac{1 - [(1 + g)/(1 + r)]^{n}}{r - g} \\
Perpetuity: PV = \frac{C}{r}, \quad Growing: PV = \frac{C}{r - g} \\
Effective Annual Rate: EAR = \left(1 + \frac{r}{m}\right)^{m} - 1",Foundations - Time Value of Money,"Time value of money is the foundation of all financial mathematics. Money today is worth more than money tomorrow due to earning potential and inflation. The basic relationship connects present value, future value, interest rate, and time. Continuous compounding arises in the limit as compounding frequency approaches infinity. Annuities model equal periodic payments. Growing annuities account for payment growth. Perpetuities model infinite payment streams. The effective annual rate reflects the true cost of borrowing or return on investment. These concepts underpin all valuation models in finance."
