"title","equation","main_category","notes"
"Futures Price","F_{0} = S_{0} e^{rT}","Futures","This equation defines futures pricing under the cost-of-carry model"
"Forward Price","F_{0} = S_{0} + \text{carrying costs} - \text{carrying benefits}","Futures","This equation generalizes futures pricing to include all carrying costs and benefits"
"Commodity Futures Price","F_{0} = S_{0} e^{(r - y)T}","Futures","This equation incorporates the convenience yield for commodities"
"Currency Futures Price","F_{0} = S_{0} e^{(r_{domestic} - r_{foreign})T}","Futures","This equation prices currency futures using interest rate parity"
"Index Futures Price","F_{0} = S_{0} e^{(r - q)T}","Futures","This equation prices index futures accounting for dividend yields"
"Futures Margin Requirement","\text{Initial Margin} = k \times \text{Contract Value} \times \text{Volatility Factor}","Futures","This equation defines initial margin requirements"
"Maintenance Margin","\text{Maintenance Margin} = \text{Initial Margin} \times (1 - \text{Margin Call Threshold})","Futures","This equation sets the maintenance margin level"
"Margin Call Trigger","\text{Margin Call} = \text{Equity} < \text{Maintenance Margin}","Futures","This condition defines when margin calls occur"
"Futures Profit/Loss","\Pi = (F_{T} - F_{0}) \times \text{Contract Size} \times \text{Position}","Futures","This equation calculates futures profits and losses"
"Hedging Ratio (Minimum Variance)","\beta = \frac{\text{Cov}(S"," F)}{\text{Var}(F)}","Futures"
"Cross-Hedging Ratio","\beta = \frac{\text{Cov}(S_{1}"," S_{2})}{\text{Var}(S_{2})}","Futures"
"Tailing the Hedge","\beta_{\text{adjusted}} = \beta_{0} \times \frac{1}{1 + r_{\text{short}} \times \frac{T}{365}}","Futures","This equation adjusts hedge ratios for the time decay of futures contracts"
"Basis","B = F - S","Futures","This equation defines the basis"
"Basis Risk","\sigma_{\text{basis}} = \sqrt{\text{Var}(B)}","Futures","This equation measures basis risk"
"Cash-Futures Arbitrage","\text{Arbitrage} = F - (S + \text{Carrying Costs})","Futures","This equation identifies arbitrage opportunities"
"Calendar Spread Value","\Pi_{\text{spread}} = (F_{\text{near}} - F_{\text{far}}) \times \text{Contract Size}","Futures","This equation calculates calendar spread profits"
"Futures Convexity Adjustment","CA = -\frac{1}{2} \sigma^{2} T^{2} + \frac{1}{2} \sigma^{2} \tau^{2}","Futures","This equation adjusts futures prices for convexity effects"
"Futures Gamma","\Gamma = \frac{\partial^{2} F}{\partial S^{2}} = 0","Futures","This equation reveals the linear payoff structure of futures"
"Value at Risk (Futures)","\text{VaR} = - \text{Position Size} \times \text{Contract Value} \times \text{Volatility} \times \sqrt{T} \times z_{\alpha}","Futures","This equation calculates VaR for futures positions"
"Liquidity-Adjusted Futures Price","F_{0}^{*} = F_{0} \times (1 + \text{Liquidity Premium})","Futures","This equation incorporates liquidity effects"
"Futures Roll Cost","\text{Roll Cost} = F_{\text{new}} - F_{\text{old}} + \text{Transaction Costs}","Futures","This equation calculates the cost of rolling futures positions"
"Eurodollar Futures Price","F_{0} = 100 - \text{3-month LIBOR}","Futures","This equation defines Eurodollar futures pricing"
"Federal Funds Futures Price","F_{0} = 100 - \text{Effective Federal Funds Rate}","Futures","This equation prices Federal Funds futures"
"Treasury Futures Conversion Factor","CF = \frac{1}{1 + \frac{y}{2}} \times \left( \frac{0.6}{0.5} + \frac{0.4}{0.25} \right)","Futures","This equation calculates conversion factors for Treasury futures"
"Cheapest-to-Deliver Bond","CTD = \arg\min_{i} \left[ P_{i} - CF_{i} \times (F \times \text{Conversion Factor}) \right]","Futures","This equation identifies the cheapest bond to deliver"
"Futures Implied Repo Rate","R = \frac{(F \times CF) - P}{P} \times \frac{365}{T}","Futures","This equation calculates the implied repo rate"
