"title","equation","main_category","notes"
"Spot Rate from Zero Coupon Bond","r_{t} = -\frac{1}{t} \ln(P_{t})","Interest Rate Theory","This equation extracts continuously compounded spot rates from zero-coupon bond prices"
"Forward Rate Calculation","f_{t","t+1} = \frac{(1 + r_{t+1})^{t+1}}{(1 + r_{t})^{t}} - 1","Interest Rate Theory"
"Instantaneous Forward Rate","f(t) = r(t) + t \frac{dr(t)}{dt}","Interest Rate Theory","This equation defines the instantaneous forward rate as the derivative of the spot rate curve"
"Discount Factor","Z(t) = e^{-r(t) t} = e^{-\int_{0}^{t} f(s) \"," ds}","Interest Rate Theory"
"Par Yield Calculation","y_{\text{par}} = \frac{1 - Z_{n}}{\sum_{i=1}^{n} Z_{i}}","Interest Rate Theory","This equation calculates the par yield from discount factors"
"Bootstrapping Spot Rates","r_{t} = \left( \frac{C + F}{(P - \sum_{i=1}^{t-1} \frac{C}{Z_{i}})} \right)^{\frac{1}{t}} - 1","Interest Rate Theory","This equation bootstraps spot rates from coupon bond prices"
"Nelson-Siegel Yield Curve","y(t) = \beta_{0} + \beta_{1} \frac{1 - e^{-t/\lambda}}{t/\lambda} + \beta_{2} \left( \frac{1 - e^{-t/\lambda}}{t/\lambda} - e^{-t/\lambda} \right)","Interest Rate Theory","This parametric model fits the yield curve using three factors"
"Svensson Extension","y(t) = \beta_{0} + \beta_{1} \frac{1 - e^{-t/\tau_{1}}}{t/\tau_{1}} + \beta_{2} \frac{1 - e^{-t/\tau_{1}}}{t/\tau_{1}}} e^{-t/\tau_{1}} + \beta_{3} \frac{1 - e^{-t/\tau_{2}}}{t/\tau_{2}}} e^{-t/\tau_{2}}","Interest Rate Theory","This extended model adds a second hump to capture more complex yield curve shapes"
"Vasicek Model","dr = \kappa (\theta - r) dt + \sigma dW","Interest Rate Theory","This one-factor model describes the evolution of the short rate"
"Cox-Ingersoll-Ross Model","dr = \kappa (\theta - r) dt + \sigma \sqrt{r} dW","Interest Rate Theory","This extension prevents negative interest rates"
"Hull-White Model","dr = [\theta(t) - \kappa r] dt + \sigma dW","Interest Rate Theory","This time-dependent model fits the initial yield curve exactly"
"Heath-Jarrow-Morton Framework","df(t) = \alpha(t","T) dt + \sigma(t","T) dW(t)"
"LIBOR Market Model","dL_{i}(t) = L_{i}(t) \mu_{i}(t) dt + L_{i}(t) \sigma_{i}(t) dW_{i}(t)","Interest Rate Theory","This market model describes the evolution of forward LIBOR rates"
"Ho-Lee Model","\Delta r(t) = \theta(t) dt + \sigma dW(t)","Interest Rate Theory","This simple model assumes constant volatility"
"Black-Karasinski Model","d \ln r = [\theta(t) - \kappa \ln r] dt + \sigma dW(t)","Interest Rate Theory","This lognormal model prevents negative rates while maintaining analytical tractability"
"Affine Term Structure Models","r(t) = a(t) + b(t) X(t)","Interest Rate Theory","This class of models expresses the short rate as an affine function of state variables"
"Gaussian Two-Factor Model","dr_{1} = \kappa_{1} (\theta_{1} - r_{1}) dt + \sigma_{1} dW_{1}","Interest Rate Theory","This model extends single-factor models by adding a second source of uncertainty"
"Principal Component Analysis","\lambda_{k} = \text{eigenvalue of covariance matrix}","Interest Rate Theory","This statistical approach decomposes yield curve movements into orthogonal factors"
"Key Rate Duration","KRD_{i} = -\frac{\Delta P}{P \times \Delta y_{i}}","Interest Rate Theory","This measure decomposes duration by maturity buckets"
"DV01 (Dollar Duration)","DV01 = -\frac{\partial P}{\partial y} \times 0.0001","Interest Rate Theory","This equation quantifies the dollar impact of a 1 basis point rate change"
"Convexity Adjustment","CA = \frac{1}{2} \sigma^{2} T^{2} + \frac{1}{2} \sigma^{2} \tau^{2}","Interest Rate Theory","This adjustment accounts for the difference between futures and forward rates in stochastic environments"
"Jamshidian's Trick","P(0","T) = E_{Q} \left[ \exp\left( -\int_{0}^{T} r(t) dt \right) \right] = E_{Q} \left[ \prod_{i=1}^{n} \exp\left( -r(t_{i-1}) \Delta t_{i} \right) \right]","Interest Rate Theory"
"Black's Model for Swaptions","C = N \times [F N(d_{1}) - K N(d_{2})]","Interest Rate Theory","This equation prices swaptions using Black's formula adapted for swap rates"
"SABR Model for Interest Rates","\frac{dF}{F^{\beta}} = \alpha dW","Interest Rate Theory","This stochastic volatility model captures the volatility smile in interest rate options"
"Extended Vasicek Model","dr = \kappa(t) (\theta(t) - r) dt + \sigma(t) \sqrt{r} dW","Interest Rate Theory","This time-dependent extension allows better fitting of the current yield curve"
"BGM Model (Brace-Gatarek-Musiela)","df(t","T) = \mu(t","T) dt + \sum_{k=1}^{m} \sigma_{k}(t"
