"title","equation","main_category","notes"
"Black-Scholes Call Option","C = S_{0} N(d_{1}) - K e^{-rT} N(d_{2})","Options","This equation prices European call options using the groundbreaking Black-Scholes model"
"Black-Scholes Put Option","P = K e^{-rT} N(-d_{2}) - S_{0} N(-d_{1})","Options","This equation prices European put options using put-call parity"
"Black-Scholes d1","d_{1} = \frac{\ln(S_{0}/K) + (r + \frac{1}{2} \sigma^{2}) T}{\sigma \sqrt{T}}","Options","This parameter drives the Black-Scholes model"
"Black-Scholes d2","d_{2} = d_{1} - \sigma \sqrt{T} = \frac{\ln(S_{0}/K) + (r - \frac{1}{2} \sigma^{2}) T}{\sigma \sqrt{T}}","Options","This parameter completes the Black-Scholes framework"
"Put-Call Parity","C - P = S_{0} - K e^{-rT}","Options","This fundamental relationship reveals the arbitrage constraints that must hold between calls and puts on the same underlying"
"Option Delta (Call)","\Delta_{C} = N(d_{1}) = \frac{\partial C}{\partial S}","Options","This equation measures the option's sensitivity to underlying price changes"
"Option Delta (Put)","\Delta_{P} = N(d_{1}) - 1 = \frac{\partial P}{\partial S}","Options","This equation shows put delta as negative"
"Option Gamma","\Gamma = \frac{N'(d_{1})}{S_{0} \sigma \sqrt{T}} = \frac{\partial^{2} C}{\partial S^{2}} = \frac{\partial \Delta}{\partial S}","Options","This equation measures the rate of change of delta"
"Option Theta (Call)","\Theta_{C} = -\frac{S_{0} N'(d_{1}) \sigma}{2 \sqrt{T}} - r K e^{-rT} N(d_{2}) = -\frac{\partial C}{\partial T}","Options","This equation measures time decay"
"Option Vega","V = S_{0} \sqrt{T} N'(d_{1}) = \frac{\partial C}{\partial \sigma}","Options","This equation measures sensitivity to volatility changes"
"Option Rho (Call)","\rho_{C} = K T e^{-rT} N(d_{2}) = \frac{\partial C}{\partial r}","Options","This equation measures sensitivity to interest rate changes"
"Binomial Tree Up Factor","u = e^{\sigma \sqrt{\Delta t}}","Options","This equation defines the multiplicative upward movement in binomial option pricing"
"Binomial Tree Down Factor","d = e^{-\sigma \sqrt{\Delta t}} = \frac{1}{u}","Options","This equation defines the downward movement factor"
"Binomial Risk-Neutral Probability","p^{*} = \frac{e^{r \Delta t} - d}{u - d}","Options","This equation calculates the risk-neutral probability of an up move"
"Binomial Option Price","C_{0} = e^{-r \Delta t} [p^{*} C_{u} + (1 - p^{*}) C_{d}]","Options","This equation implements backward induction in binomial trees"
"Trinomial Tree Probabilities","p_{u} = \frac{1}{2} + \frac{1}{2} \frac{(\mu - \sigma^{2}/2) \Delta t}{\sigma \sqrt{\Delta t}}","Options","This equation calculates probabilities in trinomial trees"
"Cox-Ross-Rubinstein Parameters","u = e^{\sigma \sqrt{\Delta t}}"," \quad d = e^{-\sigma \sqrt{\Delta t}}"," \quad p = \frac{e^{r \Delta t} - d}{u - d}"
"Jarrow-Rudd Parameters","u = e^{(r - \frac{1}{2} \sigma^{2}) \Delta t + \sigma \sqrt{\Delta t}}"," \quad d = e^{(r - \frac{1}{2} \sigma^{2}) \Delta t - \sigma \sqrt{\Delta t}}"," \quad p = \frac{1}{2}"
"Implied Volatility Definition","\sigma_{imp}: C_{market} = C_{BSM}(S_{0}"," K"," T"
"Volatility Smile","\sigma_{imp} = f\left(\frac{K}{S_{0}}\right)","Options","This relationship reveals that implied volatility varies with strike price"
"Volatility Surface","\sigma_{imp} = f(K"," T)","Options"
"SABR Model Volatility","\sigma_{BSM}(K) = \frac{\alpha}{(F/K)^{\beta}} \left[1 + \left(\frac{(1-\beta)^{2} \alpha^{2}}{24 (F/K)^{2-2\beta}} + \frac{\rho \beta \nu \alpha}{4 (F/K)^{1-\beta}} + \frac{(2-3\rho^{2}) \nu^{2}}{24}\right) T \right]","Options","This equation provides the SABR model's implied volatility approximation"
"Digital Option Price","C = e^{-rT} N(d_{2})","Options","This equation prices binary options that pay $1 if the condition is met"
"Barrier Option (Up-and-Out Call)","C = S_{0} N(d_{1}) - K e^{-rT} N(d_{2}) - S_{0} \left(\frac{H}{S_{0}}\right)^{2\lambda} \left[ N(d_{1} - 2\lambda \sqrt{T}) - N(d_{2} - 2\lambda \sqrt{T}) \right]","Options","This complex equation prices barrier options that activate or deactivate based on price levels"
"Asian Option Price","C = e^{-rT} E_{Q} [\max(A - K"," 0)]","Options"
"Chooser Option","C = S_{0} e^{-r T_{2}} N(d_{1}) - K e^{-r T_{2}} N(d_{2}) + S_{0} e^{-r T_{2}} N(-d_{1} + \sigma \sqrt{T_{1}}) - K e^{-r T_{2}} N(-d_{2} + \sigma \sqrt{T_{1}})","Options","This equation prices options that allow the holder to choose between call and put at a future date"
"Compound Option (Call on Call)","C = S_{0} N(d_{1}) - K_{1} e^{-r T_{1}} N(d_{2}) - K_{2} e^{-r T_{2}} N(d_{3})","Options","This equation prices options on options"
