"title","equation","main_category","notes"
"Portfolio Expected Return","E[R_{p}] = \sum_{i=1}^{n} w_{i} E[R_{i}]","Portfolio Theory","This equation calculates the expected return of a portfolio as the weighted average of individual asset expected returns"
"Portfolio Variance","\sigma_{p}^{2} = \sum_{i=1}^{n} \sum_{j=1}^{n} w_{i} w_{j} \sigma_{ij}","Portfolio Theory","This equation calculates portfolio variance as the quadratic form of weights and covariance matrix"
"Portfolio Standard Deviation","\sigma_{p} = \sqrt{\sum_{i=1}^{n} \sum_{j=1}^{n} w_{i} w_{j} \sigma_{ij}}","Portfolio Theory","This equation defines portfolio volatility as the square root of variance"
"Markowitz Efficient Frontier","\min_{w} \sigma_{p}^{2} \quad \text{subject to} \quad E[R_{p}] = \mu_{\text{target}}","Portfolio Theory","This equation defines the efficient frontier as the set of portfolios with minimum variance for a given expected return"
"Capital Market Line","\text{CML}: \quad E[R_{p}] = R_{f} + \frac{E[R_{m}] - R_{f}}{\sigma_{m}} \sigma_{p}","Portfolio Theory","This equation defines the Capital Market Line as the tangent from the risk-free rate to the efficient frontier"
"Capital Asset Pricing Model","E[R_{i}] = R_{f} + \beta_{i} (E[R_{m}] - R_{f})","Portfolio Theory","This equation prices individual assets based on their systematic risk"
"Security Market Line","\text{SML}: \quad E[R_{i}] = R_{f} + \beta_{i} (E[R_{m}] - R_{f})","Portfolio Theory","This equation plots the CAPM relationship graphically"
"Arbitrage Pricing Theory","E[R_{i}] = R_{f} + \sum_{k=1}^{K} \beta_{i k} \lambda_{k}","Portfolio Theory","This equation extends CAPM to multiple factors"
"Fama-French Three-Factor Model","E[R_{i}] - R_{f} = \alpha_{i} + \beta_{i} (R_{m} - R_{f}) + s_{i} \text{SMB} + h_{i} \text{HML}","Portfolio Theory","This equation decomposes returns into market"
"Carhart Four-Factor Model","E[R_{i}] - R_{f} = \alpha_{i} + \beta_{i} (R_{m} - R_{f}) + s_{i} \text{SMB} + h_{i} \text{HML} + m_{i} \text{MOM}","Portfolio Theory","This equation adds momentum factor to the three-factor model"
"Black-Litterman Model","\mu_{\text{BL}} = \left[ (\tau \Sigma)^{-1} + P^{T} \Omega^{-1} P \right]^{-1} \left[ (\tau \Sigma)^{-1} \mu_{\text{prior}} + P^{T} \Omega^{-1} q \right]","Portfolio Theory","This equation combines market equilibrium returns with investor views"
"Mean-Variance Optimization","\max_{w} \frac{E[R_{p}] - R_{f}}{\sigma_{p}} \quad \text{subject to} \quad \sum w_{i} = 1","Portfolio Theory","This equation defines the Sharpe ratio maximization problem"
"Tangency Portfolio","w_{\text{tangency}} = \frac{\Sigma^{-1} (\mu - R_{f} \mathbf{1})}{\mathbf{1}^{T} \Sigma^{-1} (\mu - R_{f} \mathbf{1})}","Portfolio Theory","This equation calculates the weights of the tangency portfolio that maximizes the Sharpe ratio"
"Minimum Variance Portfolio","w_{\text{mvp}} = \frac{\Sigma^{-1} \mathbf{1}}{\mathbf{1}^{T} \Sigma^{-1} \mathbf{1}}","Portfolio Theory","This equation calculates the portfolio with minimum variance regardless of expected return"
"Risk Parity Weights","w_{i} = \frac{1}{\sigma_{i}} / \sum_{j=1}^{n} \frac{1}{\sigma_{j}}","Portfolio Theory","This equation allocates portfolio weights inversely to volatility"
"Equal Risk Contribution","w_{i} \times \text{RC}_{i} = \frac{\sigma_{p}^{2}}{n}","Portfolio Theory","This equation ensures each asset contributes equally to total portfolio risk"
"Maximum Diversification Ratio","\text{MDR} = \frac{\sum_{i=1}^{n} w_{i} \sigma_{i}}{\sigma_{p}}","Portfolio Theory","This equation measures portfolio diversification efficiency"
"Diversification Ratio","\text{DR} = \frac{\sqrt{\sum_{i=1}^{n} w_{i}^{2} \sigma_{i}^{2}}}{\sigma_{p}}","Portfolio Theory","This equation measures the reduction in risk achieved through diversification"
"Kelly Criterion","f = \frac{\mu - R_{f}}{\sigma^{2}}","Portfolio Theory","This equation calculates the optimal fraction of capital to invest"
"Portfolio Optimization with Constraints","\min_{w} w^{T} \Sigma w \quad \text{s.t.} \quad w^{T} \mu \geq \mu_{\text{target}}"," \quad w^{T} \mathbf{1} = 1"," \quad w \geq 0"
"Roy's Safety-First Criterion","\max_{w} \frac{E[R_{p}] - R_{f}}{\sigma_{p}} \quad \text{subject to} \quad \text{Probability of loss} \leq \alpha","Portfolio Theory","This equation defines safety-first optimization"
"Post-Modern Portfolio Theory","\max_{w} E[R_{p}] \quad \text{subject to} \quad \text{VaR}_{\alpha} \leq L_{\text{threshold}}","Portfolio Theory","This equation defines downside risk optimization"
"Conditional Value at Risk Optimization","\min_{w} \text{CVaR}_{\alpha} \quad \text{subject to} \quad E[R_{p}] \geq \mu_{\text{target}}","Portfolio Theory","This equation optimizes portfolios using CVaR"
"Resampled Efficiency","\text{Efficient Frontier} = \frac{1}{B} \sum_{b=1}^{B} \text{Efficient Frontier}_{b}","Portfolio Theory","This equation creates robust efficient frontiers using resampling"
"Bayesian Portfolio Optimization","\mu_{\text{posterior}} = \frac{\tau \mu_{\text{prior}} + T \bar{r}}{\tau + T}","Portfolio Theory","This equation combines prior beliefs with sample data"
"Robust Portfolio Optimization","\min_{w} \max_{\mu \in \mathcal{U}} w^{T} \Sigma w \quad \text{subject to} \quad w^{T} \mu \geq \mu_{\text{target}}","Portfolio Theory","This equation defines robust optimization against parameter uncertainty"
"Factor Model Portfolio","\min_{w} w^{T} \Sigma_{residual} w \quad \text{subject to} \quad w^{T} f = f_{\text{target}}","Portfolio Theory","This equation optimizes portfolios using factor exposures"
"Asset-Liability Management","\min_{w} \text{VaR}(\text{Surplus}) \quad \text{subject to} \quad E[\text{Surplus}] \geq 0","Portfolio Theory","This equation defines ALM optimization"
"Liability-Driven Investment","\max_{w} \text{Funding Ratio} \quad \text{subject to} \quad \text{Probability of underfunding} \leq \alpha","Portfolio Theory","This equation optimizes funding status"
