"title","equation","main_category","notes"
"Value at Risk (Parametric)","\text{VaR}_{\alpha} = -\mu \times T - z_{\alpha} \times \sigma \times \sqrt{T}","Risk Metrics and Measures","This equation calculates parametric Value at Risk using the normal distribution"
"Value at Risk (Historical)","\text{VaR}_{\alpha} = -\text{percentile}(R"," 1-\alpha)","Risk Metrics and Measures"
"Expected Shortfall (CVaR)","\text{ES}_{\alpha} = -\frac{1}{1-\alpha} \int_{\alpha}^{1} q_{u} \"," du = -\frac{1}{1-\alpha} \int_{-\infty}^{\text{VaR}_{\alpha}} x \"," f(x) \"
"Conditional Value at Risk","\text{CVaR}_{\alpha} = \frac{1}{1-\alpha} \int_{\alpha}^{1} \text{VaR}_{u} \"," du","Risk Metrics and Measures"
"Sharpe Ratio","\text{Sharpe} = \frac{E[R_{p}] - R_{f}}{\sigma_{p}}","Risk Metrics and Measures","This equation measures risk-adjusted returns"
"Sortino Ratio","\text{Sortino} = \frac{E[R_{p}] - R_{f}}{\sigma_{\text{downside}}}","Risk Metrics and Measures","This equation measures downside risk-adjusted returns"
"Maximum Drawdown","\text{MDD} = \max_{t \in [0","T]} \left( \frac{P_{\text{peak}} - P_{t}}{P_{\text{peak}}} \right)","Risk Metrics and Measures"
"Calmar Ratio","\text{Calmar} = \frac{E[R_{p}] - R_{f}}{\text{MDD}}","Risk Metrics and Measures","This equation measures return per unit of maximum drawdown"
"Omega Ratio","\Omega(\alpha) = \frac{\int_{\alpha}^{\infty} (1 - F_{R}(x)) \"," dx}{\int_{-\infty}^{\alpha} F_{R}(x) \"," dx}"
"Downside Deviation","\sigma_{\text{downside}} = \sqrt{\frac{1}{n} \sum_{t=1}^{n} \min(R_{t} - \alpha"," 0)^{2}}","Risk Metrics and Measures"
"Semi-Variance","\sigma_{\text{semi}}^{2} = \frac{1}{n} \sum_{t=1}^{n} \max(\alpha - R_{t}"," 0)^{2}","Risk Metrics and Measures"
"Tracking Error","\text{TE} = \sqrt{\frac{1}{n} \sum_{t=1}^{n} (R_{p","t} - R_{b","t})^{2}}"
"Information Ratio","\text{IR} = \frac{E[R_{p} - R_{b}]}{\text{TE}}","Risk Metrics and Measures","This equation measures active return per unit of active risk"
"Beta","\beta = \frac{\text{Cov}(R_{p}"," R_{m})}{\text{Var}(R_{m})}","Risk Metrics and Measures"
"Jensen's Alpha","\alpha = E[R_{p}] - [R_{f} + \beta (E[R_{m}] - R_{f})]","Risk Metrics and Measures","This equation measures abnormal returns after adjusting for systematic risk"
"Marginal Value at Risk","\text{MVaR}_{i} = \frac{\partial \text{VaR}}{\partial w_{i}} = \frac{\text{Cov}(R_{i}"," R_{p})}{\sigma_{p}} \times \frac{\partial \text{VaR}}{\partial \sigma_{p}}","Risk Metrics and Measures"
"Incremental Value at Risk","\text{IVaR}_{i} = \text{VaR}_{\text{portfolio}} - \text{VaR}_{\text{portfolio without } i}","Risk Metrics and Measures","This equation measures the VaR contribution of a specific asset"
"Component Value at Risk","\text{CVaR}_{i} = w_{i} \times \text{MVaR}_{i} = w_{i} \times \frac{\partial \text{VaR}}{\partial w_{i}}","Risk Metrics and Measures","This equation calculates the VaR contribution weighted by position size"
"Expected Tail Loss","\text{ETL}_{\alpha} = \frac{1}{\alpha} \int_{0}^{\alpha} \text{VaR}_{u} \"," du","Risk Metrics and Measures"
"Spectral Risk Measure","\rho_{\phi}(X) = \int_{0}^{1} \text{VaR}_{u}(X) \"," \phi(u) \"," du"
"Liquidity-Adjusted Value at Risk","\text{LVaR} = \text{VaR} \times (1 + \text{Liquidity Premium})","Risk Metrics and Measures","This equation adjusts VaR for liquidity risk"
"Stress Testing Loss","\text{Stress Loss} = \sum_{i=1}^{n} w_{i} \times (S_{i","\text{stress}} - S_{i","\text{normal}})"
"Tail Value at Risk","\text{TVaR}_{\alpha} = \frac{1}{1-\alpha} \int_{\alpha}^{1} \text{VaR}_{u} \"," du","Risk Metrics and Measures"
"Ulcer Index","\text{UI} = \sqrt{\frac{1}{n} \sum_{t=1}^{n} D_{t}^{2}}","Risk Metrics and Measures","This equation measures the depth and duration of drawdowns"
"Pain Index","\text{PI} = \frac{1}{n} \sum_{t=1}^{n} \frac{|D_{t}|}{\text{Duration of } D_{t}}","Risk Metrics and Measures","This equation measures the average pain per unit time during drawdowns"
"Gain-to-Pain Ratio","\text{GPR} = \frac{\text{Total Return}}{\text{Pain Index}}","Risk Metrics and Measures","This equation measures return per unit of pain experienced"
"Recovery Time","\text{RT} = \frac{\text{Drawdown Magnitude}}{\text{Expected Recovery Rate}}","Risk Metrics and Measures","This equation estimates the time needed to recover from a drawdown"
