00001| "Dividend Discount Model - Gordon Growth","P = \frac{D_{1}}{r - g} = \frac{D_{0} \times (1 + g)}{r - g}","Stocks & Equity Analysis","This equation values a stock as the present value of all future dividends growing at a constant rate"
00002| "Two-Stage Dividend Discount Model","P = \sum_{t=1}^{n} \frac{D_{0} \times (1 + g_{1})^{t}}{(1 + r)^{t}} + \frac{D_{0} \times (1 + g_{1})^{n} \times (1 + g_{2})}{(r - g_{2}) \times (1 + r)^{n}}","Stocks & Equity Analysis","This model assumes high growth in the first stage and stable growth in the second stage"
00003| "Three-Stage Dividend Discount Model","P = \sum_{t=1}^{n_{1}} \frac{D_{t}}{(1 + r)^{t}} + \sum_{t=n_{1}+1}^{n_{1}+n_{2}} \frac{D_{t}}{(1 + r)^{t}} + \frac{D_{n_{1}+n_{2}+1}}{(r - g_{3}) \times (1 + r)^{n_{1}+n_{2}}}","Stocks & Equity Analysis","This advanced model includes three growth phases: high growth, transitional growth, and stable growth"
00004| "Price to Earnings Ratio","P/E = \frac{P}{EPS} = \frac{\text{Market Price per Share}}{\text{Earnings per Share}}","Stocks & Equity Analysis","This ratio shows how much investors are willing to pay per dollar of earnings"
00005| "Price to Book Ratio","P/B = \frac{P}{BVPS} = \frac{\text{Market Price per Share}}{\text{Book Value per Share}}","Stocks & Equity Analysis","This ratio compares market value to accounting value of shareholders' equity"
00006| "Price to Sales Ratio","P/S = \frac{P}{SPS} = \frac{\text{Market Price per Share}}{\text{Sales per Share}}","Stocks & Equity Analysis","This ratio shows how much investors pay per dollar of revenue"
00007| "Enterprise Value to EBITDA","EV/EBITDA = \frac{EV}{EBITDA} = \frac{\text{Market Cap} + \text{Debt} - \text{Cash}}{EBITDA}","Stocks & Equity Analysis","This ratio measures enterprise value relative to earnings before interest, taxes, depreciation, and amortization"
00008| "Price to Cash Flow Ratio","P/CF = \frac{P}{CFPS} = \frac{\text{Market Price per Share}}{\text{Cash Flow per Share}}","Stocks & Equity Analysis","This ratio compares stock price to operating cash flow generation"
00009| "Enterprise Value to Free Cash Flow","EV/FCF = \frac{EV}{FCF} = \frac{\text{Market Cap} + \text{Debt} - \text{Cash}}{\text{Free Cash Flow}}","Stocks & Equity Analysis","This ratio values the enterprise based on its ability to generate free cash flow"
00010| "Beta Calculation","\beta = \frac{\cov(R_{i}, R_{m})}{\sigma_{m}^{2}} = \frac{\rho_{i,m} \times \sigma_{i}}{\sigma_{m}}","Stocks & Equity Analysis","Beta measures systematic risk relative to the market, where β > 1 indicates higher volatility"
00011| "Market Beta Regression","\beta = \frac{\sum (R_{i,t} - \bar{R}_{i})(R_{m,t} - \bar{R}_{m})}{\sum (R_{m,t} - \bar{R}_{m})^{2}}","Stocks & Equity Analysis","This equation calculates beta through linear regression of stock returns against market returns"
00012| "Adjusted Beta","\beta_{\text{adjusted}} = \frac{2}{3} \times \beta_{\text{historical}} + \frac{1}{3} \times 1","Stocks & Equity Analysis","This formula adjusts historical beta toward 1.0 to account for mean reversion"
00013| "Levered Beta","\beta_{\text{levered}} = \beta_{\text{unlevered}} \times (1 + \frac{D}{E} \times (1 - T))","Stocks & Equity Analysis","This equation shows how debt increases equity beta due to financial leverage"
00014| "Earnings Per Share","EPS = \frac{\text{Net Income} - \text{Preferred Dividends}}{\text{Weighted Average Shares Outstanding}}","Stocks & Equity Analysis","This metric shows earnings available to common shareholders per share"
00015| "Book Value Per Share","BVPS = \frac{\text{Total Shareholders' Equity}}{\text{Shares Outstanding}}","Stocks & Equity Analysis","This represents the accounting value of equity per share"
00016| "Return on Equity","ROE = \frac{\text{Net Income}}{\text{Total Shareholders' Equity}} = \frac{\text{Net Income}}{\text{Assets}} \times \frac{\text{Assets}}{\text{Equity}}","Stocks & Equity Analysis","ROE measures how efficiently a company generates profits from shareholders' equity"
00017| "Price Earnings to Growth Ratio","PEG = \frac{P/E}{\text{Earnings Growth Rate}}","Stocks & Equity Analysis","This ratio adjusts P/E for growth expectations, where PEG < 1 may indicate undervaluation"
00018| "Dividend Yield","\text{Dividend Yield} = \frac{\text{Dividends per Share}}{\text{Stock Price}} \times 100\%","Stocks & Equity Analysis","This percentage shows annual dividend income relative to stock price"
00019| "Dividend Payout Ratio","\text{Payout Ratio} = \frac{\text{Dividends per Share}}{EPS} = \frac{\text{Total Dividends}}{\text{Net Income}}","Stocks & Equity Analysis","This ratio shows what portion of earnings is returned to shareholders as dividends"
00020| "Retention Ratio","\text{Retention Ratio} = 1 - \text{Payout Ratio} = \frac{\text{Reinvested Earnings}}{\text{Net Income}}","Stocks & Equity Analysis","This ratio shows what portion of earnings is retained for growth and investment"
00021| "Simple Moving Average","SMA_{n} = \frac{\sum_{i=1}^{n} P_{t-i+1}}{n}","Stocks & Equity Analysis","This indicator calculates the average price over the last n periods"
00022| "Exponential Moving Average","EMA_{t} = (P_{t} \times k) + (EMA_{t-1} \times (1 - k)), \quad k = \frac{2}{n+1}","Stocks & Equity Analysis","This weighted average gives more importance to recent prices"
00023| "Relative Strength Index","RSI = 100 - \frac{100}{1 + RS}, \quad RS = \frac{\text{Average Gain}}{\text{Average Loss}}","Stocks & Equity Analysis","This momentum oscillator ranges from 0-100, with readings above 70 indicating overbought conditions"
00024| "MACD Line","MACD = EMA_{12} - EMA_{26}","Stocks & Equity Analysis","This momentum indicator shows the difference between fast and slow exponential moving averages"
00025| "MACD Signal Line","Signal = EMA_{9}(\text{MACD})","Stocks & Equity Analysis","This is the 9-period EMA of the MACD line, used to generate trading signals"
00026| "MACD Histogram","Histogram = MACD - Signal","Stocks & Equity Analysis","This shows the difference between MACD and signal line, indicating momentum changes"
00027| "Bollinger Bands Upper","BB_{\text{Upper}} = SMA_{20} + (2 \times \sigma_{20})","Stocks & Equity Analysis","Upper Bollinger Band shows price levels 2 standard deviations above the 20-period moving average"
00028| "Bollinger Bands Lower","BB_{\text{Lower}} = SMA_{20} - (2 \times \sigma_{20})","Stocks & Equity Analysis","Lower Bollinger Band shows price levels 2 standard deviations below the 20-period moving average"
00029| "Bollinger Band Width","BBW = \frac{BB_{\text{Upper}} - BB_{\text{Lower}}}{SMA_{20}}","Stocks & Equity Analysis","This measures volatility - wider bands indicate higher volatility"
00030| "Percentage B","\%B = \frac{P - BB_{\text{Lower}}}{BB_{\text{Upper}} - BB_{\text{Lower}}}","Stocks & Equity Analysis","This shows where the current price sits relative to Bollinger Bands (0-1 range)"</content>
<parameter name="filePath">stocks_equity_analysis.csv
