Title,Equation,Description,Source
Formulas and Derivations,---,Advanced Option Trading Strategies,eq3/minimax-primer/comprehensive-formulas.md; eq3/jules-primer/primer.md; eq3/claude-primer/financial-instruments-primer.md; eq3/gemini-primer/gemini_primer.md; eq3/iflow-primer/financial-derivatives-primer.md; eq3/iflow-primer/formulas_part.md; eq3/iflow-primer/formulas_part2.md
Forward Swap Rate,S_{m,T_m) - P(t,eq3/kimi-primer/financial-derivatives-pricing-formulas.csv
Caplet Price (Black),C = P(0,T_{i-1} | Interest Rate Derivatives,eq3/minimax-primer/formulas.csv
Floorlet Price (Black),P = P(0,T_{i-1} | Interest Rate Derivatives,eq3/minimax-primer/formulas.csv
Copula Functions,F_{X1,x_2) = C(F_{X1}(x_1),eq3/minimax-primer/formulas.csv
Stochastic Grid Method,V(s_0,v^{(m)}),eq3/minimax-primer/formulas.csv
Brownian Motion Initial Condition,W_0 = 0,The process starts at zero with probability one. This initial condition is crucial for the construction of Brownian motion and ensures the uniqueness of the probability measure.,eq3/kimi-primer/financial-derivatives-pricing-formulas.csv
Itô's Lemma (Univariate),df(S_t,Stochastic Foundations,eq3/gemini-primer/gemini_primer.csv
Quadratic Variation,[W]_T = T,"Quadratic variation of Brownian motion over [0,T]. Cumulative variance. Differential form: d[W]_t = dt. For general semimartingale: d[X]_t = (dX_t)^2.",eq3/minimax-primer/formulas.csv
Markov-Functional Model,r_t = f(t,Term Structure,eq3/minimax-primer/formulas.csv
Brownian Motion Quadratic Variation,[W]_t = t,The quadratic variation process equals time itself. This property is fundamental to Ito's lemma and explains why the second-order term appears in stochastic calculus while it vanishes in ordinary calculus.,eq3/kimi-primer/financial-derivatives-pricing-formulas.csv
MM Prop I (No Tax),V_L = V_U,Levered equals unlevered value in perfect markets.,eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
Barone-Adesi Whaley (American),C_{Am}(S,t) + A_2 (S/S^*)^{q_2},eq3/gemini-primer/gemini_primer.csv
HJM Drift Condition,\alpha(t,T) \int_t^T \sigma(t,eq3/gemini-primer/gemini_primer.csv
1. Merton Structural Model,V_T = D + E_T,,eq3/minimax-primer/comprehensive-formulas.md; eq3/iflow-primer/financial-derivatives-primer.md; eq3/iflow-primer/formulas_part.md
Local Volatility (Dupire),sigma^2(K,Local Volatility Models,eq3/minimax-primer/formulas.csv
Neural Network Approximation,\hat{V}(S,t,eq3/kimi-primer/financial-derivatives-pricing-formulas.csv
Constant Product AMM,x \cdot y = k,Uniswap invariant.,eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
General SDE Form,dX_t = \mu(t,X_t)dW_t,eq3/kimi-primer/financial-derivatives-pricing-formulas.csv
Knock-Out Call,V_{KO}(S_0,T,eq3/kimi-primer/financial-derivatives-pricing-formulas.csv
Knock-In Put,V_{KI}(S_0,T,eq3/kimi-primer/financial-derivatives-pricing-formulas.csv
Explicit Finite Difference,\frac{v_{i,j}}{\Delta t} + r S_i \frac{v_{i+1 | j}}{\Delta t} = \frac{1}{2} \mathcal{L}_h v_{i,eq3/gemini-primer/gemini_primer.csv
Quantum Credit Scoring,U = e^{-iHt},Quantum walk for graph-based scoring.,eq3/gemini-primer/gemini_primer.csv
The Doob-Meyer decomposition theorem states that any submartingale X_t of class D (uniformly integrable) can be uniquely decomposed as:,X_t = M_t + A_t,where M_t is a martingale and A_t is a predictable increasing process with A_0 = 0. This decomposition is fundamental for understanding the structure of semimartingales.,eq3/stochastic_calculus_primer.md
Untitled Equation,dW dZ = \rho dt,,eq3/minimax-primer/comprehensive-formulas.md
Change of Numeraire (Radon-Nikodym),dQ^T/dQ = P(t,T) B_t],eq3/minimax-primer/formulas.csv
Bitcoin Option,C_{BTC} = C / S,Option quoted in BTC convention.,eq3/gemini-primer/gemini_primer.csv
"If E[Z_T] = 1 (Novikov condition: E[exp{½∫₀^T λ_s² ds}] < ∞), then Z_t is a true martingale and defines a new probability measure Q via:",dQ/dP|F_t = Z_t,"Under Q, the process W_t^Q = W_t + ∫₀^t λ_s ds becomes a Brownian motion. This transformation is the cornerstone of risk-neutral pricing.",eq3/stochastic_calculus_primer.md
Untitled Equation,p_m = 1 - p_u - p_d,,eq3/minimax-primer/comprehensive-formulas.md
Implied Volatility (Dupire),sigma_imp^2(K,Local Volatility Models,eq3/minimax-primer/formulas.csv
Eurodollar Futures Price,100 - R_3M LIBOR,Quarterly interest rate contract. Price = 100 - rate. Convexity adjustment from futures vs forward. Used for LIBOR term structure.,eq3/minimax-primer/formulas.csv
Digital Caplet/Floorlet,V_digital = P(0,Interest Rate Derivatives,eq3/minimax-primer/formulas.csv
FX Vega,nu = dV/d_sigma,Sensitivity to vol. Vega from Black-Scholes. Smile vega from skew. Vol surface dynamics.,eq3/minimax-primer/formulas.csv
Call Delta,\Delta = N(d_1),Delta measures the sensitivity of option price to changes in the underlying asset price ranging from 0 to 1 for calls. | Put delta ranges from -1 to 0 representing the hedge ratio for put options.,eq3/kimi-primer/financial-derivatives-pricing-formulas.csv
SABR Implied Volatility,\sigma_{BS}(K,Equity Derivatives | Volatility Modeling,eq3/kimi-primer/financial-derivatives-pricing-formulas.csv
MM Prop I (Tax),V_L = V_U + \tau D,Debt tax shield adds value.,eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
Untitled Equation,\pi_t = n_t - r_t,,eq3/iflow-primer/financial-derivatives-primer.md; eq3/iflow-primer/formulas_part.md
Untitled Equation,π_t = e^{-rt} ζ_t,,eq3/stochastic_calculus_primer.md
Untitled Equation,SSR = 2 - 1/(2H+1),,eq3/rough_volatility_primer.txt
Untitled Equation,u = ln(S_0/K) + rT,,eq3/jump-diffusion-primer.txt
Statistical Arbitrage,Z = (X - mu)/sigma,"Standardized deviation from mean. Mean-reversion trading. Pairs trading, index arbitrage. Stationarity assumptions critical.",eq3/minimax-primer/formulas.csv
Standard Brownian Motion Increment,W_t - W_s \sim N(0,Stochastic Calculus Fundamentals,eq3/kimi-primer/financial-derivatives-pricing-formulas.csv
Brownian Motion Covariance,\text{Cov}(W_s,t),eq3/kimi-primer/financial-derivatives-pricing-formulas.csv
Best-of Rainbow,max\left(max(S_1(T),S_n(T)) - K,eq3/kimi-primer/financial-derivatives-pricing-formulas.csv
Untitled Equation,dW_S dW_y = \rho dt,,eq3/minimax-primer/comprehensive-formulas.md
G-Spread (Government Spread),G = y_bond - y_govt,Spread to government curve at each maturity. Yield curve comparison. Basis for credit spread analysis.,eq3/minimax-primer/formulas.csv
FX Gamma,Gamma = d^2V/dS^2,Convexity of option value. Theta from gamma decay. Gamma scalping strategy. Volatility trading.,eq3/minimax-primer/formulas.csv
Interest Rate Swap Valuation,V_{swap}(t) = P(t,T_n) - K \sum_{i=1}^n \tau_i P(t,eq3/kimi-primer/financial-derivatives-pricing-formulas.csv
Standard Barrier Option,C_{do} = C_{BS}(S,K),eq3/gemini-primer/gemini_primer.csv
Seasonality Fourier,\ln S_t = f(t) + X_t,Decomposition of commodity prices into seasonal and stochastic components.,eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
Real Option to Abandon,A(V) = \max(S - V 0),Put option on project salvage value.,eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
Equivalence Principle,P \ddot{a}_x = A_x,Premium equals expected benefits.,eq3/gemini-primer/gemini_primer.csv
Untitled Equation,dζ_t = -λ_t ζ_t dW_t,,eq3/stochastic_calculus_primer.md
Untitled Equation,τ = inf{t ≥ 0 : V_t ≤ L},,eq3/credit_derivatives_structural_models.txt
Option-Adjusted Duration,D_OA = D_eff + D_OAS,"D_OA represents the option-adjusted duration, which decomposes effective duration into the sum of duration from cash flow timing (D_eff under static prepayment) and duration from the prepayment option (D_OAS). D_OAS = -∂P/∂OAS × (1/P) measures the sensitivity of OAS to yield changes and captures the optionality contribution. This decomposition helps investors understand how much of the MBS duration comes from option risk versus cash flow timing. For deep discount MBS, D_OAS is large and positive, while for premium MBS, D_OAS is large and negative.",eq3/fixed_income_primer.txt
Basket Option (Moment Matching),E[S_T] = sum w_i S_i,Exotic Options,eq3/minimax-primer/formulas.csv
Cheyette Model (Quadratic),r_t = 1/2 x_t^2 + y_t,Term Structure,eq3/minimax-primer/formulas.csv
PIT,u_t = F_{t-1}(y_t),Probability integral transform backtest.,eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
Untitled Equation,X̃^(1)(k) = X(k) - X̄,,eq3/monte_carlo_variance_reduction_II.txt
The one-factor Gaussian copula framework models default dependencies through a latent variable structure:,X_i = ρZ + √(1-ρ²)ε_i,"where X_i represents the standardized asset return of obligor i, Z is the systematic factor common to all obligors, ε_i are idiosyncratic factors independent of Z and each other, and ρ is the asset correlation parameter. Default occurs when X_i falls below a threshold Φ⁻¹(PD_i), where PD_i is the risk-neutral default probability.",eq3/CDO_Primer_Content.txt
Control Variates,V* = V + beta (X - E[X]),Use correlated control variable X with known expectation. Beta estimated by regression. Variance reduction proportional to correlation^2. Effective for path-dependent exotics.,eq3/minimax-primer/formulas.csv
Shifted Black (SABR with Shift),F_shifted = F + alpha,Volatility Models,eq3/minimax-primer/formulas.csv
Prepayment Model (PSA),CPR_t = CPR_0 * min(1,Fixed Income,eq3/minimax-primer/formulas.csv
Decarbonization Pathway,dC_t/dt = -alpha C_t,Exponential decay of emissions. Pathway to net zero. Required reduction rate alpha. Carbon budget remaining.,eq3/minimax-primer/formulas.csv
Kolmogorov Forward Equation,\frac{\partial p(x,t_0)}{\partial t} = -\frac{\partial}{\partial x}[\mu(x | t)}{\partial t} = -\mu(x,eq3/kimi-primer/financial-derivatives-pricing-formulas.csv
Margrabe's Formula,V = X N(d_1) - Y N(d_2),Pricing formula for option to exchange one asset for another.,eq3/gemini-primer/gemini_primer.csv; eq3/gemini-primer/gemini_primer.md
"For the specific case of Ito processes, if under P we have:",dX_t = μ_t dt + σ_t dW_t,then under Q the dynamics become:,eq3/stochastic_calculus_primer.md
Untitled Equation,dε(X)_t = ε(X)_t dX_t,,eq3/stochastic_calculus_primer.md
Antithetic Variates:,X_i^{anti} = f(-Z_i),"The antithetic counterpart constructed using the negative of the standard normal random variables Z_i ~ N(0,1) used in the original path generation. The combined estimator becomes X̄ = (1/2N)Σ_{i=1}^N [f(Z_i) + f(-Z_i)], achieving variance Var(X̄) = (1/2N)[Var(f(Z)) + Cov(f(Z),f(-Z))]. The effectiveness depends on the monotonicity of f: for monotone payoffs, Cov(f(Z),f(-Z)) < 0 yielding guaranteed variance reduction. For European call options, the correlation between f(Z) and f(-Z) approaches -1 as the option becomes deep in-the-money, providing near-perfect variance elimination. However, the method fails for symmetric payoffs where f(Z) = f(-Z), and can actually increase variance for certain payoff structures exhibiting non-monotonic behavior.",eq3/monte-carlo-numerical-methods.txt
The hazard rate process emerges endogenously from the structural framework:,h(t) = f_τ(t) / P(τ > t),"This time-varying hazard rate reflects the firm's deteriorating financial health as assets approach the default barrier, providing crucial insight into credit term structure dynamics.",eq3/credit_derivatives_structural_models.txt
2. SABR Model,dF = \sigma F^\beta dW,,eq3/minimax-primer/comprehensive-formulas.md
