Title,Equation,Main_Category,Notes
Calendar Roll Return,RY = ln F(T_2)/F(T_1),Commodities,Return from rolling futures from near to far contract. Negative in contango (must buy high) positive in backwardation. Determinant of commodity index returns.
Natural Gas Storage (Working's Model),V = E[ max( S_T - S_0 exp((r+u)T) 0) ) ],Commodities,Commodity pricing model for storage valuation
Risk-Neutral Default Probability,PD^{Q} = Φ(-d_2),Credit Models,Theoretical Context: Under risk-neutral measure probability of default is Φ(-d_2) which depends on asset value debt level volatility and time to maturity
Merton Structural Model,V_T = D + E_T,Credit Models,Credit risk modeling framework where firm value equals debt plus equity
Black-Cox First Passage Time Model,τ = inf{ t ≥ 0 : V_t ≤ K(t) },Credit Models,Default time as first hitting time of barrier K(t). Time-dependent barrier often exponential
Duffie-Singleton Reduced-Form Model,P̃(t,T) = E^{Q}[ e^{-∫_t^T (r_s + λ_s) ds} | ℱ_t ],Credit Models,λ_t: Hazard rate (default intensity) process. r_s: Risk-free short rate. P̃(t,T): Price of defaultable bond
Merton Jump Diffusion,dS_t/S_t = (r-q-λ μ̄) dt + σ dW_t + (J_t - 1) dN_t,Credit Models,Models sudden jumps in asset prices using Poisson process
Bilateral CVA,CVA = (1-R_C) ∫_0^T E[(V_t)^+] dPD_C(t),Credit Models,Credit valuation adjustment for counterparty default risk
Black-Cox Model (First Passage),τ = inf { t > 0 : V_t ≤ H(t) },Credit Models,Extension of Merton model allowing early default when asset value touches barrier
CDO Synthetic Tranche,L_{tranche} = max(L_{port} - A 0) - max(L_{port} - D 0),Credit Models,Tranched credit exposure via CDS
CDS Par Spread,s = (1-R) ∫_0^T P(0,t) e^{-∫_0^t λ(u)du} dt / ∫_0^T P(0,t) e^{-∫_0^t λ(u)du} dt,Credit Models,Fair CDS spread equating premium leg to protection leg
CDS Protection Leg,PV_{protection} = (1-R) ∫_0^T P(0,t) λ(t) e^{-∫_0^t λ(u)du} dt,Credit Models,Present value of CDS protection payments
Credit Valuation Adjustment,CVA = (1-R) ∫_0^T E^{Q}[ (V_t)^+ ] dPD(0,t),Credit Models,CVA represents present value of expected losses from counterparty default
Distance to Default,DD = (ln(V_0/F) + (μ - σ_V^2/2)T)/(σ_V √T),Credit Models,Measures how many standard deviations firm assets are from default threshold
Excess Spread,ES = Σ_{i=1}^n (AssetRate_i - LiabilityRate_i) * Balance_i,Credit Models,Credit enhancement from spread between assets and liabilities
Forward CDS,V_{forward} = V_{CDS}(T_f T_e),Credit Models,Forward starting credit default swap
G-Spread (Government Spread),G = y_{bond} - y_{govt},Credit Models,Spread to government curve at each maturity
Jarrow-Turnbull Intensity,P(τ > t) = exp(-∫_0^t λ(s) ds),Credit Models,Reduced form model where default is Poisson arrival with intensity λ
Mathematical Relationship,V_T < D,Credit Models,Default occurs when firm value falls below debt level
Merton Equity Value,E_t = V_t Φ(d_1) - D exp(-r(T-t)) Φ(d_2),Credit Models,Merton model equity valuation using Black-Scholes framework
Merton Jump-Diffusion,dS_t/S_{t-} = (μ - λk) dt + σ dW_t + (e^J - 1) dN_t,Credit Models,Models sudden jumps in asset prices using Poisson process
Par CDS Spread,s_{par} = (1-R) ∫_0^T P(0 T_i) Q(τ > T_i) / ∫_0^T P(0 T_i) Q(τ > T_i),Credit Models,Fair par spread for CDS
Probability of Default (Risk-Neutral),PD^{Q} = Φ(-d_2),Credit Models,Risk-neutral default probability under Merton framework
Survival Probability,P(τ > T | ℱ_t) = exp(-∫_t^T λ(s) ds),Credit Models,Probability that no default occurs before time T given information at time t
Kalman Filter (Linear-Gaussian),x_{t|t} = x_{t|t-1} + K_t (y_t - H x_{t|t-1}),Econometrics,Optimal recursive filter for linear state space models
Pairs Trading,Z_t = (S_t^(1) - β S_t^(2) - μ)/σ,Econometrics,Spread of cointegrated pair. Trade when Z deviates from 0
Average Life,AL = Σ_{t=1}^N t × CF_t^{principal} / Σ_{t=1}^N CF_t^{principal},Fixed Income,Weighted average time to receipt of principal payments for MBS
Bond Pricing Formula,P = Σ_{t=1}^T C/(1+y)^t + F/(1+y)^T,Fixed Income,Fundamental DCF formula for coupon bond
Bootstrap Method,P(T_i) = [1 - Σ_{j=1}^{i-1} c_j P(T_j)]/(1 + c_i),Fixed Income,Recursive extraction of zero-coupon prices from coupon bonds
Breakeven Inflation,BEI = (P_{nominal}/P_{real})^{1/T} - 1,Fixed Income,Market expectation of inflation from TIPS spread
Continuous Compounding,r(t,T) = -ln(P(t,T))/(T-t),Fixed Income,Continuously compounded zero rate from discount factor
Convexity,C = (1/P) ∂^2P/∂y^2,Fixed Income,Second-order price sensitivity to yield changes
