Title,Equation,Main_Category,Notes
Calendar Roll Return,RY = ln F(T_2)/F(T_1),Commodities,"Return from rolling futures from near to far contract. Negative in contango (must buy high), positive in backwardation. Determinant of commodity index returns."
Natural Gas Storage (Working's Model),"V = E[ max( S_T - S_0 exp((r+u)T), 0) ]",Commodities,Commodity pricing model
**Risk-Neutral Default Probability:**,PD^{\mathbb{Q}} = \Phi(-d_2),Credit Models,"**Theoretical Context:** Under the risk-neutral measure, the probability of default is Φ(-d_2), which depends on asset value, debt level, volatility, and time to maturity. This probability is used to price risky bonds and credit derivatives. The implied credit spread can be backed out by equating the model bond price to market prices. | 2. Black-Cox First Passage Time Model"
Merton Structural Model,V_T = D + E_T,Credit Models,Credit risk modeling framework
Black-Cox First Passage Time Model,\text{Default time } \tau = \inf\{ t \ge 0 : V_t \le K(t) \},Credit Models,**Variables:** - K(t): Time-dependent default barrier (often exponential) - τ: First hitting time of the barrier
Duffie-Singleton Reduced-Form Model,"\tilde{P}(t,T) = \mathbb{E}^{\mathbb{Q}}\left[ e^{-\int_t^T (r_s + \lambda_s) ds} \middle| \mathcal{F}_t \right]",Credit Models,"**Variables:** - λ_t: Hazard rate (default intensity) process - r_s: Risk-free short rate - \tilde{P}(t,T): Price of defaultable bond"
Merton Jump Diffusion,\frac{dS_t}{S_t} = (r-q-\lambda \bar{\mu}) dt + \sigma dW_t + (J_t - 1) dN_t,Credit Models,Credit risk modeling framework
Bilateral CVA,CVA = (1-R_C) \int_0^T \mathbb{E}[(V_t)^+] dPD_C(t),Credit Models,Credit valuation adjustment for counterparty default risk.
Barrier Option,\tau = \inf \{ t > 0 : \underbrace{V_t \le H(t)}_{\text{Barrier Breach}} \},Credit Models,"An extension of the Merton model. While Merton checks default only at maturity, Black-Cox models default as the first time the asset value V_t touches a lower barrier H(t) (representing bond covenants or safety thresholds). This allows for early default, making the model more realistic for pricing corporate bonds and CDS."
CDO Synthetic Tranche,L_{tranche} = \max(L_{port} - A 0) - \max(L_{port} - D 0),Credit Models,Tranched credit exposure via CDS.
CDS Par Spread,s = \frac{(1-R) \int_0^T P(0,Credit Models,t) e^{-\int_0^t \lambda(u)du} dt}
CDS Protection Leg,PV_{protection} = (1-R) \int_0^T P(0,Credit Models,Credit Derivatives
CDS Protection Leg:,"DLPV = (1-R) * integral_{t_V}^{t_N} Z(t_V,s) * Q(t_V,s) * lambda(s) ds",Credit Models,Credit risk modeling framework
CDS Spread Equation,s = [(1-R) int_0^T E^Q[ exp(-int_0^t r_s ds) lambda_t exp(-int_0^t lambda_s ds) ] dt] / [int_0^T E^Q[ exp(-int_0^t r_s ds) exp(-int_0^t lambda_s ds) ] dt],Credit Models,Equates PV of premium leg to PV of protection leg. Numerator: expected discounted loss given default. Denominator: expected discounted survival annuity.
CGMY Model,dS_t = (r - omega) dt + Y_t dW_t + J_t,Credit Models,"Finite activity, infinite variation jumps. Parameters: C (activity), G (negative jumps), M (positive jumps), Y (jump intensity decay). Generalizes Kou model. Closed-form characteristic function."
Conditional Default Probability,Q(tau_i <= t | Z) = 1 - exp( -int_0^t lambda_i(s,Credit Models,CDO Tranches
Credit Derivative Pricing,V_CMCDS = E^Q[ int_{T_0}^{T_1} (s_fix - s_flt) exp(-int_0^t (r+lambda) ds) dt ],Credit Models,CDS with floating spread based on CDS curve. Rate-like behavior. Pricing requires model of CDS spread dynamics. Hybrid credit-interest rate product.
Credit Spread Duration,D_spread = - (1/P) dP/ds,Credit Models,Sensitivity to credit spread changes. Used for credit risky bonds. Separate from interest rate sensitivity. Combines with OAS for total risk.
Credit Valuation Adjustment,CVA = (1-R) \int_0^T E^{\mathbb{Q}} [ (V_t)^+ ] dPD(0,Credit Models,Credit Derivatives
Credit Value Adjustment,CVA = (1-R) \int_0^T \mathbb{E}[e^{-rt} V_t^+ 1_{\tau=t}],Credit Models,CVA represents the present value of expected losses from counterparty default with recovery rate R and default time tau. | DVA is the present value of expected gains from the calculating party's own default.
DVA,DVA = (1-R_{self}) \int_0^T \mathbb{E}[(V_t)^-] dPD_{self}(t),Credit Models,Debit valuation adjustment for own default risk.
