Title,Equation,Main_Category,Notes
CDO Tranche Loss Valuation,Price_{market}[a d] = ∫(0 to T) e^{-rt} d𝔼^ℚ[L_[a d](t);ρ_a d],Credit Models,Market price of CDO tranche with attachment point a and detachment point d, representing the present value of expected tranche losses over the transaction life. **Mathematical Foundation**: The tranche price equals the discounted expectation of cumulative losses L_[a,d](t) where losses are capped at detachment point d and floored at attachment point a. The integral ∫ e^{-rt} d𝔼^ℚ[L(t)] represents risk-neutral valuation of the loss process. **Key Assumptions**: Risk-neutral measure, deterministic interest rates, known loss distribution, no wrong-way risk. **Practical Applications**: CDO pricing and risk management, tranche spread calculation, correlation trading, structured finance valuation. **Limitations**: Model risk from correlation assumptions; liquidity issues in distressed markets. **Implementation**: Monte Carlo simulation with copula models; analytical approximations for Gaussian case. **Related Concepts**: Base correlation approach; large portfolio approximations.
CDO Protection Leg Present Value,PV(Protection) = N_0 ∫_0^T 𝔼[e^{-∫_0^t (r_s + λ_s) ds}] dEL_t^{(A D)},Credit Models,Present value of protection leg for CDO tranche, accounting for both interest rate risk and credit risk through stochastic discounting. **Mathematical Foundation**: The protection leg PV equals notional N_0 times the expectation of discounted expected losses dEL_t^{(A,D)}, where discounting incorporates both risk-free rate r_s and tranche-specific spread λ_s. This captures the cost of providing credit protection. **Key Assumptions**: Risk-neutral dynamics, deterministic recovery, tranche-specific spreads, arbitrage-free pricing. **Practical Applications**: CDO structuring and pricing, credit risk transfer valuation, regulatory capital calculations. **Limitations**: Complexity of multi-factor models; calibration challenges. **Implementation**: PDE methods or Monte Carlo with stochastic rates and losses. **Related Concepts**: Premium leg valuation; correlation between interest rates and credit spreads.
Survival Probability Risk-Neutral Measure,ℚ(τ > T) = 𝔼^ℚ[e^{-∫_0^T λ_s ds}],Credit Models,Probability of survival until time T under the risk-neutral measure, expressed as the expectation of the exponential integral of the hazard rate process. **Mathematical Foundation**: The survival probability Q(T) = 𝔼^ℚ[e^{-∫_0^T λ_s ds}] where λ_s is the stochastic hazard rate process. This follows from the definition of survival probability in intensity-based models. **Key Assumptions**: Risk-neutral measure, time-homogeneous hazard rates, no default contagion. **Practical Applications**: CDS pricing, credit risk modeling, default probability estimation, risk management. **Limitations**: Assumes independence of default times; may not capture systemic risk. **Implementation**: Analytical solutions for deterministic rates; Monte Carlo for stochastic rates. **Related Concepts**: Physical vs risk-neutral probabilities; default intensity models.
Joint Default Probability Gaussian Copula,P(τ_i ≤ t for all i ∈ S) = Φ_S({Φ^{-1}(1 - e^{-h_i t})}_{i∈S};{√{ρ_i ρ_j}}_{i j∈S}),Credit Models,Probability of joint default for a set of obligors using the Gaussian copula framework, capturing correlation through a systematic factor structure. **Mathematical Foundation**: The Gaussian copula expresses joint survival as Φ_d(Φ^{-1}(S_i),...,Φ^{-1}(S_d);Σ) where S_i = 1 - e^{-h_i t} are marginal default probabilities, Σ captures correlation structure. This allows modeling of default clustering. **Key Assumptions**: Gaussian systematic factor, constant correlations, independence conditional on factor. **Practical Applications**: Portfolio credit risk, CDO tranche pricing, stress testing, regulatory capital calculations. **Limitations**: Gaussian copula underestimates tail dependence; assumes constant correlation. **Implementation**: Numerical integration for high dimensions; large portfolio approximations. **Related Concepts**: Student-t copula for fatter tails; Clayton copula for asymmetric dependence.
CDO Tranche Spread Equilibrium,s_{A D} N_0 (D - A) ∫_0^T 𝔼[e^{-∫_0^t r_s ds}] dt = N_0 ∫_0^T 𝔼[e^{-∫_0^t r_s ds} dL_t^{(A D)}],Credit Models,Equilibrium condition equating the present value of premium payments to expected protection payouts for CDO tranche spreads. **Mathematical Foundation**: The spread s_{A,D} satisfies PV(Premium) = PV(Protection) where premium leg equals spread times tranche notional times risk-neutral expectation of survival, protection leg equals expected discounted losses. **Key Assumptions**: Risk-neutral pricing, deterministic spreads, no wrong-way risk. **Practical Applications**: CDO pricing and structuring, tranche valuation, correlation parameter calibration. **Limitations**: Model dependence on correlation assumptions; market incompleteness. **Implementation**: Monte Carlo simulation; analytical approximations for Gaussian models. **Related Concepts**: Compound correlation approach; base correlation framework.
Second-Loss Tranche Spread Valuation,s^{(2)}_{A^{(2)} D^{(2)}} = 𝔼[∫_0^T e^{-rt} dEL_t^{(2)}]/[∫_0^T e^{-rt} dt N_0^{(2)} (D^{(2)} - A^{(2)})],Credit Models,Pricing formula for second-loss tranche in CDO structure, which provides protection against losses beyond the first-loss tranche attachment point. **Mathematical Foundation**: The second-loss tranche spread equals expected discounted losses divided by expected discounted annuity payments. This captures the incremental risk beyond the equity tranche. **Key Assumptions**: Sequential loss structure, independent tranche pricing, arbitrage-free valuation. **Practical Applications**: Mezzanine tranche pricing, CDO waterfall analysis, risk layering in structured finance. **Limitations**: Assumes tranche independence; correlation modeling critical. **Implementation**: Copula-based loss distribution modeling; Monte Carlo simulation. **Related Concepts**: Equity tranche (first-loss); senior tranche (higher attachment).
CDS Par Spread Calculation,s = (1-R) ∫_0^T P(0 t) λ(t) e^{-∫_0^t λ(u)du} dt / ∫_0^T P(0 t) e^{-∫_0^t λ(u)du} dt,Credit Models,Par spread for credit default swap that equates the present value of premium payments to expected protection payments. **Mathematical Foundation**: The CDS spread s satisfies PV(Premium) = (1-R) × PV(Protection) where premium PV equals s times annuity factor, protection PV equals discounted expected losses. This expresses credit risk in terms of observable market spreads. **Key Assumptions**: Risk-neutral pricing, constant recovery rate R, deterministic hazard rates, no counterparty risk. **Practical Applications**: Credit spread analysis, default probability estimation, risk management, relative value trading. **Limitations**: Assumes constant recovery; model risk from hazard rate specification. **Implementation**: Bootstrapping from market quotes; numerical solution for par spread. **Related Concepts**: CDS index pricing; quanto CDS adjustments.
Black-Cox First Passage Time Model,τ = inf{t ≥ 0: V_t ≤ K(t)},Credit Models,First passage time model for credit risk where default occurs when firm asset value hits a time-dependent barrier, allowing for early default before maturity. **Mathematical Foundation**: Default time τ = inf{t: V_t ≤ K(t)} where V_t follows geometric Brownian motion, K(t) is a time-dependent barrier. This extends Merton model by allowing default before debt maturity. **Key Assumptions**: Geometric Brownian motion for assets, deterministic barrier, instantaneous default at barrier hit. **Practical Applications**: Corporate bond pricing, credit risk modeling, structural models of default, risk management. **Limitations**: Assumes observable asset value; barrier monitoring assumptions. **Implementation**: PDE solution or Monte Carlo simulation; analytical solutions for special cases. **Related Concepts**: Merton structural model; reduced-form intensity models.
CSA OIS Discounting Framework,V(t) = 𝔼^ℚ[exp(-∫_t^T c(u) du) Payoff],Credit Models,Post-crisis discounting methodology using collateralized rates instead of LIBOR, reflecting funding costs and credit risk mitigation through collateral agreements. **Mathematical Foundation**: Under CSA discounting, derivative values are calculated using collateral rate c(u) instead of LIBOR. This V(t) = 𝔼^ℚ[exp(-∫_t^T c(u) du) × Payoff] where c(u) is the OIS rate or collateral rate. **Key Assumptions**: Daily collateral posting, risk-free collateral, deterministic collateral rates. **Practical Applications**: OTC derivative pricing, funding valuation adjustment, regulatory compliance, risk management. **Limitations**: Operational complexity; basis risk between collateral and funding rates. **Implementation**: Multi-curve bootstrapping; OIS curve construction from fed funds futures. **Related Concepts**: FVA (funding valuation adjustment); pre-crisis LIBOR discounting.
Expected Shortfall Coherent Risk Measure,CVaR_α = 𝔼[L|L > VaR_α] = μ + σ/(1-α) φ(z_α),Credit Models,Coherent risk measure representing the expected loss conditional on exceeding the Value-at-Risk threshold, providing a more conservative tail risk estimate. **Mathematical Foundation**: For normally distributed losses L ~ N(μ,σ²), ES_α = μ + σ/(1-α) φ(z_α) where z_α = Φ^{-1}(α), φ is the normal density. This captures average loss in the worst (1-α) scenarios. **Key Assumptions**: Elliptical distribution, known parameters, time-invariant risk measures. **Practical Applications**: Regulatory capital requirements, risk management, stress testing, portfolio optimization. **Limitations**: Assumes specific distribution; may not capture extreme tail events. **Implementation**: Historical simulation or parametric estimation; scenario analysis for complex portfolios. **Related Concepts**: Value-at-Risk (VaR); spectral risk measures.
General Hazard Rate Process Specification,λ_t = λ(t X_t) where X_t is state vector,Credit Models,General specification for hazard rate process allowing time-varying and state-dependent default intensity, capturing macroeconomic and firm-specific risk factors. **Mathematical Foundation**: The hazard rate λ_t = λ(t, X_t) where X_t is a state vector capturing systematic factors. This allows λ_t to depend on time and economic conditions, providing more realistic default modeling. **Key Assumptions**: Markovian state process, known functional form, observable state variables. **Practical Applications**: Dynamic credit risk modeling, scenario analysis, stress testing, risk management. **Limitations**: Parameter estimation challenges; model specification risk. **Implementation**: Time series estimation; state space models for latent factors. **Related Concepts**: Cox process models; reduced-form vs structural models.
Merton Structural Model Equity Valuation,E_t = V_t Φ(d_1) - D e^{-r(T-t)} Φ(d_2),Credit Models,Merton model treating equity as a European call option on the firm's asset value, with debt as the strike and maturity matching debt maturity. **Mathematical Foundation**: Firm value V_t follows geometric Brownian motion, equity E_t = max(V_t - D, 0) where D is debt face value. This gives E_t = V_t Φ(d₁) - D e^{-rτ} Φ(d₂) with standard Black-Scholes parameters. **Key Assumptions**: Frictionless markets, observable firm value, instantaneous default at maturity. **Practical Applications**: Credit risk modeling, default probability estimation, distance-to-default calculations, structural model calibration. **Limitations**: Assumes observable asset value; default only at maturity. **Implementation**: Asset value estimation from equity prices; volatility calibration. **Related Concepts**: Black-Cox model (early default); reduced-form intensity models.
