WTI-Brent Commodity Location Basis,Basis = S_t^{WTI} - S_t^{Brent} - Transport,Interest Rate Models,The price differential between crude oil delivered at different locations, reflecting transportation costs and regional supply-demand imbalances. **Mathematical Foundation**: The basis B = S_WTI - S_Brent - TC where TC represents transportation and quality differential costs. In equilibrium, basis should equal marginal transportation cost. **Key Assumptions**: Efficient markets, no arbitrage between locations, constant transportation costs. **Practical Applications**: Commodity trading, refinery optimization, risk management for location risk. **Limitations**: Transportation costs vary; contango/backwardation affects basis. **Implementation**: Statistical analysis of historical basis; regression on supply-demand factors. **Related Concepts**: Crack spreads; refinery margins.
MBS Key Rate Duration Hedging,ΔV = ∑_{i=1}^K w_i × D_i^{MBS} × Δr_i,Interest Rate Models,Hedging mortgage-backed securities using key rate durations to manage exposure to specific points on the yield curve. **Mathematical Foundation**: The hedge ΔV = ∑ w_i D_i^{KR} Δr_i targets specific maturities i. Key rate durations measure sensitivity to parallel shifts at different maturities while holding others constant. **Key Assumptions**: Additive key rate effects, small rate changes, deterministic prepayment. **Practical Applications**: MBS portfolio hedging, risk management, yield curve positioning. **Limitations**: Assumes additive effects; prepayment risk affects duration. **Implementation**: Key rate duration calculation; portfolio rebalancing. **Related Concepts**: Effective duration; principal component hedging.
MBS Total Return Calculation,TR = ∑_{t=1}^T CF_t/P_0 - 1,Interest Rate Models,Total return calculation for mortgage-backed securities, including all cash flows relative to initial price over the investment horizon. **Mathematical Foundation**: TR = [∑_{t=1}^T CF_t / (1+r)^t ] / P_0 - 1 where CF_t are cash flows, r is required return. For MBS, includes principal and interest payments plus prepayments. **Key Assumptions**: Known cash flow schedule, constant discount rate, no default risk. **Practical Applications**: Performance measurement, attribution analysis, risk-adjusted return calculation. **Limitations**: Prepayment uncertainty; reinvestment risk. **Implementation**: Monte Carlo simulation for prepayment paths; scenario analysis. **Related Concepts**: Bond total return; IRR calculations.
MBS Key Rate Duration Measure,D_{key} = -(P_+ - P_-)/(2P_0 × Δr_{key}),Interest Rate Models,Effective duration measure for MBS at specific yield curve points, capturing non-parallel yield curve sensitivity including prepayment effects. **Mathematical Foundation**: Key rate duration D_key = - (P_+ - P_-)/(2 P_0 Δr_key) where P_± are prices with ±Δr_key shift at target maturity, others unchanged. Measures local yield curve sensitivity. **Key Assumptions**: Small rate changes, additive effects, deterministic prepayment model. **Practical Applications**: MBS risk management, hedging strategies, portfolio immunization. **Limitations**: Assumes local shifts; prepayment model accuracy critical. **Implementation**: Finite difference pricing; requires MBS valuation model. **Related Concepts**: Modified duration for parallel shifts; effective duration.
Payer Swaption Risk-Neutral Valuation,𝔼^A[max(r_{T_S}(T_S T_E) - K 0)],Interest Rate Models,The risk-neutral expectation for a payer swaption payoff, representing the option to enter a swap receiving floating and paying fixed rate K. **Mathematical Foundation**: Under the annuity measure A, the swaption value is 𝔼^A[max(S - K, 0)] where S is the forward swap rate. The annuity measure makes the annuity a martingale. **Key Assumptions**: Markovian interest rate dynamics, risk-neutral pricing, European exercise. **Practical Applications**: Swaption pricing, risk management for callable debt, structured product valuation. **Limitations**: Model risk from interest rate assumptions; Bermudan exercise more realistic. **Implementation**: Monte Carlo simulation or analytical approximation using market models. **Related Concepts**: Receiver swaptions; Bermudan swaptions with multiple exercise dates.
Par Swap Rate with OIS Discounting,r_{PAR} = ∑_{i=1}^n [f_{LIBOR}(0 T_{i-1} T_i) + s] τ_i P_{OIS}(0 T_i)/∑_{i=1}^n τ_i P_{OIS}(0 T_i),Interest Rate Models,Par swap rate calculation incorporating LIBOR-OIS basis spreads, reflecting post-crisis multi-curve framework for accurate pricing. **Mathematical Foundation**: The par rate r_PAR satisfies V_fixed = V_floating. With OIS discounting and LIBOR forwarding: r_PAR = ∑ [f_LIBOR(0,T_{i-1},T_i) + s] τ_i P_OIS(0,T_i) / ∑ τ_i P_OIS(0,T_i) where s is the basis spread. **Key Assumptions**: Multi-curve framework, deterministic basis spreads, standard conventions. **Practical Applications**: Swap pricing, yield curve construction, relative value analysis. **Limitations**: Basis spreads vary over time; model risk in extrapolation. **Implementation**: Bootstrapping from market quotes; requires both LIBOR and OIS curves. **Related Concepts**: Pre-crisis single-curve pricing; cross-currency basis swaps.
Cross-Currency Funding Valuation Adjustment,FVA_{CCY} = ∑_i (r_{USD}^{F i} - r_{USD}^{OIS i} - basis_i) × exposure_i × DF_i,Interest Rate Models,FVA for currency mismatches captures the additional cost from cross-currency basis spreads when funding in different currencies. **Mathematical Foundation**: The adjustment FVA_CCY = ∑ (r_F^i - r_OIS^i - basis_i) × exposure_i × DF_i represents the present value cost of currency basis over the exposure lifetime. **Key Assumptions**: Deterministic exposures, constant basis spreads, risk-neutral discounting. **Practical Applications**: Multi-currency derivative pricing, funding cost analysis, risk management for global banks. **Limitations**: Basis spreads are stochastic; exposure paths uncertain. **Implementation**: Simulation of exposure and basis paths; requires cross-currency models. **Related Concepts**: Standard FVA for unsecured funding; CVA for counterparty risk.
Zero-Beta Rate Market Estimation,λ̂_0 = ∑_{i=1}^N (1/β̂_i)(R̄_i - R_f)/∑_{i=1}^N (1/β̂_i²),Interest Rate Models,Estimation of the zero-beta rate when the market proxy is inefficient, using minimum-distance estimator accounting for proxy measurement error. **Mathematical Foundation**: The zero-beta rate λ_0 satisfies 𝔼[R_i - R_f] = β_i (𝔼[R_M - R_f] - λ_0) for all i. When M is inefficient, λ̂_0 = ∑ (1/β̂_i)(R̄_i - R_f) / ∑ (1/β̂_i²) provides consistent estimation. **Key Assumptions**: Linear factor model, known betas, i.i.d. errors. **Practical Applications**: Asset pricing tests, performance evaluation, mutual fund analysis. **Limitations**: Requires many assets; sensitive to beta estimation error. **Implementation**: Cross-sectional regression; requires large cross-section of assets. **Related Concepts**: Standard CAPM tests; Fama-MacBeth procedure.
Model Uncertainty Capital Reserve,R_{model} = α × Notional × σ_{model},Interest Rate Models,Capital buffer for model risk uncertainty in derivative pricing, proportional to notional exposure and model volatility estimate. **Mathematical Foundation**: The reserve R_model = α × Notional × σ_model where α is a prudential factor, Notional is exposure size, σ_model is model uncertainty volatility. **Key Assumptions**: Model uncertainty quantifiable as volatility, linear scaling with notional. **Practical Applications**: Risk management, regulatory capital calculation, model validation. **Limitations**: Subjective uncertainty quantification; may be procyclical. **Implementation**: Stress testing different models; backtesting against realized payoffs. **Related Concepts**: P&L explain; model risk capital add-ons.
Normal Model Swaption Pricing,P_{swaption} = P(0 T_e) (K Φ(-d_2) - S_0 Φ(-d_1)),Interest Rate Models,Normal model for swaption pricing in low/negative rate environments, assuming normal rather than lognormal distribution of swap rates. **Mathematical Foundation**: For normal dynamics dS = σ dW, the pricing formula P = A (K Φ(-d₂) - S_0 Φ(-d₁)) with d₁ = (S_0 - K)/(σ√τ), d₂ = d₁ - σ√τ. This avoids negative rates issues. **Key Assumptions**: Normal swap rate dynamics, constant volatility, European exercise. **Practical Applications**: Negative rate environment pricing, structured product valuation, risk management. **Limitations**: Assumes normal distribution; may not fit high-rate environments. **Implementation**: Bachelier formula; requires normal volatility quotes. **Related Concepts**: Lognormal SABR model; shifted lognormal for small negative rates.
