Title,Equation,Main_Category,Notes
Capital Asset Pricing Model (CAPM),R_i = R_f + β_i (R_m - R_f) + ε_i,Interest Rate Models,The Capital Asset Pricing Model (CAPM) provides a fundamental framework for understanding the relationship between expected returns and systematic risk. **Mathematical Foundation**: The model states that expected excess return equals beta times market risk premium: 𝔼[R_i] - R_f = β_i(𝔼[R_m] - R_f), where β_i = Cov(R_i,R_m)/Var(R_m). The full model decomposes realized returns into expected return plus idiosyncratic risk: R_i = 𝔼[R_i] + β_i(R_M - 𝔼[R_M]) + ε_i. **Key Assumptions**: Investors are risk-averse and hold mean-variance efficient portfolios; perfect capital markets with no taxes or transaction costs; investors have homogeneous expectations; unlimited borrowing/lending at risk-free rate. **Practical Applications**: Portfolio optimization, performance evaluation, cost of capital estimation, asset pricing tests, risk-adjusted return calculations (Sharpe ratio, Jensen's alpha). **Limitations**: Assumes single-factor market model may miss other systematic risks; empirical tests show mixed results with anomalies like size and value effects. **Implementation**: Beta estimation via regression of asset returns on market returns; requires long historical data for stable estimates. **Related Concepts**: Multi-factor models like Fama-French extend CAPM to include size and value factors; arbitrage pricing theory generalizes to K-factor models.
Black-76 Caplet Pricing,C_{caplet} = P(0 T_i) (F(0 T_{i-1} T_i) Φ(d_1) - K Φ(d_2)),Interest Rate Models,Black's 1976 model for pricing caplets, the building blocks of interest rate caps, treating forward rates as lognormal under risk-neutral measure. **Mathematical Foundation**: A caplet is a call option on a forward LIBOR rate F = F(0,T_{i-1},T_i). The Black-76 formula C = P(0,T_i) × [F Φ(d₁) - K Φ(d₂)] where d₁ = [ln(F/K) + σ²τ/2]/(σ√τ), d₂ = d₁ - σ√τ, and τ = T_i - T_{i-1}. **Key Assumptions**: Lognormal forward rate dynamics, constant volatility, risk-neutral pricing, no counterparty risk. **Practical Applications**: Interest rate cap pricing and hedging, LIBOR-based derivative valuation, structured product pricing, risk management for floating rate exposures. **Limitations**: Assumes constant volatility; market exhibits volatility smiles especially for longer tenors. **Implementation**: Requires forward LIBOR curve and volatility surface; cap value equals sum of caplet values. **Related Concepts**: Floorlets are puts on forward rates; normal model (Bachelier) used in negative rate environments.
Heston Stochastic Volatility Model,dS_t = (r - q) S_t dt + √{v_t} S_t dW_S^{(1)},Interest Rate Models,The Heston model introduces stochastic volatility to capture empirical features like volatility clustering, leverage effects, and mean reversion in asset price dynamics. **Mathematical Foundation**: The model couples geometric Brownian motion for prices with a CIR process for volatility: dv_t = κ(θ - v_t)dt + ξ√v_t dW_S^{(2)}, with correlation ρ between Brownian motions. The characteristic function φ(u) = exp(C(t,u) + D(t,u)v + iu ln(S_t)) solves Riccati equations. **Key Assumptions**: Correlated price-volatility dynamics, mean-reverting volatility, constant parameters, risk-neutral measure. **Practical Applications**: Equity option pricing with volatility clustering, FX options in emerging markets, VIX futures pricing, model calibration to volatility surfaces. **Limitations**: Complex calibration requiring multiple parameters; may still miss rough volatility features. **Implementation**: Fourier transform methods for pricing; requires solving ODEs for characteristic function. **Related Concepts**: Bates model adds jumps; rough Heston incorporates fractional Brownian motion for volatility.
Market Beta Decomposition in Multi-Factor Models,β_{iM} = ∑_{j=1}^k β_{ij} Cov(F_j R_M)/Var(R_M),Interest Rate Models,In multi-factor models, traditional market beta decomposes into contributions from individual factors, providing insight into sources of systematic risk exposure. **Mathematical Foundation**: The market beta β_{iM} = Cov(R_i,R_M)/Var(R_M) can be decomposed as β_{iM} = ∑_{j=1}^k β_{ij} × (Cov(F_j,R_M)/Var(R_M)), where β_{ij} are factor loadings and F_j are factor returns. This shows how each factor contributes to overall market sensitivity. **Key Assumptions**: Linear factor model holds, factors are orthogonal or uncorrelated, market portfolio is efficient. **Practical Applications**: Risk attribution analysis, portfolio construction with factor exposures, performance evaluation, hedging strategies targeting specific risk sources. **Limitations**: Assumes factor model accuracy; decomposition depends on factor specification. **Implementation**: Requires factor return series and factor loading estimation via regression. **Related Concepts**: Fundamental factor models (size, value, momentum); statistical factor models from principal component analysis.
Black-76 Swaption Pricing,C_{swaption} = P(0 T_e) (S_0 Φ(d_1) - K Φ(d_2)),Interest Rate Models,Black's model for pricing European swaptions, treating the forward swap rate as lognormal, fundamental to interest rate derivative markets. **Mathematical Foundation**: A payer swaption gives the right to enter a swap paying fixed rate K and receiving floating. The forward swap rate S_0 follows dS = σ S dW under annuity numeraire. Pricing uses C = A(0,T_e) × [S_0 Φ(d₁) - K Φ(d₂)] where A is the annuity factor. **Key Assumptions**: Lognormal swap rate dynamics, constant volatility, European exercise, risk-neutral measure. **Practical Applications**: Interest rate risk management, structured product valuation, hedging against rate changes, ALM for banks and corporates. **Limitations**: Assumes constant volatility; market exhibits term structure of volatility. **Implementation**: Requires swap curve and volatility; European exercise assumption often relaxed via numerical methods. **Related Concepts**: Bermudan swaptions allow multiple exercise dates; normal model for negative rates.
Variance Swap Fair Strike Calculation,σ_{fair}² = (1/P(0 T)) ∫_0^T 𝔼^ℚ[σ_s²] ds,Interest Rate Models,The fair strike for a variance swap equals the time-averaged expected variance under the risk-neutral measure, providing pure exposure to volatility without delta hedging concerns. **Mathematical Foundation**: A variance swap payoff is N × (σ_{realized}² - K) where σ_{realized}² is realized variance. Fair strike K equals the risk-neutral expectation of average variance: K = (1/T) ∫_0^T 𝔼^ℚ[σ_t²] dt. This follows from the variance swap being a self-financing portfolio of options. **Key Assumptions**: No jumps in price process, continuous monitoring, risk-neutral pricing. **Practical Applications**: Volatility trading, portfolio insurance, risk management for volatility-sensitive positions, model validation. **Limitations**: Discretization error from finite sampling; requires volatility forecast model. **Implementation**: Monte Carlo simulation or analytical approximation using volatility models. **Related Concepts**: Volatility swaps use √variance with convexity adjustment; correlation swaps for basket volatility.
Volatility Swap Convexity Adjustment,K_{vol} ≈ √{K_{var}} - Var(√{Realized Variance})/(2 K_{vol}^{3/2}),Interest Rate Models,The convexity adjustment accounts for Jensen's inequality when converting variance swaps to volatility swaps, as volatility is the square root of variance. **Mathematical Foundation**: Since 𝔼[√X] < √𝔼[X] for random variable X, the fair volatility strike K_vol < √K_var. The adjustment derives from Taylor expansion: 𝔼[√X] ≈ √𝔼[X] - Var(X)/(2(𝔼[X])^{3/2}). **Key Assumptions**: Variance follows lognormal-like distribution, small volatility of volatility. **Practical Applications**: Volatility derivative pricing, volatility trading strategies, risk management for volatility products. **Limitations**: Approximation accuracy depends on distribution assumptions; higher-order terms may be significant. **Implementation**: Numerical integration or simulation to compute exact adjustment. **Related Concepts**: Variance-gamma adjustment for different distributional assumptions; model-free approaches using option prices.
Arbitrage Pricing Theory Risk Decomposition,𝔼[R_i] - r_f = β_{iM}(𝔼[R_M] - r_f) + ∑_{j=2}^k β_{ij} λ_j + α_i^{APT},Interest Rate Models,APT decomposes expected returns into market premium, factor risk premia, and alpha, generalizing CAPM to multiple systematic risk factors. **Mathematical Foundation**: Under no-arbitrage, expected returns satisfy 𝔼[R_i] = r_f + ∑_{j=1}^k β_{ij} λ_j where λ_j are factor risk premia. The decomposition shows market beta contribution plus additional factor exposures. **Key Assumptions**: Linear factor model, no arbitrage opportunities, factor risk premia exist, investors care only about mean and variance. **Practical Applications**: Multi-factor portfolio optimization, risk attribution, performance evaluation, factor investing strategies. **Limitations**: Factor identification challenge; assumes factor model completeness. **Implementation**: Cross-sectional regression to estimate λ_j; requires factor return series. **Related Concepts**: Fama-French three-factor model; macroeconomic factor models using inflation, growth, etc.
Bermudan Swaption Valuation,V_n = max(g_n 𝔼[V_{n+1}|ℱ_n]),Interest Rate Models,Backward induction algorithm for pricing Bermudan swaptions, allowing optimal exercise at multiple dates rather than just European exercise. **Mathematical Foundation**: At each exercise date t_n, compare immediate exercise value g_n with continuation value 𝔼[V_{n+1}|ℱ_{t_n}]. The optimal value satisfies V_n = max(g_n, 𝔼[V_{n+1}|ℱ_{t_n}]). This requires simulation of future states and regression-based continuation value estimation. **Key Assumptions**: Markovian interest rate dynamics, risk-neutral pricing, exercise boundary estimation. **Practical Applications**: Callable swap pricing, structured product valuation, risk management for embedded options. **Limitations**: Computational complexity; exercise boundary approximation error. **Implementation**: Least-squares Monte Carlo or PDE methods with exercise boundaries. **Related Concepts**: American option pricing; Longstaff-Schwartz algorithm for continuation values.
Black-Litterman Portfolio Optimization,𝔼[R] = [(τΣ)^{-1} + P^T Ω^{-1} P]^{-1} [(τΣ)^{-1} Π + P^T Ω^{-1} Q],Interest Rate Models,Bayesian approach combining equilibrium market returns with investor views to produce stable, personalized expected return estimates for portfolio optimization. **Mathematical Foundation**: Combines prior equilibrium returns Π with investor views Q having precision Ω. The posterior expected returns blend market equilibrium with investor information: 𝔼[R] = [(τ Σ)^{-1} + P^T Ω^{-1} P]^{-1} [(τ Σ)^{-1} Π + P^T Ω^{-1} P Q]. **Key Assumptions**: Normal distributions for returns and views, investor confidence quantified by Ω. **Practical Applications**: Institutional portfolio construction, asset allocation with views, risk budgeting, overcoming estimation error in expected returns. **Limitations**: Requires specification of view confidence; subjective view quantification. **Implementation**: Matrix inversion for posterior calculation; requires covariance matrix Σ and equilibrium returns Π. **Related Concepts**: Mean-variance optimization; robust optimization approaches.
Capital Asset Pricing Model Expected Return,𝔼[R_i] = R_f + β_i (𝔼[R_m] - R_f),Interest Rate Models,The CAPM equilibrium relationship states that expected return equals the risk-free rate plus compensation for systematic risk exposure. **Mathematical Foundation**: In equilibrium, all investors hold mean-variance efficient portfolios, leading to 𝔼[R_i] = R_f + β_i (𝔼[R_m] - R_f) where β_i measures covariance with market portfolio. This follows from the security market line relationship. **Key Assumptions**: Investors are risk-averse with quadratic utility; homogeneous expectations; single-period investment horizon; frictionless markets. **Practical Applications**: Cost of equity estimation for valuation, portfolio performance evaluation, capital budgeting decisions, risk-adjusted return calculations. **Limitations**: Single-factor model misses other systematic risks; empirical tests show size, value, momentum anomalies. **Implementation**: Beta estimation from historical returns regression; requires market return proxy (S&P 500, MSCI World, etc.). **Related Concepts**: Security market line plots expected return vs beta; Jensen's alpha measures abnormal performance.
