Title,Equation,Main_Category,Notes
European Put Option Price (Black-Scholes),P_t = K e^{-r(T-t)} Φ(-d_2) - S_t Φ(-d_1),Option Pricing,The Black-Scholes formula for European put options provides a closed-form solution for pricing put contracts under the assumption of geometric Brownian motion for the underlying asset price. **Mathematical Foundation**: This formula is derived from solving the Black-Scholes partial differential equation ∂V/∂t + ½σ²S²∂²V/∂S² + rS∂V/∂S - rV = 0 with boundary conditions V(S,T) = max(K-S,0) for puts. The derivation involves change of variables and the heat equation, leading to the cumulative normal distribution functions. **Key Assumptions**: Geometric Brownian motion, constant volatility, no dividends, risk-free rate constant, no transaction costs, continuous trading. **Practical Applications**: Used for pricing exchange-traded put options, OTC derivatives, risk management calculations, and as benchmark for more complex models. **Limitations**: Assumes lognormal distribution may not capture fat tails; constant volatility ignores volatility smiles/skews. **Implementation**: d₁ = [ln(S/K) + (r + σ²/2)(T-t)]/(σ√(T-t)), d₂ = d₁ - σ√(T-t). Requires numerical computation of Φ(x) = ∫_{-∞}^x (1/√(2π))e^{-u²/2}du. **Related Concepts**: Call-put parity relationship C - P = S - Ke^{-r(T-t)} ensures consistency with European call pricing.
Risk-Neutral Density Extraction (Breeden-Litzenberger),"∂²C/∂K² = e^{-rT} f(K,T)",Option Pricing,The Breeden-Litzenberger formula extracts the risk-neutral probability density function directly from European call option prices, enabling model-free analysis of market-implied distributions. **Mathematical Foundation**: For a continuum of strike prices, the second derivative of call prices with respect to strike reveals the density function under risk-neutral measure. This follows from the fundamental theorem of asset pricing and the fact that European options can be used to synthesize arbitrary payoff distributions. **Key Assumptions**: Complete set of European call options across all strikes, no arbitrage opportunities, continuous trading, frictionless markets. **Practical Applications**: Implied volatility smile analysis, risk-neutral skewness and kurtosis calculations, exotic option pricing using market-derived densities, stress testing with market-implied scenarios. **Limitations**: Requires dense strike coverage which may not exist in illiquid markets; discretization errors from finite strike spacing. **Implementation**: Numerical differentiation of option price surface ∂²C/∂K² ≈ [C(K+ΔK) - 2C(K) + C(K-ΔK)]/ΔK². **Related Concepts**: Risk-neutral valuation extends to all derivative pricing; connects to Dupire's local volatility model where σ(K,T) = √[2∂C/∂T / (K²∂²C/∂K²)].
Merton Jump-Diffusion Option Pricing,P(S_T > K|jumps) = Σ_{n=0}^∞ (λT)^n e^{-λT}/n! * Φ(d_n),Option Pricing,Merton's jump-diffusion model extends Black-Scholes by incorporating discontinuous price jumps, capturing empirical features like fat tails and volatility smiles observed in real markets. **Mathematical Foundation**: The model assumes geometric Brownian motion punctuated by Poisson jumps with lognormal jump sizes. The characteristic function φ(u) = exp[iu(r - λκ - σ²/2)T - (σ²T/2)u² + λT(e^{iuμ_J - (δ²u²)/2} - 1)] enables Fourier-based pricing. **Key Assumptions**: Independent Poisson jumps with lognormal size distribution, constant jump intensity λ, jump size parameters μ_J and δ², no correlation between diffusion and jumps. **Practical Applications**: Pricing options on stocks with significant jump risk (earnings announcements, M&A events), modeling commodity prices with supply disruptions, volatility surface calibration for equity indices. **Limitations**: Assumes infinite activity jumps may not fit all empirical distributions; calibration requires jump parameters which are difficult to estimate. **Implementation**: Fourier transform inversion or direct summation of jump contributions. For small λT, approximation methods exist. **Related Concepts**: Bates model adds stochastic volatility to jumps; Kou's double exponential jump model provides better fit for some asset classes.
Fourier Transform Option Pricing,C(K) = S_0 - e^{-rT}K/π ∫_0^∞ Re[e^{-iuk} φ(u - i/2)] / (u² + 1/4) du,Option Pricing,The Carr-Madan Fourier transform method enables efficient pricing of European options when the characteristic function of the log-price is known, revolutionizing computational finance for complex stochastic models. **Mathematical Foundation**: Based on the Fourier transform relationship between option prices and the characteristic function φ(u) = 𝔼[e^{iu ln(S_T)}]. The formula C(K) = S_0 - e^{-rT}K/π ∫_0^∞ Re[e^{-iuk} φ(u - i/2)] / (u² + 1/4) du uses the dampening factor u - i/2 to ensure integrability. **Key Assumptions**: Known characteristic function, European exercise, no dividends, risk-neutral dynamics. **Practical Applications**: Pricing options under Heston, VG, CGMY models; fast calibration to volatility surfaces; exotic option pricing with analytical tractability. **Limitations**: Requires numerical integration which can be computationally intensive; convergence issues for some characteristic functions. **Implementation**: FFT-based integration for speed; COS method for bounded integration domain; careful handling of branch cuts. **Related Concepts**: Lewis formula variant; extends to multi-asset options through multi-dimensional Fourier transforms.
Heston Stochastic Volatility Characteristic Function,φ(u) = 𝔼[e^{iu ln(S_T)}] = exp(iu ln(S_0) + iu(r - σ²/2 - λκ)T - u²σ²T/2 + λT(e^{iuμ_J - u²δ²/2} - 1)),Option Pricing,The characteristic function for the Heston stochastic volatility model with jumps provides the foundation for Fourier-based option pricing methods, capturing both stochastic volatility and discontinuous price movements. **Mathematical Foundation**: φ(u,t,v) = exp[C(t,u) + D(t,u)v + iu ln(S_t)] where C(t,u) and D(t,u) solve Riccati equations: dC/du = (κθ - λκ)t + λt(e^{iuμ_J - (δ²u²)/2} - 1) - (σ²u²)/2, dD/du = κ - λt(e^{iuμ_J - (δ²u²)/2} - 1) - σ²u. **Key Assumptions**: CIR process for volatility, constant correlation ρ between price and volatility, Poisson jumps with lognormal sizes. **Practical Applications**: Equity option pricing with volatility clustering, FX options in emerging markets, VIX futures pricing, model calibration to volatility surfaces. **Limitations**: Complex parameter estimation; may not capture extreme events as well as pure jump models. **Implementation**: Numerical solution of Riccati equations using Runge-Kutta methods; careful handling of the Feller condition 2κθ > σ². **Related Concepts**: Reduced-form Heston without jumps; rough Heston with fractional Brownian motion for volatility.
Basket Option Moment Matching Approximation,For moment matching to lognormal: 𝔼[S_T^Basket] = e^{μ + σ²/2} and 𝔼[(S_T^Basket)²] = e^{2μ + 2σ²},Option Pricing,Moment matching approximates basket options by treating the basket as a single lognormal asset with matched moments, providing fast and reasonably accurate pricing for multi-asset derivatives. **Mathematical Foundation**: The basket S_T^Basket = ∑ w_i S_{i,T} follows approximately lognormal if individual assets are lognormal and correlation is considered. The approximation matches first two moments: μ = ln(𝔼[S_T^Basket]) - σ²/2, σ² = ln(𝔼[(S_T^Basket)²]/(𝔼[S_T^Basket])²). **Key Assumptions**: Assets follow correlated geometric Brownian motion, constant volatilities and correlations, large number of assets for central limit theorem. **Practical Applications**: Pricing equity basket options, index options approximation, multi-asset structured products, risk management for portfolio options. **Limitations**: Accuracy decreases with fewer assets and high correlations; ignores higher moments that affect option prices. **Implementation**: Monte Carlo simulation to estimate basket moments, then Black-Scholes pricing with equivalent parameters. **Related Concepts**: Ju-Merton expansion for better accuracy; Kirk approximation for two-asset spreads.
Lognormal Moment Matching Parameters,σ² = log(𝔼[(S_T^Basket)²]/(𝔼[S_T^Basket])²) and μ = log(𝔼[S_T^Basket]) - σ²/2,Option Pricing,Parameter calculation for fitting a lognormal distribution to match the first two moments of a basket distribution, enabling Black-Scholes style pricing for complex multi-asset payoffs. **Mathematical Foundation**: For a random variable X with 𝔼[X] = m₁, 𝔼[X²] = m₂, the equivalent lognormal parameters are σ² = ln(m₂/m₁²), μ = ln(m₁) - σ²/2. This preserves the mean and variance under the lognormal assumption. **Key Assumptions**: Basket distribution can be adequately approximated by lognormal; first two moments capture essential pricing information. **Practical Applications**: Basket option pricing, portfolio insurance valuation, structured product pricing, risk-neutral moment estimation from market data. **Limitations**: Ignores skewness and kurtosis which affect option prices; accuracy depends on true distribution being close to lognormal. **Implementation**: Requires estimation of basket moments, either analytically or via Monte Carlo simulation. **Related Concepts**: Cornish-Fisher expansion for higher moment matching; Edgeworth series for improved approximations.
Geometric Asian Option Pricing,C_{geom} = e^{-r(T-t)} (G_t e^{̄μ(T-t)} Φ(d_1) - K Φ(d_2)),Option Pricing,Closed-form pricing formula for geometric Asian options, where the payoff depends on the geometric average of the underlying asset price over the option life. **Mathematical Foundation**: The geometric average G_T = ∏_{i=1}^n S_{t_i}^{1/n} follows lognormal dynamics with reduced volatility σ_geom = σ/√3 for continuous monitoring. The formula uses modified Black-Scholes parameters with effective volatility σ/√3. **Key Assumptions**: Continuous geometric averaging, lognormal underlying dynamics, constant parameters. **Practical Applications**: Equity-linked notes with Asian features, commodity options with averaging to reduce manipulation risk, structured products for institutional investors. **Limitations**: Geometric averaging reduces volatility by factor 1/√3, may not reflect true market behavior; arithmetic averaging more common but lacks closed form. **Implementation**: ̄μ = (r - q - σ²/6)(T-t), d₁ = [ln(G_t/K) + (̄μ + σ²/6)(T-t)]/(σ√(T-t)/√3). **Related Concepts**: Arithmetic Asian options priced via Monte Carlo; Turnbull-Wakeman approximation for arithmetic averaging.
Down-and-Out Barrier Call Option,C_{DAO} = C_{BS} - (H/S_t)^{2λ} C_{BS}(H²/S_t K T r q σ),Option Pricing,Analytical pricing formula for down-and-out barrier options using the reflection principle, where the option becomes worthless if the underlying touches the barrier from below. **Mathematical Foundation**: The reflection principle states that for each path hitting the barrier, there exists a reflected path that doesn't hit it. The formula subtracts the probability-weighted reflected option value: λ = (r - q + σ²/2)/σ². **Key Assumptions**: Constant barrier, European exercise, no dividends paid at barrier hit, lognormal dynamics. **Practical Applications**: Currency options with knock-out barriers, structured products with downside protection, risk management for position limits. **Limitations**: Barrier monitoring frequency affects pricing; discrete monitoring requires different formulas. **Implementation**: Requires computing reflected parameters: strike becomes H²/K, spot becomes H²/S_t. **Related Concepts**: Up-and-out barriers add the reflected term; partial barrier options for time windows.
Basket Option Analytical Approximation,𝔼[B_T] = ∑ w_i F_i and Var(ln B_T) ≈ (∑_{i j} w_i w_j F_i F_j ρ_{ij} σ_i σ_j T)/(∑ w_i F_i)²,Option Pricing,Analytical approximation for basket options treating the basket as a single asset with volatility derived from the weighted variance of log-returns. **Mathematical Foundation**: The basket B_T = ∑ w_i S_{i,T} has log-return variance Var(ln B_T) ≈ ∑_{i,j} w_i w_j ρ_{ij} σ_i σ_j T / (∑ w_i F_i)² where F_i are forward prices. This gives equivalent Black-Scholes volatility for pricing. **Key Assumptions**: Log-normal asset dynamics, constant correlations, forward prices approximate expectations. **Practical Applications**: Multi-asset equity options, ETF options pricing, correlation trading strategies, risk management for diversified portfolios. **Limitations**: Assumes lognormal joint distribution; accuracy decreases with high correlations and few assets. **Implementation**: Requires correlation matrix estimation; can be computed analytically for known parameters. **Related Concepts**: Margrabe formula for exchange options; quanto adjustments for cross-currency baskets.
Black-76 Futures Option Formula,C(F_t K T r σ) = e^{-r(T-t)} [F_t Φ(d_1) - K Φ(d_2)],Option Pricing,Black's 1976 model for pricing European options on futures contracts, the industry standard for interest rate and commodity derivatives. **Mathematical Foundation**: Treats futures price F_t as the underlying asset with zero cost of carry. The formula C = e^{-r(T-t)}[F_t Φ(d_1) - K Φ(d_2)] where d₁ = [ln(F_t/K) + (σ²/2)(T-t)]/(σ√(T-t)), d₂ = d₁ - σ√(T-t). **Key Assumptions**: Futures price follows lognormal dynamics, constant volatility, risk-neutral measure, no arbitrage. **Practical Applications**: Interest rate cap/floor pricing, commodity futures options, FX futures options, VIX futures pricing. **Limitations**: Assumes constant volatility; market smiles require stochastic volatility extensions. **Implementation**: Direct application of Black-Scholes with F_t replacing S_t and zero dividend yield. **Related Concepts**: Black-Scholes for spot options; Bachelier normal model for negative rates.
Black-Scholes Partial Differential Equation,∂V/∂t + ½ σ² S² ∂²V/∂S² + r S ∂V/∂S - rV = 0,Option Pricing,The fundamental PDE governing European option prices under Black-Scholes assumptions, derived from the principle of no arbitrage and dynamic hedging arguments. **Mathematical Foundation**: Obtained by constructing a riskless portfolio containing the option and delta shares of stock. The PDE ∂V/∂t + ½σ²S²∂²V/∂S² + (r - q)S∂V/∂S - rV = 0 must be solved subject to terminal condition V(S,T) = payoff. **Key Assumptions**: Continuous trading, frictionless markets, constant coefficients, geometric Brownian motion. **Practical Applications**: Foundation for all option pricing models, PDE solvers for exotic options, risk-neutral valuation principle. **Limitations**: Assumes perfect markets; real-world frictions require modifications. **Implementation**: Finite difference methods, Monte Carlo simulation, analytical solutions when possible. **Related Concepts**: Feynman-Kac representation connects PDEs to stochastic processes; Hamilton-Jacobi-Bellman for optimal control.
Black-Scholes-Merton Call Option Formula,C(S_t K T r q σ) = S_t e^{-q(T-t)} Φ(d_1) - K e^{-r(T-t)} Φ(d_2),Option Pricing,The Nobel Prize-winning closed-form solution for European call options, representing one of the most important achievements in modern finance. **Mathematical Foundation**: Solved by transforming the Black-Scholes PDE using change of variables x = ln(S/K) + (r - q + σ²/2)(T-t), τ = σ²(T-t)/2, yielding the heat equation. Solution involves cumulative normal distributions with d₁ = [ln(S_t e^{(r-q)(T-t)}/K) + σ²(T-t)/2]/(σ√(T-t)). **Key Assumptions**: Geometric Brownian motion, constant volatility, no transaction costs, continuous trading, European exercise. **Practical Applications**: Equity option pricing, FX option pricing, commodity options, foundation for derivatives industry. **Limitations**: Constant volatility assumption doesn't hold empirically; fat tails and volatility smiles require extensions. **Implementation**: Requires numerical computation of Φ(x); stable for all parameter values. **Related Concepts**: Put-call parity ensures consistency; Merton extended to include dividends.
Cox-Ingersoll-Ross Conditional Distribution,r_T | r_t ~ Non-central χ² with df = 4κθ/σ² and λ = 4κ r_t e^{-κ(T-t)}/[σ²(1-e^{-κ(T-t)})],Option Pricing,The conditional distribution of the short rate in the CIR model follows a non-central chi-squared distribution, ensuring positivity and mean reversion. **Mathematical Foundation**: The CIR process dr = κ(θ - r)dt + σ√r dW satisfies the Feller condition 2κθ > σ² for positivity. The transition density involves Whittaker functions or non-central chi-squared representation. **Key Assumptions**: Mean-reverting square-root process, constant parameters, risk-neutral dynamics. **Practical Applications**: Interest rate derivative pricing, term structure modeling, credit risk modeling, Heston volatility model foundation. **Limitations**: Stationary distribution has heavy tails; calibration can be challenging. **Implementation**: Non-central chi-squared CDF for pricing; Whittaker function evaluation for exact densities. **Related Concepts**: Vasicek model with Gaussian distribution; extended CIR models with time-dependent parameters.
