Title,Equation,Main_Category,Notes
State Price Density Process,π_t = e^{-rt} ζ_t,Stochastic Calculus,State price density process under risk-neutral measure. ζ_t represents the pricing kernel or stochastic discount factor.
Put Option Price (Black-Scholes),P_t = K e^{-r(T-t)} Φ(-d_2) - S_t Φ(-d_1),Option Pricing,Black-Scholes formula for European put option. d_1 and d_2 calculated using standard Black-Scholes parameters.
Risk-Neutral Density (Breeden-Litzenberger),"∂²C/∂K² = e^{-rT} f(K,T)",Option Pricing,Extracts risk-neutral probability density from option prices. Second derivative of call price with respect to strike gives the implied density.
Put Option Price (Garman-Kohlhagen),P = K e^{-r_d T} Φ(-d_2) - S_0 e^{-r_f T} Φ(-d_1),Foreign Exchange,Black-Scholes extension for FX options with domestic and foreign interest rates. Used for currency options pricing.
Covered Interest Rate Parity,F_0 = S_0 e^{(r_d - r_f)T},Foreign Exchange,No-arbitrage relationship between spot and forward exchange rates. Fundamental relationship in international finance.
Risk-Neutral Valuation,V(t S) = e^{-r(T-t)} 𝔼^ℚ[Φ(S_T)|S_t = S],Stochastic Calculus,Fundamental theorem of asset pricing. Any derivative price equals discounted expected payoff under risk-neutral measure.
Tranche Loss Valuation,Price_{market}[a d] = ∫(0 to T) e^{-rt} d𝔼^ℚ[L_[a d](t);ρ_a d],Credit Models,Market price of CDO tranche with attachment point a and detachment point d. Integrates discounted expected tranche losses over time.
CDO Protection Leg Valuation,PV(Protection) = N_0 ∫_0^T 𝔼[e^{-∫_0^t (r_s + λ_s) ds}] dEL_t^{(A D)},Credit Models,Present value of protection leg for CDO tranche. Accounts for both interest rate and credit risk through stochastic discounting.
Jump-Diffusion Option Pricing,P(S_T > K|jumps) = Σ_{n=0}^∞ (λT)^n e^{-λT}/n! * Φ(d_n),Option Pricing,Option pricing under Merton jump-diffusion model. Sum over Poisson-distributed jump counts with adjusted Black-Scholes formulas.
Survival Probability,ℚ(τ > T) = 𝔼^ℚ[e^{-∫_0^T λ_s ds}],Credit Models,Probability of survival until time T under risk-neutral measure. Expressed as expectation of exponential integral of hazard rate process.
