CAPM (Capital Asset Pricing Model),R_i = R_f + β_i (R_m - R_f) + ε_i,Interest Rate Models,Capital Asset Pricing Model relating expected returns to systematic risk. Full model: R_i = 𝔼[R_i] + β_i (R_M - 𝔼[R_M]) + ε_i. Expected return relationship: 𝔼[R_i] = R_f + β_i (𝔼[R_m] - R_f) where β measures market sensitivity.
Caplet Pricing (Black-76),C_{caplet} = P(0 T_i) (F(0 T_{i-1} T_i) Φ(d_1) - K Φ(d_2)),Interest Rate Models,Market standard model for pricing interest rate caplets. Uses forward rate and discount factor with Black-76 formula.
Heston Stochastic Volatility,dS_t = (r - q) S_t dt + √{v_t} S_t dW_S^{(1)},Interest Rate Models,Heston model with stochastic volatility following square-root process. Captures volatility clustering and leverage effects.
Market Beta Decomposition,β_{iM} = ∑_{j=1}^k β_{ij} Cov(F_j R_M)/Var(R_M),Interest Rate Models,Decomposition of traditional market beta in multi-factor context. Shows how factor loadings contribute to overall market beta.
Swaption Pricing (Black-76),C_{swaption} = P(0 T_e) (S_0 Φ(d_1) - K Φ(d_2)),Interest Rate Models,Standard market model for pricing European swaptions. Uses forward swap rate and annuity factor as numeraire.
Variance Swap Fair Strike,σ_{fair}² = (1/P(0 T)) ∫_0^T 𝔼^ℚ[σ_s²] ds,Interest Rate Models,Fair strike for variance swap equals time-averaged expected variance under risk-neutral measure. Fundamental pricing relationship for volatility derivatives.
Volatility Swap Adjustment,K_{vol} ≈ √{K_{var}} - Var(√{Realized Variance})/(2 K_{vol}^{3/2}),Interest Rate Models,Convexity adjustment for volatility swap strike due to Jensen's inequality. Fair volatility strike below square root of variance strike.
APT Risk Premium Decomposition,𝔼[R_i] - r_f = β_{iM}(𝔼[R_M] - r_f) + ∑_{j=2}^k β_{ij} λ_j + α_i^{APT},Interest Rate Models,Arbitrage Pricing Theory decomposition of expected returns into market and factor components plus alpha.
Bermudan Swaption Valuation,V_n = max(g_n 𝔼[V_{n+1}|ℱ_n]),Interest Rate Models,Backward induction for Bermudan swaption pricing. Optimal exercise decision at each exercise date maximizes immediate exercise value versus continuation value.
Black-Litterman Expected Returns,𝔼[R] = [(τΣ)^{-1} + P^T Ω^{-1} P]^{-1} [(τΣ)^{-1} Π + P^T Ω^{-1} Q],Interest Rate Models,Bayesian approach combining equilibrium returns with investor views. Produces stable expected return estimates for portfolio optimization.
CAPM Expected Return,𝔼[R_i] = R_f + β_i (𝔼[R_m] - R_f),Interest Rate Models,Capital Asset Pricing Model equilibrium relationship. Expected return equals risk-free rate plus beta times market risk premium.
Constant Elasticity of Variance,dS_t = μ S_t dt + σ S_t^β dW_t,Interest Rate Models,Constant elasticity of variance model with volatility proportional to S^β. Captures leverage effect when β < 1.
Cap Valuation,Cap(t) = ∑_{i=1}^n Caplet(t T_i),Interest Rate Models,Interest rate cap value equals sum of individual caplet values. Portfolio of options on successive forward rates.
Capital Asset Pricing Model,𝔼[R_i] - r_f = β_i (𝔼[R_m] - r_f),Interest Rate Models,Fundamental equilibrium model relating expected return to systematic risk. Beta measures sensitivity to market movements.
Caplet Price (Black),C = P(0 T_{i-1}) (F Φ(d_1) - K Φ(d_2)),Interest Rate Models,Individual caplet pricing using Black-76 model. P(0 T_{i-1}) is discount factor and F is forward rate.
Constant Maturity Swap,V_{CMS} = 𝔼^ℚ[∫_t^T max(S_u - K 0) du],Interest Rate Models,Swap with floating leg based on constant maturity swap rate. Exposes investor to long-term interest rate movements.
Convexity Adjustment,C = (1/P) d²P/dy²,Interest Rate Models,Second-order price sensitivity to yield changes. Measures curvature of price-yield relationship for bonds and derivatives.
